#,Description,Item,GatheringItemLevel,Unknown2,TerritoryType,Unknown0,FishingRecordType,Unknown1,IsVisible
0,,0,0,0,0,0,0,False,False
20000,螺旋階段のような渦巻いた姿が特徴的。殻がもろく、壊れやすいため、完全な形を保っているものは、好事家に珍重される,20144,205,4000,0,0,10,False,True
20001,メスは魚体が黒いが、成長するとオスに変わり鮮やかな色合いに変化する。身を守るため、粘液毒を放出する性質も,20145,205,4000,0,0,11,False,True
20002,海を悠然と泳ぐ巨大なエイ。コウジン族が騎獣として操るシマエイは、このトビエイを長年かけて家畜化したものである,20146,205,4000,1,0,12,False,True
20003,近東のラザハンから渡来した使者が、ひんがしの国の幕府に、この魚を献上。放流したところ、いつの間にか定着したようだ,20147,205,4000,2,0,10,False,True
20004,具足海老と共生し、その存在に誘引されてきたタコを食す。ウツボにとって具足海老は、好物を誘き寄せるエサである,20148,205,4000,4,0,11,False,True
20005,ドマ昔話に登場するトビハゼのトビ男は、のんびりとした性格ながら、生きるとは何かなど、深淵な問いかけをするという,20149,205,4000,6,0,13,False,True
20006,硬い鱗によって捕食者から身を守りつつ、自らは、より小型の魚や甲殻類を食べ散らかす。ドマでは、しぶとさの象徴とされる,20150,205,4000,6,0,15,False,True
20007,釣り針からエサを掠め取ることにかけては、右に出る魚がいない。そのため、釣り人にとっては、心底嫌われる存在である,20151,205,4000,7,0,14,False,True
20008,ドマウナギと比べて大型であるが、味は見劣りする。そのため、価格も安価であり、手頃な値段で食すことが可能だ,20152,205,4000,7,0,15,False,True
20009,淡水に進出した珍しいヤドカリ。巻貝の貝殻を利用して身を守ることで知られ、成長に応じて、新しい物に移り住む,20153,205,4000,8,0,13,False,True
20010,古来からの姿を保った原始的な蟹。大振りの個体が鋏脚を広げると、ヒューラン族の成人男性2人分になることも,20154,210,4000,0,0,12,False,True
20011,突出した額を長鼻に見立てて、海の天狗と呼ばれる。サベネアでは一時、不老長寿の霊薬の材料になるという噂から乱獲された,20155,210,4000,1,0,11,False,True
20012,幅広の背ビレと尻ビレを持つ珍魚。普段は深海に棲息しているため、見かけることが少なく、ヒレの用途など生態には謎が多い,20156,210,4000,2,0,12,False,True
20013,幼体は白と黒の縞模様であり、成長するにつれ姿を変える。そのため、近年まで幼体は別種の鮫と考えられていた,20157,210,4000,3,0,12,False,True
20014,骨のように見える不気味な姿を持つがゆえに、古来から魔除けの力があるとされ、この貝を持ち歩く海賊衆もいるほど,20158,210,4000,4,0,10,False,True
20015,泳ぎがとても下手で鈍重。疑似餌の付いた突起を動かして小型の甲殻類や魚を釣るため、「いさりうお」と呼ばれる,20159,210,4000,6,0,14,False,True
20016,川底に生える海藻の間や岩などに張り付いている小型の巻貝。多くの生物の食料となることで、食物連鎖を下支えしている,20160,210,4000,7,0,13,False,True
20017,ヒゲがないコイの一種。海藻や果実を食べる魚としては最大級の巨体を誇り、ルガディン族の大男を上回るほどに成長する,20161,210,4000,8,0,15,False,True
20018,異様に頭が大きな魚。また体内に多くの発光器を備えており光を放つため、漁民からは霊魂の運び手と考えられている,20162,215,4000,0,0,10,False,True
20019,長い糸状のヒレを引いて泳ぐ魚。食べられないこともないが、身に臭みがあるうえ、食中毒をおこしやすいという。,20163,215,4000,0,0,11,False,True
20020,ひんがしの国の犬種「狆（ちん）」に似た顔を持つことから、そう呼ばれるらしいが、実は大して似ていない,20164,215,4000,1,0,10,False,True
20021,異国の者にとっては、異界ヴォイドの妖異にも見える不気味な姿をしているが、ひんがしの国では、高級食材として珍重される,20165,215,4000,2,0,10,False,True
20022,甲殻類や小魚に加え、亀や鮫まで丸呑みにする。コウジン族は、悪さをした幼子を叱る時にタマカイに喰われると脅すらしい,20166,215,4000,3,0,12,False,True
20023,背ビレの棘に強力な毒を有する危険な存在。だが、その白身は美味であるため、危険を顧みずに挑む漁師が後を絶たない,20167,215,4000,4,0,11,False,True
20024,ドマザリガニの突然変異種。赤備えの鎧武者を思わせることから名付けられた。なぜ、赤くなったのかは判明していない,20168,215,4000,7,0,13,False,True
20025,ドマに伝わる四種類の代表的な魚、四大家魚の一角を成す。繁殖方法も確立されており、庶民の味として親しまれている,20169,215,4000,7,0,15,False,True
20026,はるか昔、ヤンサ地方では、この種の貝殻が貨幣として用いられていた。もちろん今では、貝殻に価値はない,20170,215,4000,8,0,13,False,True
20027,暖流に乗り、紅玉海に来る大型肉食魚。浮遊物に集まる習性から、死人喰らいと呼ばれるが、実際に人を食べるわけではない,20171,220,4000,0,0,12,False,True
20028,いかつい顔と傷にも見える横線、そして単独で泳ぐ姿を浪人武士に見立て、名付けられた。特に主君を探しているわけではない,20172,220,4000,1,0,12,False,True
20029,クエを食ったら、ほかの魚は食えんと言われるほど美味。地元漁師にとっては、あこがれの的と言える存在だ,20173,220,4000,2,0,12,False,True
20030,夜になると岩礁を動き回り、歯舌を器用に使って海藻を削り採って食べる。東方地域の沿岸部では、代表的な食用貝,20174,220,4000,3,0,10,False,True
