#,Name,Description,ExpFactor,ExpReward,GilReward,LeveRewardItem,JournalGenre,LevelLevemete,LevelStart,LeveClient,LeveAssignmentType,Town,PlaceNameStart,PlaceNameIssued,PlaceNameStartZone,IconCityState,DataId,IconIssuer,ClassJobLevel,FishingSpot,BGM,Unknown1,TimeLimit,AllowanceCost,Unknown2,ClassJobCategory,MaxDifficulty,LeveVfx,LeveVfxFrame,CanCancel,LockedLeve
0,,,1,0,0,0,0,0,0,0,0,0,0,0,1,20011,0,0,0,0,14,0,0,1,0,0,0,0,0,True,True
1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
12,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
13,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
14,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
15,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
16,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
17,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
18,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
19,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
20,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
21,製作依頼：双蛇党の訓練用長槍,グランドカンパニー「双蛇党」から、新兵訓練用の長槍の発注を受けた。我が「黒兎堂」にとって重要な得意先であるため、納品を遅らせる訳にはいかない。確実に仕事をやり遂げる堅実な職人を求む。,1,1330,113,2,270,2257767,0,9,5,2,39,39,39,80012,917649,110007,1,0,14,6,0,1,0,9,0,18,5,True,True
22,製作依頼：安価な木靴,「パッテン」は、グリダニアで安定した人気を誇る様式の木靴だ。華麗な装飾も、高級素材の使用も必要はない。あくまで実用本位で、安価な木靴を作ってもらいたい。確実に仕事をやり遂げる堅実な職人を求む。,1,1690,113,2,270,2257767,0,9,5,2,39,39,39,80012,917650,110007,1,0,14,6,0,1,0,9,0,18,5,True,True
23,調達依頼：新米工兵用の木靴,基礎教練を終えた新兵から、工兵を選抜した。訓練を終え実戦部隊へと配属されていく彼らに、戦友を支える柱となるよう願いを込めて木靴を贈りたい。彼らの門出を祝う記念品に相応しい逸品を頼む。,1,630,112,2,270,2648092,0,19,5,2,90,90,54,80012,917651,110010,1,0,14,6,0,1,0,9,0,19,5,True,True
24,製作依頼：新米斥候用の短弓,基礎教練を終えた新兵から、軽歩兵を選抜した。訓練を終え実戦部隊へと配属されていく彼らに、標的を逃さず仕留められるよう願いを込めて短弓を贈りたい。彼らの門出を祝う記念品に相応しい逸品を頼む。,1,1160,112,3,270,2648092,0,19,5,2,90,90,54,80012,917655,110010,1,0,14,6,0,1,0,9,0,18,5,True,True
25,製作依頼：新米衛士用の木盾,基礎教練を終えた新兵から、重歩兵を選抜した。訓練を終え実戦部隊へと配属されていく彼らに、故郷を護る厚き壁となるように願いを込めて木盾を贈りたい。彼らの門出を祝う記念品に相応しい逸品を頼む。,1,1690,113,3,270,2648092,0,19,5,2,90,90,54,80012,917656,110010,1,0,14,6,0,1,0,9,0,18,5,True,True
26,調達依頼：楽器用のメープル材,グリダニアの乙女たちの心を掴んで離さない吟遊詩人集団「ホムンクルス」。彼らの人気にあやかり、乙女心を掴まんとする若人たちの間で、竪琴の売れ行きが好調だ。竪琴の増産に対応するため、材料となる木材を求む。,1,630,113,3,270,2257767,0,9,5,2,39,39,39,80012,917657,110007,1,0,14,6,0,1,0,9,0,19,5,True,True
27,製作依頼：双蛇党の訓練用長弓,グランドカンパニー「双蛇党」から、新兵訓練用の長弓の発注を受けた。我が「黒兎堂」にとって重要な得意先であるため、納品を遅らせる訳にはいかない。確実に仕事をやり遂げる堅実な職人を求む。,1,4110,140,4,270,2257767,0,9,5,2,39,39,39,80012,917652,110007,5,0,14,6,0,1,0,9,0,18,5,True,True
28,製作依頼：冒険者用の木盾,グリダニアを訪れる冒険者が増えたことで、ここにきて木盾の販売数が増加傾向にある。我が「黒兎堂」では需要の多様化に対応すべく、品揃えを拡充する方針だ。ついては確実に仕事をやり遂げる堅実な職人を求む。,1,6840,168,4,270,2257767,0,9,5,2,39,39,39,80012,917653,110007,5,0,14,6,0,1,0,9,0,18,5,True,True
29,調達依頼：新米衛生兵用の幻具,基礎教練を終えた新兵から、衛生兵を選抜した。訓練を終え実戦部隊へと配属されていく彼らに、戦友の命を救えるよう願いを込めて幻具を贈りたい。彼らの門出を祝う記念品に相応しい逸品を頼む。,1,2790,139,4,270,2648092,0,19,5,2,90,90,54,80012,917654,110010,5,0,14,6,0,1,0,9,0,19,5,True,True
30,製作依頼：新兵訓練用の長槍,バノック練兵所では、新兵の素質を見抜くために、基礎教練として槍術と弓術の両方を教えている。この基礎教練で用いる長槍を用意してもらいたい。鍛錬の最中に折れるようなことがないよう、丈夫な長槍を頼む。,1,5220,140,5,270,2648092,0,19,5,2,90,90,54,80012,917658,110010,5,0,14,6,0,1,0,9,0,18,5,True,True
31,製作依頼：模擬戦用の木剣,グリダニアの仇敵、イクサル族は剣を好んで用いる。そうした敵との戦い方を教えるには、教官が仮想敵となる模擬戦が役に立つ。次回の模擬戦に向けて、イクサル兵に扮する教官のために木剣を用意してもらいたい。,1,2490,170,5,270,2648092,0,19,5,2,90,90,54,80012,917659,110010,5,0,14,6,0,1,0,9,0,18,5,True,True
32,調達依頼：安価な幻具,幻術を学ぶためにグリダニアを訪れた新米冒険者たちに対して、安価な幻具の売れ行きが好調である。このままでは在庫が切れ、商機を失いかねない。「ケーン」を早急に製作できる職人を求む。,1,3600,139,5,270,2257767,0,9,5,2,39,39,39,80012,917660,110007,5,0,14,6,0,1,0,9,0,19,5,True,True
33,製作依頼：安価な木製幻具,幻術を学ぶためにグリダニアを訪れた新米冒険者たちに対して、安価な幻具の売れ行きが好調である。このままでは在庫が切れ、商機を失いかねない。「ラディカル」を早急に製作できる職人を求む。,1,4280,170,6,270,2257767,0,9,5,2,39,39,39,80012,917523,110007,10,0,14,6,0,1,0,9,0,18,5,True,True
34,製作依頼：彫金師向けの製作道具,黒檀商店街へのウルダハ商人の出店に伴い、グリダニアに来訪した彫金師から、製作道具の調達を依頼された。我が「黒兎堂」が、どんな商材でも用意できることを示す好機だ。確実に仕事をやり遂げる堅実な職人を求む。,1,7880,170,6,270,2257767,0,9,5,2,39,39,39,80012,917524,110007,10,0,14,6,0,1,0,9,0,18,5,True,True
35,調達依頼：柵の建材,牧場施設に柵を増設するため、「アッシュ材」を必要としています。通常であれば木工師ギルドに依頼するところですが、復興事業に木材が優先され、順番待ちの状態なのです。使いやすいように加工した材木を届けてください。,1,3780,287,6,270,2119045,0,5,5,2,94,94,54,80012,917525,110002,10,0,14,6,0,1,0,9,0,19,5,True,True
36,製作依頼：献納用の槍,モーグリギフトマウンツでは、牧場施設の警護に尽力してくださっている鬼哭隊に対し、感謝の意を表すため長槍を献納しようとしています。贈り物に相応しい、羽根飾り付きの美麗な長槍を製作して下さい。,1,9430,174,7,270,2119045,0,5,5,2,94,94,54,80012,917505,110002,10,0,14,6,0,1,0,9,0,18,5,True,True
