#,Name,Category,Unknown0,Description,DutyType,Unknown1,Image,Unknown2,Unknown3,Unknown6,ItemLevelRequired,ItemLevelSync,RewardTomeA,RewardTomeB,RewardTomeC,Unknown5,InstanceContent,RequiredExVersion,OpenRule,RequiredLevel,SyncedFromLevel,ContentRouletteRoleBonus,SortKey,ClassJobCategory,ContentMemberType,Unknown9,QueueMaxPlayers,ContentType,Unknown12,TimeLimit,TimeLimitMax,LootModeType,Unknown15,PenaltyTimestampArrayIndex,CompletionArrayIndex,IsGoldSaucer,IsInDutyFinder,IsPvP,AppliesHighestAverageDutyItemLevel,Unknown18,AllowConsumableItems,AllowPhoenixDown,AllowReplacement,RatedMatch,Rated,Unknown22,Unknown23,Unknown24,IsRegistrationAllowedFromAnyDataCenter
0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,-1,False,False,False,False,False,True,False,True,False,False,False,False,True,True
1,コンテンツルーレット：レべリング,レベリング,,"「コンテンツルーレット：レべリング」では、現在参加することのできるダンジョン、ライトパーティ用討伐戦の中から参加先がランダムに決定されます。さらに、個別にコンテンツを選択して参加したときよりも、大幅にプラスされたコンプリート報酬を得ることができます。

※「コンテンツルーレット：レべリング」の経験値とギルのボーナス値は、参加するクラス・ジョブのレベルによって決定され、参加先コンテンツの道中で得られる経験値、ギルとの差額を報酬として得られます。
※軍票の報酬量は参加するクラス・ジョブのレベルによって決定されます。
※「コンテンツルーレット」の報酬は1日1回のみ入手でき、取得状況は午前0時にリセットされます。
※不足ロールボーナスは、コンテンツ申請時の不足ロールに対して適用されます。
※規定人数で参加した場合、不足ロールボーナスを得ることはできません。",対応コンテンツ：ライトパーティ用ダンジョン、ライトパーティ用討伐戦,0,112034,0,0,0,0,0,0,100,20,0,0,0,1,16,16,1,4,142,2,0,0,1,0,90,0,2,0,0,0,False,True,False,False,True,True,True,True,False,False,False,False,True,True
2,コンテンツルーレット：ハイレベリング,ハイレベリング,,"「コンテンツルーレット：ハイレベリング」では、現在参加することのできるライトパーティ用レベル50・60・70・80・90ダンジョンの中から参加先がランダムに決定されます。さらに、個別にコンテンツを選択して参加したときよりも、大幅にプラスされたコンプリート報酬を得ることができます。

※「コンテンツルーレット：ハイレベリング」の経験値とギルのボーナス値は、参加するクラス・ジョブのレベルによって決定され、参加先コンテンツの道中で得られる経験値、ギルとの差額を報酬として得られます。
※「コンテンツルーレット」の報酬は1日1回のみ入手でき、取得状況は午前0時にリセットされます。
※不足ロールボーナスは、コンテンツ申請時の不足ロールに対して適用されます。
※規定人数で参加した場合、不足ロールボーナスを得ることはできません。",対応コンテンツ：ライトパーティ用レベル50・60・70・80・90ダンジョン,0,112035,0,0,0,45,0,100,120,0,0,0,0,1,50,50,2,3,142,2,0,0,1,0,90,0,2,0,0,1,False,True,False,False,True,True,True,True,False,False,False,False,True,True
3,コンテンツルーレット：メインクエスト,メインクエスト,,"「コンテンツルーレット：メインクエスト」では、現在参加することのできるメインクエスト用対応コンテンツの中から参加先がランダムに決定されます。さらに、個別にコンテンツを選択して参加したときよりも、大幅にプラスされたコンプリート報酬を得ることができます。

※本ルーレットの対応コンテンツは、カットシーンをスキップすることができません。
※「コンテンツルーレット：メインクエスト」の経験値とギルのボーナス値は、参加するクラス・ジョブのレベルによって決定され、参加先コンテンツの道中で得られる経験値、ギルとの差額を報酬として得られます。
※「コンテンツルーレット」の報酬は1日1回のみ入手でき、取得状況は午前0時にリセットされます。
※不足ロールボーナスは、コンテンツ申請時の不足ロールに対して適用されます。
※規定人数で参加した場合、不足ロールボーナスを得ることはできません。",対応コンテンツ：フルパーティ用ダンジョン,0,112036,0,0,0,42,0,350,100,50,0,0,0,1,50,50,3,6,142,2,0,0,1,0,60,120,2,0,0,2,False,True,False,False,True,True,True,True,False,False,False,False,True,True
4,コンテンツルーレット：ギルドオーダー,ギルドオーダー,,"「コンテンツルーレット：ギルドオーダー」では、現在参加することのできるギルドオーダーの中から参加先がランダムに決定されます。さらに、個別にコンテンツを選択して参加したときよりも、大幅にプラスされたコンプリート報酬を得ることができます。

※「コンテンツルーレット：ギルドオーダー」の経験値とギルのボーナス値は、参加するクラス・ジョブのレベルによって決定され、参加先コンテンツの道中で得られる経験値、ギルとの差額を報酬として得られます。
※軍票の報酬量は参加するクラス・ジョブのレベルによって決定されます。
※「コンテンツルーレット」の報酬は1日1回のみ入手でき、取得状況は午前0時にリセットされます。
※不足ロールボーナスは、コンテンツ申請時の不足ロールに対して適用されます。
※規定人数で参加した場合、不足ロールボーナスを得ることはできません。
※4人パーティでの参加は、4人用ギルドオーダーのみが対象となり、自由なロール構成で参加できます。
※コンテンツによっては、フェニックスの尾を使用できない場合があります。",対応コンテンツ：ギルドオーダー,0,112037,0,0,0,0,0,0,0,0,0,0,0,1,10,10,4,7,142,3,0,0,1,0,30,0,2,0,0,3,False,True,False,False,True,True,True,True,False,False,False,False,True,True
5,コンテンツルーレット：エキスパート,エキスパート,,"「コンテンツルーレット：エキスパート」では、コンプリート済みのエキスパートダンジョンの中から参加先がランダムに決定されます。さらに、個別にコンテンツを選択して参加したときよりも、大幅にプラスされたコンプリート報酬を得ることができます。

※「コンテンツルーレット：エキスパート」のギルのボーナス値は、参加するクラス・ジョブのレベルによって決定され、参加先コンテンツの道中で得られるギルとの差額を報酬として得られます。
※「コンテンツルーレット」の報酬は1日1回のみ入手でき、取得状況は午前0時にリセットされます。
※不足ロールボーナスは、コンテンツ申請時の不足ロールに対して適用されます。
※規定人数で参加した場合、不足ロールボーナスを得ることはできません。",対応コンテンツ：ライトパーティ用エキスパートダンジョン,0,112057,0,0,0,735,0,0,60,40,0,0,5,2,100,100,5,1,142,2,0,0,1,0,90,0,2,0,0,4,False,True,False,False,True,True,True,True,False,False,False,False,True,True
6,コンテンツルーレット：討伐・討滅戦,討伐・討滅戦,,"「コンテンツルーレット：討伐・討滅戦」では、現在参加することのできるフルパーティ用討伐・討滅戦の中から参加先がランダムに決定されます。さらに、個別にコンテンツを選択して参加したときよりも、大幅にプラスされたコンプリート報酬を得ることができます。

※「コンテンツルーレット」の報酬は1日1回のみ入手でき、取得状況は午前0時にリセットされます。
※不足ロールボーナスは、コンテンツ申請時の不足ロールに対して適用されます。
※規定人数で参加した場合、不足ロールボーナスを得ることはできません。",対応コンテンツ：フルパーティ用討伐・討滅戦,0,112056,0,0,0,90,0,0,60,15,0,0,0,1,50,50,6,5,142,3,0,0,1,0,60,0,2,0,0,5,False,True,False,False,True,True,False,True,False,False,False,False,True,True
7,デイリーチャレンジ：フロントライン,フロントライン,,"「デイリーチャレンジ：フロントライン」では、現在開催されているフロントラインが参加先に決定されます。開催されているフロントラインは毎日変わるため、参加先はINFORMATIONで確認できます。

※デイリーチャレンジでは1日1回、大幅にプラスされた報酬を得ることができ、取得状況は午前0時にリセットされます。",対応コンテンツ：オンサル・ハカイル（終節戦）,0,112083,1000,1500,0,0,0,0,50,20,1000,0,0,3,30,30,0,15,146,24,0,0,1,28,20,0,0,0,0,6,False,True,True,False,True,True,True,True,False,False,False,False,True,True
8,コンテンツルーレット：レベルキャップダンジョン,レベルキャップダンジョン,,"「コンテンツルーレット：レベルキャップダンジョン」では、コンプリート済みのライトパーティ用レベル100ダンジョンの中から参加先がランダムに決定されます。さらに、個別にコンテンツを選択して参加したときよりも、大幅にプラスされたコンプリート報酬を得ることができます。

※「コンテンツルーレット：レベルキャップダンジョン」のギルのボーナス値は、参加するクラス・ジョブのレベルによって決定され、参加先コンテンツの道中で得られるギルとの差額を報酬として得られます。
※「コンテンツルーレット」の報酬は1日1回のみ入手でき、取得状況は午前0時にリセットされます。
※不足ロールボーナスは、コンテンツ申請時の不足ロールに対して適用されます。
※規定人数で参加した場合、不足ロールボーナスを得ることはできません。",対応コンテンツ：ライトパーティ用レベル100ダンジョン,0,112123,0,0,0,705,0,0,100,15,0,0,5,2,100,100,7,2,142,2,0,0,1,0,90,0,2,0,0,7,False,True,False,False,True,True,True,True,False,False,False,False,True,True
9,コンテンツルーレット：メンター,メンター,,"「コンテンツルーレット：メンター」はバトルメンターとなったキャラクターのみが参加できるコンテンツルーレットで、コンプリート済みのメンター対応コンテンツの中から参加先がランダムに決定されます。さらに、個別にコンテンツを選択して参加したときよりも、大幅にプラスされたコンプリート報酬を得ることができます。

※「コンテンツルーレット：メンター」のギルのボーナス値は、参加するクラス・ジョブのレベルによって決定され、参加先コンテンツの道中で得られるギルとの差額を報酬として得られます。
※「コンテンツルーレット」の報酬は1日1回のみ入手でき、取得状況は午前0時にリセットされます。
※不足ロールボーナスは、コンテンツ申請時の不足ロールに対して適用されます。
※コンテンツによっては、フェニックスの尾を使用できない場合があります。",対応コンテンツ：メンター対応コンテンツ,0,112144,0,0,0,745,0,0,30,10,0,0,5,2,100,100,8,10,142,1,0,0,1,0,30,120,2,0,0,8,False,True,False,False,True,True,True,True,False,False,False,False,True,True
10,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,コンテンツルーレット：アライアンスレイド,アライアンスレイド,,"「コンテンツルーレット：アライアンスレイド」では、現在参加することのできる24人用アライアンスレイドの中から参加先がランダムに決定されます。さらに、個別にコンテンツを選択して参加したときよりも、大幅にプラスされたコンプリート報酬を得ることができます。

※「コンテンツルーレット：アライアンスレイド」の経験値とギルのボーナス値は、参加するクラス・ジョブのレベルによって決定され、参加先コンテンツの道中で得られる経験値、ギルとの差額を報酬として得られます。
※「コンテンツルーレット」の報酬は1日1回のみ入手でき、取得状況は午前0時にリセットされます。
※不足ロールボーナスは、コンテンツ申請時の不足ロールに対して適用されます。",対応コンテンツ：アライアンス用レイド,0,112259,0,0,0,70,0,120,120,50,0,0,0,1,50,50,9,8,142,5,0,0,1,0,120,0,2,0,0,9,False,True,False,True,True,True,False,True,False,False,False,False,True,True
16,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
