#,Name,Description,Icon,Value,ChocoboRaceAbilityType
0,,,0,0,0
1,チョコダッシュ,"ダッシュする。
効果時間：1秒",70001,1,1
2,チョコダッシュII,"ダッシュする。
効果時間：2秒",70002,2,1
3,チョコダッシュIII,"ダッシュする。
効果時間：3秒",70003,3,1
4,チョコケアル,体力を6％回復する。,70004,6,2
5,チョコケアルII,体力を9％回復する。,70005,9,2
6,チョコケアルIII,体力を12％回復する。,70006,12,2
7,チョコエスナ,75％の確率で、弱体効果を解除する。,70007,75,3
8,チョコエスナII,90％の確率で、弱体効果を解除する。,70008,90,3
9,チョコエスナIII,100％の確率で、弱体効果を解除する。,70009,100,3
10,チョコイーズ,ヘヴィ状態を解除し、体力を80回復する。,70010,80,4
11,チョコイーズII,ヘヴィ状態を解除し、体力を130回復する。,70011,130,4
12,チョコイーズIII,ヘヴィ状態を解除し、体力を180回復する。,70012,180,4
13,チョコカーム,興奮状態を解除し、体力を100回復する。,70013,100,5
14,チョコカームII,興奮状態を解除し、体力を150回復する。,70014,150,5
15,チョコカームIII,興奮状態を解除し、体力を200回復する。,70015,200,5
16,チョコリフレク,"自身のみを対象とした弱体効果攻撃を、使用者に跳ね返す。
効果時間：10秒",70016,10,6
17,チョコリフレクII,"自身のみを対象とした弱体効果攻撃を、使用者に跳ね返す。
効果時間：15秒",70017,15,6
18,チョコリフレクIII,"自身のみを対象とした弱体効果攻撃を、使用者に跳ね返す。
効果時間：20秒",70018,20,6
19,チョコスティール,自分の前を走るチョコボから、50％の確率でアイテムを盗む。,70019,50,7
20,チョコスティールII,自分の前を走るチョコボから、70％の確率でアイテムを盗む。,70020,70,7
21,チョコスティールIII,自分の前を走るチョコボから、90％の確率でアイテムを盗む。,70021,90,7
22,チョコサイレス,"自分の周囲に、アビリティ使用不可フィールドを生成する。
効果時間：35秒",70022,35,8
23,チョコサイレスII,"自分の周囲に、アビリティ使用不可フィールドを生成する。
効果時間：40秒",70023,40,8
24,チョコサイレスIII,"自分の周囲に、アビリティ使用不可フィールドを生成する。
効果時間：45秒",70024,45,8
25,チョコショック,"自分の周囲に、アイテム使用不可フィールドを生成する。
効果時間：25秒",70025,25,9
26,チョコショックII,"自分の周囲に、アイテム使用不可フィールドを生成する。
効果時間：30秒",70026,30,9
27,チョコショックIII,"自分の周囲に、アイテム使用不可フィールドを生成する。
効果時間：35秒",70027,35,9
28,体力消耗軽減,加速時の体力消費量を9％軽減する。,70028,9,10
29,体力消耗軽減II,加速時の体力消費量を12％軽減する。,70029,12,10
30,体力消耗軽減III,加速時の体力消費量を15％軽減する。,70030,15,10
31,ヘヴィ耐性,60％の確率で、ヘヴィ状態を無効化する。,70031,60,11
32,ヘヴィ耐性II,70％の確率で、ヘヴィ状態を無効化する。,70032,70,11
33,ヘヴィ耐性III,80％の確率で、ヘヴィ状態を無効化する。,70033,80,11
34,ヘヴィ耐性IV,90％の確率で、ヘヴィ状態を無効化する。,70034,90,11
35,ヘヴィ耐性V,100％の確率で、ヘヴィ状態を無効化する。,70035,100,11
36,興奮耐性,60％の確率で、興奮状態を無効化する。,70036,60,12
37,興奮耐性II,70％の確率で、興奮状態を無効化する。,70037,70,12
38,興奮耐性III,80％の確率で、興奮状態を無効化する。,70038,80,12
39,興奮耐性IV,90％の確率で、興奮状態を無効化する。,70039,90,12
40,興奮耐性V,100％の確率で、興奮状態を無効化する。,70040,100,12
41,体力回復量アップ,体力回復時の回復量が50％上昇する。,70041,50,13
42,体力回復量アップII,体力回復時の回復量が65％上昇する。,70042,65,13
43,体力回復量アップIII,体力回復時の回復量が80％上昇する。,70043,80,13
44,経験値アップ,獲得経験値が10％増加する。,70044,10,14
45,経験値アップII,獲得経験値が20％増加する。,70045,20,14
46,経験値アップIII,獲得経験値が30％増加する。,70046,30,14
47,スタートダッシュ,レース開始時に、最高速度でスタートする。,70047,1,15
48,チョコドレイン,"自分の周囲に、体力吸収フィールドを生成する。
範囲内のチョコボから、体力を毎秒15吸収する。",70048,15,16
49,チョコドレインII,"自分の周囲に、体力吸収フィールドを生成する。
範囲内のチョコボから、体力を毎秒25吸収する。",70049,25,16
50,チョコドレインIII,"自分の周囲に、体力吸収フィールドを生成する。
範囲内のチョコボから、体力を毎秒35吸収する。",70050,35,16
51,アイテムシフト,所持しているアイテムを、別のアイテムに変える。,70051,0,17
52,ものまね,"自分の前を走るチョコボがアイテムやアビリティを使用した場合、同じ効果を発動する。
効果時間：7秒",70052,7,18
53,ものまねII,"自分の前を走るチョコボがアイテムやアビリティを使用した場合、同じ効果を発動する。
効果時間：11秒",70053,11,18
54,ものまねIII,"自分の前を走るチョコボがアイテムやアビリティを使用した場合、同じ効果を発動する。
効果時間：15秒",70054,15,18
55,フェザーフィールド,"他のチョコボが生成したフィールドの効果を受けない。
効果時間：10秒",70055,10,19
56,フェザーフィールドII,"他のチョコボが生成したフィールドの効果を受けない。
効果時間：20秒",70056,20,19
57,フェザーフィールドIII,"他のチョコボが生成したフィールドの効果を受けない。
効果時間：30秒",70057,30,19
58,スーパーダッシュ,天候や地形による効果を受けなくなり、体力が0になるまで、ダッシュを続ける。,70058,0,20
59,チョコリレイズ,体力が0になった際、一度だけ体力を60回復する。,70059,60,21
60,チョコリレイズII,体力が0になった際、一度だけ体力を130回復する。,70060,130,21
61,チョコリレイズIII,体力が0になった際、一度だけ体力を200回復する。,70061,200,21
62,デバフ耐性,自身が受ける弱体効果の効果時間を80％に減少させる。,70062,80,22
63,デバフ耐性II,自身が受ける弱体効果の効果時間を65％に減少させる。,70063,65,22
64,デバフ耐性III,自身が受ける弱体効果の効果時間を50％に減少させる。,70064,50,22
65,減速休憩,減速中に、体力が0.8％ずつ回復する。,70065,8,23
66,減速休憩II,減速中に、体力が1％ずつ回復する。,70066,10,23
67,減速休憩III,減速中に、体力が1.2％ずつ回復する。,70067,12,23
68,,,0,0,0
69,,,0,0,0
70,,,0,0,0
