#,Roof,Walls,Windows,Door,OptionalRoof,OptionalWall,OptionalSignboard,Fence,PlotSize
327680,0,0,0,0,0,0,0,0,255
327681,1034,3594,2564,516,1548,4106,2060,3088,0
327682,1035,3595,2564,516,1548,4106,2060,3088,1
327683,1036,3596,2564,516,1548,4106,2060,3088,2
327684,1046,3594,2568,520,1549,4107,2061,3084,0
327685,1047,3595,2568,520,1549,4107,2061,3084,1
327686,1048,3596,2568,520,1549,4107,2061,3084,2
327687,1058,3594,2572,524,1547,4108,2059,3080,0
327688,1059,3595,2572,524,1547,4108,2059,3080,1
327689,1060,3596,2572,524,1547,4108,2059,3080,2
327690,1061,3594,2573,525,1546,4109,2058,3076,0
327691,1062,3595,2573,525,1546,4109,2058,3076,1
327692,1063,3596,2573,525,1546,4109,2058,3076,2
327693,1064,3615,2574,526,1550,4110,2062,3089,0
327694,1065,3616,2574,526,1550,4110,2062,3089,1
327695,1066,3617,2574,526,1550,4110,2062,3089,2
327696,1067,3618,2575,527,1551,4111,2063,3090,0
327697,1068,3619,2575,527,1551,4111,2063,3090,1
327698,1069,3620,2575,527,1551,4111,2063,3090,2
327699,1070,3621,2576,528,1552,4112,2064,3091,0
327700,1071,3622,2576,528,1552,4112,2064,3091,1
327701,1072,3623,2576,528,1552,4112,2064,3091,2
327702,1073,3624,2577,529,1553,4113,2065,3092,0
327703,1074,3625,2577,529,1553,4113,2065,3092,1
327704,1075,3626,2577,529,1553,4113,2065,3092,2
327705,1076,3627,2578,530,1554,4114,2066,3093,0
327706,1077,3628,2578,530,1554,4114,2066,3093,1
327707,1078,3629,2578,530,1554,4114,2066,3093,2
327708,1088,3639,2582,534,1558,4118,2070,3097,0
327709,1089,3640,2582,534,1558,4118,2070,3097,1
327710,1090,3641,2582,534,1558,4118,2070,3097,2
327711,1115,3666,2591,543,1567,4127,2079,3103,0
327712,1116,3667,2591,543,1567,4127,2079,3103,1
327713,1117,3668,2591,543,1567,4127,2079,3103,2
327714,1118,3669,2592,544,1568,4128,2080,3104,0
327715,1119,3670,2592,544,1568,4128,2080,3104,1
327716,1120,3671,2592,544,1568,4128,2080,3104,2
327717,1121,3672,2593,545,1569,4129,2081,3105,0
327718,1122,3673,2593,545,1569,4129,2081,3105,1
327719,1123,3674,2593,545,1569,4129,2081,3105,2
327720,1124,3675,2594,546,1570,4130,2082,3106,0
327721,1125,3676,2594,546,1570,4130,2082,3106,1
327722,1126,3677,2594,546,1570,4130,2082,3106,2
327723,1127,3678,2595,547,1571,4131,2083,3107,0
327724,1128,3679,2595,547,1571,4131,2083,3107,1
327725,1129,3680,2595,547,1571,4131,2083,3107,2
327726,1130,3681,2596,548,1572,4132,2084,3108,0
327727,1131,3682,2596,548,1572,4132,2084,3108,1
327728,1132,3683,2596,548,1572,4132,2084,3108,2
327729,1133,3684,2597,549,1573,4133,2085,3109,0
327730,1134,3685,2597,549,1573,4133,2085,3109,1
327731,1135,3686,2597,549,1573,4133,2085,3109,2
327732,1145,3696,2601,553,1574,4134,2086,3113,0
327733,1146,3697,2601,553,1574,4134,2086,3113,1
327734,1147,3698,2601,553,1574,4134,2086,3113,2
327735,1148,3699,2602,554,1575,4135,2087,3114,0
327736,1149,3700,2602,554,1575,4135,2087,3114,1
327737,1150,3701,2602,554,1575,4135,2087,3114,2
