#,Item,Size,AquariumWater,WeatherRestriction,TimeRestriction,SpecialConditions,IsCollectable
0,0,0,0,0,0,0,0
1,4776,0,0,0,0,0,0
2,4925,0,0,0,0,0,0
3,4926,1,1,0,0,0,0
4,4869,0,0,0,0,0,0
5,4870,0,0,0,0,0,0
6,4927,0,0,0,0,0,0
7,4928,0,0,0,0,0,0
8,4871,0,0,0,0,0,0
9,4929,0,0,0,0,0,0
10,5460,0,0,0,0,0,0
11,4930,0,0,0,0,0,0
12,4872,0,0,0,0,0,0
13,4931,0,0,0,0,0,0
14,4873,0,0,0,0,0,0
15,4874,1,2,0,0,0,0
16,4932,0,0,0,0,0,0
17,4933,0,0,0,0,0,0
18,4875,0,0,0,0,0,0
19,4934,0,0,0,0,0,0
20,4876,1,2,0,0,0,0
21,4935,0,0,0,0,0,0
22,4877,0,0,0,0,0,0
23,4936,0,0,0,0,0,0
24,4937,0,0,0,0,0,0
25,4938,0,0,0,0,0,0
26,4878,0,0,0,0,0,0
27,4939,0,0,0,0,0,0
28,4940,0,0,0,0,0,0
29,4941,0,0,0,0,0,0
30,4879,1,2,0,0,0,0
31,4942,0,0,0,0,0,0
32,4880,0,0,0,0,0,0
33,4943,0,0,0,0,0,0
34,4944,0,0,0,0,0,0
35,4881,0,0,0,0,0,0
36,4945,0,0,0,1,0,0
37,4946,0,0,0,0,0,0
38,4882,0,0,0,0,0,0
39,4947,0,0,0,0,0,0
40,4883,2,2,0,0,0,0
41,4948,1,1,0,0,0,0
42,4949,0,0,0,0,0,0
43,4884,0,0,0,0,0,0
44,4950,0,0,0,0,0,0
45,4885,0,0,0,0,0,0
46,4951,2,1,0,0,0,0
47,4952,0,0,0,0,0,0
48,4953,0,0,0,1,0,0
49,4886,2,2,0,0,0,0
50,4954,0,0,0,0,0,0
51,4955,0,0,0,0,0,0
52,4956,0,0,0,0,0,0
53,4957,0,0,0,0,0,0
54,4887,0,0,0,0,0,0
55,4958,0,0,0,1,0,0
56,4959,2,1,0,0,0,0
57,5461,0,0,0,0,0,0
58,4888,0,0,0,0,0,0
59,4960,0,0,0,0,0,0
60,4961,0,0,0,0,0,0
61,4889,0,0,0,0,0,0
62,4890,0,0,0,0,0,0
63,4962,0,0,0,0,0,0
64,4963,0,0,0,0,0,0
65,4891,0,0,0,0,0,0
66,4964,0,0,0,0,0,0
67,4892,0,0,0,0,0,0
68,4965,0,0,0,0,0,0
69,4966,0,0,0,0,0,0
70,4893,3,2,0,0,0,0
71,4967,0,0,0,0,0,0
72,4894,0,0,0,0,0,0
73,4968,0,0,0,0,0,0
74,5544,0,0,0,0,0,0
75,4895,2,2,0,0,0,0
76,4969,0,0,0,0,0,0
77,4896,0,0,0,0,0,0
78,4970,1,1,0,0,0,0
79,4971,0,0,0,0,0,0
80,4972,0,0,0,0,0,0
81,4897,0,0,0,0,0,0
82,4973,2,1,0,0,0,0
83,4898,2,2,0,1,0,0
84,4974,0,0,0,0,0,0
85,4899,0,0,0,0,0,0
86,4975,0,0,0,0,0,0
87,4976,0,0,0,0,0,0
88,4900,0,0,0,0,0,0
89,4977,0,0,0,0,0,0
90,4978,0,0,0,0,0,0
91,4979,2,1,0,0,0,0
92,5032,0,0,0,0,0,0
93,4901,0,0,0,0,0,0
94,4980,0,0,0,0,0,0
95,4981,0,0,0,0,0,0
96,5033,0,0,0,0,0,0
97,4902,0,0,0,0,0,0
98,4982,0,0,0,0,0,0
99,4983,0,0,0,0,0,0
100,5034,0,0,0,0,0,0
101,4984,0,0,0,0,0,0
102,5035,0,0,0,0,0,0
103,4985,0,0,0,1,0,0
104,4986,2,1,0,0,0,0
105,4987,2,1,0,0,0,0
106,5036,0,0,0,0,0,0
107,5462,0,0,0,0,0,0
108,4988,0,0,0,0,0,0
109,4989,0,0,0,0,0,0
110,5037,0,0,0,0,0,0
111,4903,4,2,0,0,0,0
112,4990,0,0,0,0,0,0
113,4991,0,0,1,0,0,0
114,4992,0,0,0,0,0,0
115,4993,0,0,0,0,0,0
116,4904,0,0,0,0,0,0
117,4905,2,1,1,0,0,0
118,4994,0,0,0,1,0,0
119,4995,0,0,0,0,0,0
120,5466,0,0,0,0,0,0
121,4996,0,0,0,0,0,0
122,4997,0,0,0,0,0,0
123,4998,0,0,0,0,0,0
124,4906,0,0,0,0,0,0
125,4999,2,1,1,0,0,0
126,5038,0,0,0,0,0,0
127,5000,3,1,0,0,0,0
128,5001,0,0,0,0,0,0
129,4907,0,0,0,0,0,0
130,5002,0,0,0,0,0,0
131,5003,0,0,0,0,0,0
132,5039,0,0,0,0,0,0
133,4908,3,2,0,0,0,0
134,5040,0,0,0,0,0,0
135,5004,0,0,0,0,0,0
136,5005,0,0,0,0,0,0
137,5041,0,0,0,0,0,0
138,4909,0,0,0,0,0,0
139,5006,0,0,0,0,0,0
140,5007,2,1,1,0,0,0
141,5008,0,0,0,0,0,0
142,5042,0,0,0,0,0,0
143,4910,0,0,0,0,0,0
144,5009,0,0,0,0,0,0
145,5010,0,0,0,0,0,0
146,5011,2,1,0,0,0,0
147,5043,0,0,0,0,0,0
148,5044,0,0,0,0,0,0
149,4911,0,0,0,1,0,0
150,5012,0,0,0,0,0,0
