#,Unknown0
0,
1,このアイテムは**撤去してもアイテムに戻すことはできません。**撤去してよろしいでしょうか？
2,"を解雇します。
**設定されていた外見情報はリセットされ、雇用証書として所持品に戻ります。**
解雇してよろしいでしょうか？"
3,"UNKNOWNのリテイナーを撤去します。
**設定されていた外見情報はリセットされ、営業証書として所持品に戻ります。**
撤去してもよろしいでしょうか？"
4,"あとUNKNOWN回、食事を摂れます。
このアイテムは**撤去してもアイテムに戻すことはできません。**撤去してよろしいでしょうか？"
5,"この調度品を撤去します。
**※挿しているアイテムがある場合、そのアイテムは消滅します。**
撤去してもよろしいですか？"
6,"水槽を撤去すると、
水槽内のアイテムは消滅します。
本当によろしいですか？"
7,"この調度品を撤去します。
**※絵画が設定されている場合、そのアイテムは消滅します。**
撤去してもよろしいですか？"
8,"この調度品を撤去します。
**※壁紙が設定されている場合、そのアイテムは消滅します。**
撤去してもよろしいですか？"
9,"倉庫から所持品に雇用証書を戻します。
**設定されていた外見情報はリセットされます。**
よろしいでしょうか？"
10,"倉庫からUNKNOWNのリテイナーを取り出し、営業証書を所持品に戻します。
**設定されていた外見情報はリセットされます。**
よろしいでしょうか？"
11,"あとUNKNOWN回、食事を摂れます。
このアイテムは**倉庫から取り出してもアイテムに戻すことはできません。**撤去してもよろしいでしょうか？"
12,"倉庫からこの調度品を取り出し、所持品に戻します。
**※挿しているアイテムがある場合、そのアイテムは消滅します。**
よろしいですか？"
13,"倉庫から水槽を取り出すと、
水槽内のアイテムは消滅します。
本当によろしいですか？"
14,"倉庫からこの調度品を取り出し、所持品に戻します。
**※絵画が設定されている場合、そのアイテムは消滅します。**
よろしいですか？"
15,"倉庫からこの調度品を取り出し、所持品に戻します。
**※壁紙が設定されている場合、そのアイテムは消滅します。**
よろしいですか？"
16,"を解雇します。
**設定されていた外見情報はリセットされ、雇用証書として所持品に戻ります。**
解雇してよろしいでしょうか？"
17,"この調度品を撤去します。
**※魚拓が設定されている場合、そのアイテムは消滅します。**
撤去してもよろしいですか？"
18,"倉庫からこの調度品を取り出し、所持品に戻します。
**※魚拓が設定されている場合、そのアイテムは消滅します。**
よろしいですか？"
