#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article
0,,,0,0,0,1,0,0
1,採掘場,,0,0,0,1,0,0
2,岩場,,0,0,0,1,0,0
3,良木,,0,0,0,1,0,0
4,草刈場,,0,0,0,1,0,0
5,未知の採掘場,,0,0,0,1,0,0
6,未知の岩場,,0,0,0,1,0,0
7,未知の良木,,0,0,0,1,0,0
8,未知の草刈場,,0,0,0,1,0,0
9,刻限の採掘場,,0,0,0,1,0,0
10,刻限の岩場,,0,0,0,1,0,0
11,刻限の良木,,0,0,0,1,0,0
12,刻限の草刈場,,0,0,0,1,0,0
13,伝説の採掘場,,0,0,0,1,0,0
14,伝説の岩場,,0,0,0,1,0,0
15,伝説の良木,,0,0,0,1,0,0
16,伝説の草刈場,,0,0,0,1,0,0
17,●VER5.3未使用：隠れた採掘場,,0,0,0,1,0,0
18,●VER5.3未使用：隠れた岩場,,0,0,0,1,0,0
19,●VER5.3未使用：隠れた良木,,0,0,0,1,0,0
20,●VER5.3未使用：隠れた草刈場,,0,0,0,1,0,0
21,漁場,,0,0,0,1,0,0
22,魚影,,0,0,0,1,0,0
23,幻の採掘場,,0,0,0,1,0,0
24,幻の岩場,,0,0,0,1,0,0
25,幻の良木,,0,0,0,1,0,0
26,幻の草刈場,,0,0,0,1,0,0
