#,LGBSharedGroup,RequirementRow[0],RequirementRow[1],RequirementRow[2],RequirementRow[3],RequirementRow[4],RequirementRow[5],Unknown0,RequirementQuestSequence[0],RequirementQuestSequence[1],RequirementQuestSequence[2],RequirementQuestSequence[3],RequirementQuestSequence[4],RequirementQuestSequence[5],Unknown1,RequirementType[0],RequirementType[1],RequirementType[2],RequirementType[3],RequirementType[4],RequirementType[5],Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False
1.0,5421598,67201,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
1.1,5421599,67201,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
1.2,5421600,67202,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
1.3,5421601,67202,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
1.4,5421603,67203,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
1.5,5421604,67203,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
1.6,5887469,67200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,False,False,False,False,False,False
1.7,5887470,67205,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,True,False,False,False,False,False,False
1.8,6069137,67205,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
1.9,8702264,69597,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
2.0,5529190,67153,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,True,False,False,False,False,False,False
2.1,5912744,67191,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,True,False,False,False,False,False,False
2.2,6209260,67791,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
2.3,6215627,67792,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
2.4,6215629,67793,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
2.5,6207601,67794,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
2.6,8468226,69551,69932,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,False,False,False,False,False,False,False
3.0,5889398,67194,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
3.1,5889399,67191,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,True,False,False,False,False,False,False
3.2,5472828,67205,67629,67785,67788,67871,67874,0,0,0,4,2,4,4,0,1,1,2,2,2,2,0,False,False,False,False,False,False,False
3.3,5935225,67205,67626,67629,0,0,0,0,0,6,0,0,0,0,0,1,2,1,0,0,0,0,False,False,False,False,False,False,False
3.4,5935260,0,67785,67788,0,0,0,0,0,4,2,0,0,0,0,0,2,2,0,0,0,0,False,False,False,False,False,False,False
3.5,5935263,0,67871,67874,0,0,0,0,0,4,4,0,0,0,0,0,2,2,0,0,0,0,False,False,False,False,False,False,False
3.6,5904772,67874,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
3.7,5507380,67874,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
4.0,5865585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,True,False,False,False,False,False,False
4.1,5888168,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,True,False,False,False,False,False,False
4.2,6179985,67769,67776,0,0,0,0,0,255,0,0,0,0,0,0,2,1,0,0,0,0,0,False,False,False,False,False,False,False
5.0,5811219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,True,False,False,False,False,False,False
5.1,8372998,69496,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
5.2,8380509,69496,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
6.0,5865967,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,True,False,False,False,False,False,False
6.1,5865980,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,True,False,False,False,False,False,False
7.0,5907817,67194,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,True,False,False,False,False,False,False
7.1,5932745,67205,67629,67785,67788,67871,67874,0,0,0,4,2,4,4,0,1,1,2,2,2,2,0,False,False,False,False,False,False,False
7.2,6422946,67905,67908,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,False,False,False,False,False,False,False
7.3,6658903,67874,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
7.4,6973210,68160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
8.0,6110195,67700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
8.1,6110196,67701,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
8.2,6110197,67702,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
8.3,6110198,67703,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
8.4,6110199,67704,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
8.5,6110200,67705,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
8.6,6110201,67706,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
9.0,6263675,67857,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
9.1,6263676,67858,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
9.2,6263677,67859,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
9.3,6263678,67861,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
9.4,6263679,67862,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
10.0,6644799,67888,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
11.0,6700275,67890,67894,0,0,0,0,0,255,3,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
12.0,6915108,68464,68567,68571,68692,0,0,0,2,1,0,255,0,0,0,2,2,1,2,0,0,0,False,False,False,False,False,False,False
12.1,6714292,68070,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,True,False,False,False,False,False,False
12.2,6583748,68064,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
12.3,6989278,67983,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
12.4,7180265,68572,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
12.5,7180661,68573,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
12.6,7181233,68574,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
12.7,7181276,68575,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
12.8,7181329,68576,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
13.0,6773501,68084,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
13.1,6828084,68072,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
13.2,6773496,68072,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
14.0,6735165,68089,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
14.1,6782280,68088,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
14.2,7021654,68088,68089,0,0,0,0,0,1,5,0,0,0,0,0,2,2,0,0,0,0,0,True,True,False,False,False,False,False
14.3,7173840,68565,68610,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,False,False,False,False,False,False,False
14.4,7173843,68565,68610,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,False,False,False,False,False,False,False
