#,Objective,Unknown0,Unknown1,Unknown2,EObj,Unknown3,Unknown4,Type,Unknown5,Range,Unknown6
0,,,,,0,0,0,0,0,0,-1
1,,,,,0,0,0,0,0,0,0
2,,,,,0,0,0,0,0,0,0
3,,,,,0,0,0,0,0,0,0
4,,,,,0,0,0,0,0,0,0
5,,,,,0,0,0,0,0,0,0
6,,,,,0,0,0,0,0,0,0
7,,,,,0,0,0,0,0,0,0
8,,,,,0,0,0,0,0,0,0
9,,,,,0,0,0,0,0,0,0
10,,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、ディアデム諸島の資源調査を依頼したい。
心赴くままに採集活動を行い、成果を報告してくれ。","むろん、規程の活動を行えば、相応の報酬を贈ろう。
それでは、よい探索を……！",0,0,0,6,0,0,-1
11,,"こちらアインハルト管制……
資源調査の第一段階完了を確認した。","なかなか興味深い、活動結果が出たようだな。
それでは、引き続き資源調査を続行してくれたまえ。",,0,0,0,6,0,0,-1
12,,"こちらアインハルト管制……
資源調査の第二段階完了を確認した。",この調子で、最後まで資源調査を続けてくれ。,,0,0,0,6,0,0,-1
13,過属性ファイアクリスタルを収集,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、「過属性クリスタル」の収集を依頼したい。
これより指定する地点に向かい、資源を確保されたし。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,2007594,0,8,9,0,0,-1
14,過属性ウォータークリスタルを収集,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、「過属性クリスタル」の収集を依頼したい。
これより指定する地点に向かい、資源を確保されたし。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,2007597,0,8,9,0,0,-1
15,過属性アースクリスタルを収集,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、「過属性クリスタル」の収集を依頼したい。
これより指定する地点に向かい、資源を確保されたし。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,2007595,0,8,9,0,0,-1
16,過属性アイスクリスタルを収集,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、「過属性クリスタル」の収集を依頼したい。
これより指定する地点に向かい、資源を確保されたし。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,2007596,0,8,9,0,0,-1
17,過属性ウィンドクリスタルを収集,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、「過属性クリスタル」の収集を依頼したい。
これより指定する地点に向かい、資源を確保されたし。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,2007598,0,8,9,0,0,-1
18,過属性ライトニングクリスタルを収集,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、「過属性クリスタル」の収集を依頼したい。
これより指定する地点に向かい、資源を確保されたし。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,2007593,0,8,9,0,0,-1
19,過属性ファイアクリスタルを収集,"こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、もうひとつの地点を指定させてもらう。
引き続き、「過属性クリスタル」の収集を続行してくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,2007594,1,10,9,0,0,-1
20,過属性ウォータークリスタルを収集,"こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、もうひとつの地点を指定させてもらう。
引き続き、「過属性クリスタル」の収集を続行してくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,2007597,1,10,9,0,0,-1
21,過属性アースクリスタルを収集,"こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、もうひとつの地点を指定させてもらう。
引き続き、「過属性クリスタル」の収集を続行してくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,2007595,1,10,9,0,0,-1
22,過属性アイスクリスタルを収集,"こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、もうひとつの地点を指定させてもらう。
引き続き、「過属性クリスタル」の収集を続行してくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,2007596,1,10,9,0,0,-1
23,過属性ウィンドクリスタルを収集,"こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、もうひとつの地点を指定させてもらう。
引き続き、「過属性クリスタル」の収集を続行してくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,2007598,1,10,9,0,0,-1
24,過属性ライトニングクリスタルを収集,"こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、もうひとつの地点を指定させてもらう。
引き続き、「過属性クリスタル」の収集を続行してくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,2007593,1,10,9,0,0,-1
25,バウンティ号の漂着地のアインハルト家の飛空士に収集物を納品,"こちらアインハルト管制……
探索任務の第二段階完了を確認した。","最後に収集した品を、「バウンティ号の漂着地」にいる、
「アインハルト家の飛空士」に届けてくれ。","諸君たちの協力に感謝する。
報酬は、漂着地で受渡をさせてもらうぞ！",0,0,0,2,0,0,-1
26,"誘引香の罠で「シルバーシェル」を誘き寄せて倒し、
「雲海種の器官標本」を収集","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な標本の採取を依頼したい。
「誘引香の罠」を用いて対象生物を誘き寄せ、速やかに倒してくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,0,5,-1
27,"誘引香の罠で「ウェルキニクス」を誘き寄せて倒し、
「雲海種の器官標本」を収集","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な標本の採取を依頼したい。
「誘引香の罠」を用いて対象生物を誘き寄せ、速やかに倒してくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,0,5,-1
28,"誘引香の罠で「ジュエル・ワスプ」を誘き寄せて倒し、
「雲海種の器官標本」を収集","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な標本の採取を依頼したい。
「誘引香の罠」を用いて対象生物を誘き寄せ、速やかに倒してくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,0,5,-1
29,"誘引香の罠で「レインボー・ガストルニス」を誘き寄せて倒し、
「雲海種の器官標本」を収集","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な標本の採取を依頼したい。
「誘引香の罠」を用いて対象生物を誘き寄せ、速やかに倒してくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,0,5,-1
30,"誘引香の罠で「ルナンティシー」を誘き寄せて倒し、
「雲海種の器官標本」を収集","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な標本の採取を依頼したい。
「誘引香の罠」を用いて対象生物を誘き寄せ、速やかに倒してくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,0,5,-1
31,"誘引香の罠で「アントホーク」を誘き寄せて倒し、
「雲海種の器官標本」を収集","こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な標本の採取を依頼したい。
「誘引香の罠」を用いて対象生物を誘き寄せ、速やかに倒してくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,0,5,-1
32,"誘引香の罠で「ディプロカウルス」を誘き寄せて倒し、
「雲海種の骨格標本」を収集","こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、別の標本の採取も頼む。
「誘引香の罠」を用いて対象生物を誘き寄せ、標本を収集してくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,0,3,-1
33,"誘引香の罠で「プロケラトサウルス」を誘き寄せて倒し、
「雲海種の骨格標本」を収集","こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、別の標本の採取も頼む。
「誘引香の罠」を用いて対象生物を誘き寄せ、標本を収集してくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,0,3,-1
34,"誘引香の罠で「コエロフィシス」を誘き寄せて倒し、
「雲海種の骨格標本」を収集","こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、別の標本の採取も頼む。
「誘引香の罠」を用いて対象生物を誘き寄せ、標本を収集してくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,0,3,-1
35,"誘引香の罠で「ゼウグロドン」を誘き寄せて倒し、
「雲海種の骨格標本」を収集","こちらアインハルト管制……
探索任務の第一段階完了を確認した。","さらに、別の標本の採取も頼む。
「誘引香の罠」を用いて対象生物を誘き寄せ、標本を収集してくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,0,3,-1
36,バウンティ号の漂着地のアインハルト家の飛空士に収集物を納品,"こちらアインハルト管制……
探索任務の第二段階完了を確認した。","最後に収集した品を、「バウンティ号の漂着地」にいる、
「アインハルト家の飛空士」に届けてくれ。","諸君たちの協力に感謝する。
報酬は、漂着地で受渡をさせてもらうぞ！",0,0,0,2,0,0,-1
37,「シルバーシェル」を討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な卵の確保を依頼したい。
まずは周辺を探索しつつ、卵狙いのネズミが現れるのを待ってくれ。",,0,0,0,1,8,0,-1
