#,ChapterName,ChapterPart,Transient,Quest,Unknown0,QuestRedoUISmall,QuestRedoUILarge,QuestRedoUIWide,UITab,Category,Unknown1
0,,,,0,0,0,0,0,0,0,0
1,新生エオルゼア 1,,"神々に愛されし地「エオルゼア」に、ひとりの冒険者が降り立つ。
求めるは力か、名誉か、富か、それとも……。
母なるクリスタルに導かれし光の戦士にして、
のちに英雄と呼ばれる冒険者の長き旅路が、いま始まろうとしている。",66060,0,114766,114166,114466,1,30,1
2,新生エオルゼア 2,,"エオルゼア三国を巡り、それぞれが抱える問題の根深さを目の当たりにするなか、
冒険者は秘密組織「暁の血盟」の一員と出会う。
異能「超える力」とは何なのか、目にした「幻」は何を意味するのか。
その真相を知るために、冒険者は彼らの拠点を目指すのだった。",66060,0,114767,114167,114467,1,30,2
3,新生エオルゼア 3,,"蛮神「イフリート」を巡る問題に対処することで「光の戦士」の再来として、
注目を集めることになった冒険者は、闇の使徒アシエンと対峙することに。
エオルゼアで暗躍する彼らの動向を探るべく、
冒険者は仮面の男「アシエン・ラハブレア」の足取りを追う。",66060,0,114768,114168,114468,1,30,3
4,新生エオルゼア 4,,"海雄旅団の助力を得て、光の戦士は蛮神「タイタン」の討滅に成功した。
その傍ら、激闘を密やかに見つめる存在に気づいたヤ・シュトラは、
ガレマール帝国とアシエンが協力関係にあることを知る。
そして、今後の方策を練るべく、光の戦士は「砂の家」へと帰還するが……。",66060,0,114769,114169,114469,1,30,4
5,第七星暦ストーリー 1,,"光の戦士たちが魔導城プラエトリウムでの激戦を制したことにより、
世界は第七霊災という暗澹たる時代を乗り越え、ついに第七星暦を迎える。
エオルゼアの救済を掲げる「暁の血盟」にとっても、これは大きな前進となった。
しかし一方で、組織に注目が集まるがゆえの、新たな問題を抱えることとなる。",66996,0,114770,114170,114470,1,30,5
6,第七星暦ストーリー 2,,"第七星暦を迎えてなお、エオルゼアは終わりの見えぬ動乱に喘いでいる。
蛮族と蛮神、バル島の消滅、難民の流入と暴動、そしてクルザスの異端者……。
アルフィノによって設立された統一先行組織「クリスタルブレイブ」が、
一手に担いきれぬほど、エオルゼアの抱える課題は山積みとなっていた。",65964,0,114771,114171,114471,1,30,6
7,蒼天のイシュガルド 1,,"砂蠍衆ロロリトの謀略により、「暁の血盟」の輝きは失われた。
そして、堕ちた英雄は、失意のアルフィノと共に北方の地「クルザス」に向かう。
しかし、彼の地を治める宗教都市「イシュガルド」では、
千年の長きに亘るドラゴン族との戦い、竜詩戦争が続いていた。",67205,0,114701,114101,114401,1,1,1
8,蒼天のイシュガルド 2,,"ドラゴン族の領域を訪れ、聖竜「フレースヴェルグ」との邂逅を果たした一行は、
竜詩戦争の始まりに隠された歴史の真実を知ることに。
かつてあった人と竜との融和、そして人の王による裏切りと対立……
悲劇の連鎖を止めるため、光の戦士は蒼の竜騎士と邪竜狩りに挑む。",67205,0,114702,114102,114402,1,1,2
9,竜詩戦争完結編,,"幾多の犠牲を払いながら、光の戦士たちは「アジス・ラー」での決戦に勝利し、
戦いの因果の一端を断ち斬ることに成功した。
しかし、争いのすべてが消え去ったわけではない……。
イシュガルドの前途に困難が待ち受けていることは、誰の目にも明らかであった。",67783,0,114703,114103,114403,1,1,3
10,竜詩戦争戦後編,,"雲廊での決戦により邪竜「ニーズヘッグ」の影が払われたことで、
千年の長きに亘った竜詩戦争は遂に終結した。
そして、ひとつの終わりは、新たな始まりを告げることになる。
ここからは、かの伯爵の回顧録には綴られない物語……。",67895,0,114704,114104,114404,1,1,4
11,紅蓮のリベレーター 1,,"ガレマール帝国の圧政から、
アラミゴの解放を目指して進軍を開始するエオルゼア同盟軍。
一方、時を同じくして東州オサード小大陸でも反撃の狼煙が上がろうとしていた。
光の戦士の冒険は、ついにエオルゼア地域を離れ、東方へも及んでいく。",68089,0,114705,114105,114405,1,2,1
12,紅蓮のリベレーター 2,,"紅玉海での冒険を経て、光の戦士たち一行は、
かつてドマが治めていた「ヤンサ」で、ふたたび帝国支配の実情を目の当たりにする。
代理総督「ヨツユ」による弾圧に苦しむ人々を救う秘策を求め、
光の戦士たちは、ドマの若君が潜伏する大草原、アジムステップへと向かう。",68089,0,114706,114106,114406,1,2,2
13,解放戦争戦後編 1,,"解放、それは支配の終わりであると同時に、新たな時代の始まりである。
その境目にあって、人々は過去と未来にどう向き合うべきか選択を迫られていた。
国造りを支えるため奔走するリセ、暗い独房に囚われたフォルドラ、
悲願を成し遂げた猛将ラウバーン、彼らが選ぶ道、帰るべき場所とは……。",68612,0,114707,114107,114407,1,2,3
14,解放戦争戦後編 2,,"ガレマール帝国の中枢にて暗躍する「ゼノスの顔を持つ男」。
そして、消えた皇太子ゼノスの遺体……。
それら不可解な事象の裏に混沌の使者、アシエンの介在が疑われる中、
「暁の血盟」の本部たる石の家にひとりの使者が訪れる。",68721,0,114708,114108,114408,1,2,4
