#,Description,Unknown1,Unknown2,PreviewIcon,Transformation,Unknown5,Expansion
0,,0,0,0,0,0,0
1,おっとりとしているが、芯の強そうな角尊の女性,0,0,73801,219,76,0
2,揺るぎない信念と自信に満ちた、ルガディンの女性,1,0,73802,220,76,0
3,勇猛で闘志溢れる、ヒューランの男性,2,0,73803,221,76,0
4,桃色の髪が可愛らしい、高貴なララフェルの女性,3,0,73804,222,76,0
5,魔導技術に長け、部下から慕われるガレアンの男性,4,66054,73805,355,91,0
6,野心が強く、つかみどころがないガレアンの男性,5,66737,73806,354,91,0
7,暁の金庫番に恋する、技術者のララフェルの男性,6,66737,73807,532,152,0
8,相棒とともに帝国を出奔した技術者のルガディンの男性,7,66737,73808,533,152,0
9,赤髪と紅い瞳を持つ、ミコッテの男性,8,66737,73809,356,91,0
10,秘密結社を盟主として導く、ヒューランの女性,9,66046,73810,395,105,0
11,属州人ながら陣営隊長を務めた、ルガディンの男性,10,70058,73811,392,105,0
12,歌姫として名を馳せた、魅力的なミコッテの女性,11,66729,73812,391,105,0
13,大胆不敵で素敵な紳士のヒューランの男性,12,66740,73813,393,105,0
14,紳士な事件屋の助手を務める、ミコッテの女性,13,66740,73814,394,105,0
15,エオルゼア最強の彫金師と呼ばれる、ヒューランの男性,14,66740,73815,508,142,0
16,秘密結社の金庫番であるララフェルの女性,15,66045,73816,507,142,0
17,新生を果たしたヒューランの男性,99,70058,73817,484,132,0
18,黒髪で蒼い瞳に強い意志が宿る、エレゼンの男性,0,67205,73818,217,76,1
19,正義感が強く凛々しい、ハーフエレゼンの女性,1,67205,73819,357,91,1
20,黄色の耳付きローブをまとった、ララフェルの女性,2,67699,73820,218,76,1
21,類まれな槍さばきを誇る、孤高のエレゼンの男性,3,68089,73821,358,91,1
22,空賊を率い、自由を愛するヒューランの男性,4,67740,73822,359,91,1
23,自由な相棒の尻拭い役を務める、空賊のヒューランの女性,5,67910,73823,534,152,1
24,空賊の技術担当を務める、ララフェルの女性,6,67910,73824,535,152,1
25,噂好きの、高貴なエレゼンの男性,7,67205,73825,482,132,1
26,蒼天が似合うヒューランの男性,99,67205,73826,483,132,1
27,潔くも大らかな、東方のヒューランの男性,0,68089,73827,214,76,2
28,忍びの技に長け、忠義を尽くすアウラの女性,1,68089,73828,215,76,2
29,尊大にして武勇に優れた、独り身のアウラの男性,2,68089,73829,213,76,2
30,勝ち気で豪快な、誇り高きアウラの女性,3,68089,73830,212,76,2
31,可憐で儚げな、神託に従って生きるアウラの女性,4,68089,73831,211,76,2
32,真紅の衣装をまとい、体術に長けたヒューランの女性,5,68089,73832,216,76,2
33,紅玉海の海賊衆を束ねる、ルガディンの男性,6,68089,73833,536,152,2
34,海賊衆の副頭領として長を支える、ヒューランの男性,7,68089,73834,537,152,2
35,聖獣に慕われていた、かつての英雄であるヒューランの男性,8,68702,73835,361,91,2
36,全権大使を務める、感情的なヒューランの男性,9,68610,73836,360,91,2
37,闇の使徒を討たんとする、ガレアンの男性,10,68717,73837,478,132,2
38,賢人位を持つ、非常に博識なアウラの女性,11,68725,73838,479,132,2
39,紅蓮が似合う、体術自慢のヒューランの男性,98,68089,73839,480,132,2
40,紅蓮が似合う、刀を携えたヒューランの男性,99,68089,73840,481,132,2
41,魔女を名乗る、聡明なミコッテの女性,0,69190,73841,362,91,3
42,星を読み運命を切り開く、寡黙なエレゼンの男性,1,69190,73842,364,91,3
43,ガンブレードを操る、勇ましいヒューランの男性,2,69190,73843,363,91,3
44,数奇な運命を背負う、青すぎる瞳を持つヒューランの少女,3,69190,73844,365,91,3
45,首領代行として海賊をまとめる、ヒューランの男性,4,69552,73845,473,132,3
46,魔獣使いとして知られる、ヒューランの男性,5,69487,73846,474,132,3
47,名門魔獣使いの家名を持つ、我執のララフェルの女性,6,69620,73847,475,132,3
48,帝国軍団長を務める、執念深いガレアンの男性,7,69568,73848,476,132,3
49,漆黒が似合うヒューランの男性,99,69190,73849,477,132,3
50,哲学者議会の有力議員である、エレゼンの男性,0,70000,73850,464,132,4
51,福祉団体の主宰を務める、心優しきエレゼンの女性,1,70000,73851,469,132,4
52,瓦礫の祖国で復興に尽力する、ガレアンの男性,2,70000,73852,470,132,4
53,世界中を飛び回り目的の品を集める、ヴィエラの男性,3,70000,73853,471,132,4
54,東方の名品収集を趣味とする、ヒューランの男性,4,70269,73854,509,142,4
55,古の大魔道士の魂を身に宿した、ミコッテの女性,5,70199,73855,510,142,4
56,ヴォイドに消えた姉と再会した、七大天竜の戦闘用の写し身,6,70286,73856,538,152,4
57,照れ屋だが計算力に長けた、大胆不敵な紳士の複製,7,70336,73857,539,152,4
58,暁月が似合うヒューランの男性,99,70000,73858,472,132,4
59,黄金郷にたどり着き武王となった、ロスガルの女性,0,70495,73859,570,164,5
60,妹を支える理王となった、ミコッテの男性,1,70495,73860,571,164,5
61,黄金が似合うヒューランの男性,99,70495,73861,572,164,5
62,絵筆を持って戦い、自らの出自を知ったララフェルの女性,2,70495,73862,573,164,5
63,十二の神々の想いを胸に、旅を続けるヒューランの男性,8,70328,73863,574,164,4
64,闇に覆われた世界から来た、鎌を持つ半妖の女性,9,70286,73864,575,164,4
65,夜を愛する森に暮らし、魔女を敬愛するロスガルの男性,8,69190,73865,576,164,3
66,影の英雄の名を与えられた、ハーフガレアンの少年,12,68725,73866,577,164,2
67,英雄の妹の名を与えられた、ハーフガレアンの少女,13,68725,73867,578,164,2
68,劇団の主宰を務め、伝承を追い求めるガレアンの男性,14,68725,73868,579,164,2
