#,Icon,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10
0,121464,0,20,30,15,0,0,0,0,0,0,False
1,121465,0,20,30,15,0,0,0,0,0,0,False
2,121466,0,20,30,15,0,0,0,0,0,0,False
3,121467,0,20,30,15,0,0,0,0,0,0,False
4,121468,0,40,30,15,0,0,0,0,0,0,False
5,121469,0,60,30,15,0,0,0,0,0,0,False
6,121470,0,80,30,15,0,0,0,0,0,0,False
7,121471,0,100,30,15,0,0,0,0,0,0,False
8,121472,0,100,30,15,0,-10,0,0,0,0,False
9,121473,0,100,30,15,0,-20,0,0,0,0,False
10,121474,200,400,30,15,0,-30,60,15,0,-30,True
11,121475,400,800,30,15,0,-45,60,15,0,-45,True
12,121476,600,1200,30,15,0,-60,60,15,0,-60,True
13,121477,800,1600,30,15,0,-75,60,15,0,-75,True
14,121478,1000,2000,30,15,0,-90,60,15,0,-90,True
15,121479,1200,2400,30,15,0,-105,60,15,0,-105,True
16,121480,1400,2800,30,15,0,-120,60,15,0,-120,True
17,121481,1600,3200,30,15,0,-135,60,15,0,-135,True
18,121482,1800,3600,30,15,0,-150,60,15,0,-150,True
19,121483,2000,0,30,15,0,-165,60,15,0,-165,True
