#,Script[0].ScriptInstruction,Script[0].ScriptArg,Script[1].ScriptInstruction,Script[1].ScriptArg,Script[2].ScriptInstruction,Script[2].ScriptArg,Script[3].ScriptInstruction,Script[3].ScriptArg,Script[4].ScriptInstruction,Script[4].ScriptArg,Script[5].ScriptInstruction,Script[5].ScriptArg,Script[6].ScriptInstruction,Script[6].ScriptArg,Script[7].ScriptInstruction,Script[7].ScriptArg,Script[8].ScriptInstruction,Script[8].ScriptArg,Script[9].ScriptInstruction,Script[9].ScriptArg,Script[10].ScriptInstruction,Script[10].ScriptArg,Script[11].ScriptInstruction,Script[11].ScriptArg,Script[12].ScriptInstruction,Script[12].ScriptArg,Script[13].ScriptInstruction,Script[13].ScriptArg,Script[14].ScriptInstruction,Script[14].ScriptArg,Script[15].ScriptInstruction,Script[15].ScriptArg,Script[16].ScriptInstruction,Script[16].ScriptArg,Script[17].ScriptInstruction,Script[17].ScriptArg,Script[18].ScriptInstruction,Script[18].ScriptArg,Script[19].ScriptInstruction,Script[19].ScriptArg,Script[20].ScriptInstruction,Script[20].ScriptArg,Script[21].ScriptInstruction,Script[21].ScriptArg,Script[22].ScriptInstruction,Script[22].ScriptArg,Script[23].ScriptInstruction,Script[23].ScriptArg,Script[24].ScriptInstruction,Script[24].ScriptArg,Script[25].ScriptInstruction,Script[25].ScriptArg,Script[26].ScriptInstruction,Script[26].ScriptArg,Script[27].ScriptInstruction,Script[27].ScriptArg,Script[28].ScriptInstruction,Script[28].ScriptArg,Script[29].ScriptInstruction,Script[29].ScriptArg,MainOption,SubOption,Name,IconActor,IconMap,SpecialLinks,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12
720896,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720897,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
720898,HOWTO_MOGLETTER,22,DENINED_LETTERS,3902,LETTER_BOX_USAGE,3903,CLEAR_QUEST0,67017,CLEAR_QUEST1,67106,CLEAR_QUEST2,65898,THE1ST_MOOGLE_01,1027996,THE1ST_MOOGLE_02,1029989,THE1ST_MOOGLE_03,1028310,THE1ST_MOOGLE_04,1027455,THE1ST_MOOGLE_05,1030437,THE1ST_MOOGLE_06,1027965,THE1ST_MOOGLE_07,1027964,THE1ST_OPEN_QUEST,68817,THE1ST_OPEN_QUEST_SEQ,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,CmnDefMogLetter_00002,0,60551,0,0,0,False,False,True,False,False,False,False,False,False,False,True
720899,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
720900,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
720901,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegFstAdvGuild_00005,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720902,SUCCESS_LOG,485,HOWTO_LINKSHELL,17,INFO_ERROR_1,364,INFO_ERROR_2,364,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,CmnDefLinkShell_00006,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720903,QUEST0,65975,QUEST1,66608,QUEST2,65964,QUEST3,66604,QUEST4,67168,QST_AKTKMG115,70000,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegFstLncGuild_00007,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720904,QUEST0,65612,QUEST1,66626,QUEST2,65964,QUEST3,66622,QUEST4,67168,QST_AKTKMG115,70000,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegFstArcGuild_00008,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720905,RETAINER_SUCCESS_EMPLOY,394,RETAINER_SUCCESS_ASSIGN_MARKET,396,LIMSA,1,GRIDANIA,2,ULDAH,3,RETAINER_SUCCESS_DISMISS,395,REWARD_RETAINER,3,NPC_OF_LIMSA,1003275,NPC_OF_GRIDANIA,1000233,NPC_OF_ULDAH,1001963,REGISTERING_CONTENT_FINDER,25,OTHER_WORLD,40,RETAINER_REMAKE_COMPLETE,406,ISHGARD,4,NPC_OF_ISHGARD,1011198,ITEM_RETAINER_JOB_SCROLL,14044,ITEM_SCROLL_TRADE_COIN,7796,NUM_SCROLL_TRADE_COIN,40,TOWN40,7,NPC_OF_TOWN40,1018983,ENEABLE_TOWN50_QUEST,68817,OLDSHARLAYAN,12,NPC_OF_OLDSHARLAYAN,1037056,TULIYOLLAL,14,NPC_OF_TULIYOLLAL,1048384,,0,,0,,0,,0,,0,リテイナー受付,,CmnDefRetainerDesk_00009,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
