#,Name,Description,Icon,FCRank
0,,,0,0
1,カンパニーチェスト,カンパニーチェストが利用できる。,64301,1
2,クレストエディット,クレストをカスタマイズできる。,64302,2
3,クレスト装飾,防具にクレストを装飾できる。,64303,4
4,カンパニーアクション,カンパニーアクションを利用できる。,64304,5
5,カンパニーチェスト拡張,カンパニーチェストのボックスが２個増える。,64305,3
6,クレスト拡張,利用できる絵柄が増える。,64306,7
7,カンパニーアクション拡張,カンパニーアクションの発動数とリザーブ数が増える。,64307,8
8,土地保有権,冒険者居住区の土地を購入できる。,64308,6
9,カンパニーチェスト拡張,カンパニーチェストのボックスが１個増える。,64305,9
10,カンパニーアクション拡張,カンパニーアクションのリザーブ数が増える。,64307,10
11,カンパニーチェスト拡張,カンパニーチェストのボックスが１個増える。,64305,11
12,カンパニーアクション拡張,カンパニーアクションのリザーブ数が増える。,64307,12
13,カンパニーアクション拡張,カンパニーアクションのリザーブ数が増える。,64307,13
