#,Name,MapIcon,TextDataStart,TextDataEnd,StartCutscene,LGBEventRange,LGBPopRange,EndCutscene,TimeLimit,ContentFinderCondition,AdditionalData,Unknown0,Unknown1,Unknown2,Unknown3,Unknown5,Type,Unknown4
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
1,エターナルセレモニー,0,1000,1143,0,0,0,0,0,0,0,0,0,0,18,0,1,0
2,,60848,0,0,0,0,0,0,0,195,0,0,0,0,18,0,2,0
3,,60851,0,0,50007,7207922,0,0,180,283,1,0,0,0,18,0,3,0
4,,60851,0,0,50008,7516174,0,0,180,581,2,0,0,0,18,0,3,0
5,,60831,0,0,50009,7536621,0,0,60,583,0,0,0,0,18,0,4,0
6,,60851,0,0,50010,7646208,0,0,180,598,3,0,0,0,18,0,3,0
7,,60848,3000,3003,0,0,0,0,10,600,1,30,0,0,18,0,5,0
8,,60848,3000,3003,0,0,0,0,10,601,2,30,0,0,18,0,5,0
9,,60848,3000,3003,0,0,0,0,10,602,3,30,0,0,18,0,5,0
10,,60848,3000,3003,0,0,0,0,10,603,4,30,0,0,18,0,5,0
11,,60848,3000,3003,0,0,0,0,10,604,5,30,0,0,18,0,5,0
12,,60848,3000,3003,0,0,0,0,10,605,6,30,0,0,18,0,5,0
13,,60848,3000,3003,0,0,0,0,10,606,7,30,0,0,18,0,5,0
14,,60848,3000,3003,0,0,0,0,10,607,8,30,0,0,18,0,5,0
15,,60848,3000,3003,0,0,0,0,10,608,9,30,0,0,18,0,5,0
16,,60851,2100,2138,50011,7840031,0,0,180,639,4,2,0,0,18,0,3,13
17,,60848,3000,3003,0,0,0,0,10,705,10,31,0,0,18,0,5,24
18,,60848,3000,3003,0,0,0,0,10,706,11,31,0,0,18,0,5,24
19,,60848,3000,3003,0,0,0,0,10,707,12,31,0,0,18,0,5,24
20,,60848,3000,3003,0,0,0,0,10,708,13,31,0,0,18,0,5,24
21,,60848,3000,3003,0,0,0,0,10,709,14,31,0,0,18,0,5,24
22,,60848,3000,3003,0,0,0,0,10,710,15,31,0,0,18,0,5,24
23,,60848,3000,3003,0,0,0,0,10,711,16,31,0,0,18,0,5,24
24,,60848,3000,3003,0,0,0,0,10,712,17,31,0,0,18,0,5,24
25,,60848,3000,3003,0,0,0,0,10,713,18,31,0,0,18,0,5,24
26,,0,0,0,50015,8308669,0,0,180,722,1,22,0,0,18,0,6,0
27,,60805,2200,2329,50016,8401665,8401662,0,180,735,1,36,4,0,18,0,7,0
28,,0,0,0,50020,8308669,0,0,180,742,2,22,0,0,18,0,6,0
29,,0,0,0,50021,8308669,0,0,180,753,3,22,0,0,18,0,6,0
30,,0,2400,2499,50026,8548099,8626209,50024,180,760,0,45,0,2,18,0,8,0
31,,0,2400,2499,50027,8548099,0,50025,180,761,0,45,0,3,18,0,8,0
32,,0,3100,3102,2939,0,0,0,0,0,0,0,0,0,18,0,9,0
33,,0,2500,2639,50028,8773410,8759203,0,180,778,2,51,5,0,18,0,7,0
34,,60848,3000,3003,0,0,0,0,10,927,19,118,0,0,18,0,5,48
35,,60848,3000,3003,0,0,0,0,10,928,20,119,0,0,18,0,5,48
36,,60848,3000,3003,0,0,0,0,10,929,21,120,0,0,18,0,5,48
37,,60848,3000,3003,0,0,0,0,10,930,22,121,0,0,18,0,5,48
38,,60848,3000,3003,0,0,0,0,10,931,23,122,0,0,18,0,5,48
39,,60848,3000,3003,0,0,0,0,10,932,24,123,0,0,18,0,5,48
40,,60848,3000,3003,0,0,0,0,10,933,25,124,0,0,18,0,5,48
41,,60848,3000,3003,0,0,0,0,10,934,26,125,0,0,18,0,5,48
42,,60848,3000,3003,0,0,0,0,10,935,27,126,0,0,18,0,5,48
43,,60848,0,0,0,0,0,50029,0,958,0,146,0,0,1,0,10,54
44,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,,60808,2700,2791,3639,11510437,10968708,0,180,1018,1,192,0,0,18,36,11,69
46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
