#,Singular,Plural,NameRank,Unknown0,Adjective,PossessivePronoun,StartsWithVowel,Unknown1,Pronoun,Article
0,,,,,0,0,0,0,0,0
1,二等闘兵,,,,0,0,0,0,0,0
2,一等闘兵,,,,0,0,0,0,0,0
3,上等闘兵,,,,0,0,0,0,0,0
4,闘兵長,,,,0,0,0,0,0,0
5,闘伍長,,,,0,0,0,0,0,0
6,闘軍曹,,,,0,0,0,0,0,0
7,闘曹長,,,,0,0,0,0,0,0
8,准闘士,,,,0,0,0,0,0,0
9,少闘士,,,,0,0,0,0,0,0
10,中闘士,,,,0,0,0,0,0,0
11,大闘士,,,,0,0,0,0,0,0
12,少闘佐,,,,0,0,0,0,0,0
13,中闘佐,,,,0,0,0,0,0,0
14,大闘佐,,,,0,0,0,0,0,0
15,准闘将,,,,0,0,0,0,0,0
16,少闘将,,,,0,0,0,0,0,0
17,中闘将,,,,0,0,0,0,0,0
18,大闘将,,,,0,0,0,0,0,0
19,闘聖,,,,0,0,0,0,0,0
