#,IsEnemyTo[0],IsEnemyTo[1],IsEnemyTo[2],IsEnemyTo[3],IsEnemyTo[4],IsEnemyTo[5],IsEnemyTo[6],IsEnemyTo[7],IsEnemyTo[8],IsEnemyTo[9],IsEnemyTo[10],IsEnemyTo[11],IsEnemyTo[12],IsEnemyTo[13],IsEnemyTo[14]
0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
2,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
3,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
4,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False
5,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
6,True,True,True,True,False,True,False,True,True,False,False,False,False,False,False
7,True,True,True,True,False,True,True,False,True,False,False,False,False,False,False
8,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False
9,True,True,True,True,False,True,False,False,False,False,True,True,False,False,False
10,True,True,True,True,False,True,False,False,False,True,False,True,False,False,False
11,True,True,True,True,False,True,False,False,False,True,True,False,False,False,False
12,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False
13,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False
14,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False
