#,Question,Confirm,Category
0.0,1691,0,102
0.1,1683,0,103
0.2,1681,0,104
0.3,1682,0,105
0.4,4937,0,1001
0.5,11502,11504,1002
0.6,11503,11504,1003
0.7,1979,11512,1004
0.8,3406,0,1005
1.0,1691,0,102
1.1,1683,0,103
1.2,1681,0,104
1.3,1682,0,105
2.0,1784,1785,101
2.1,3971,0,102
2.2,1782,0,103
2.3,1780,1939,104
2.4,1781,0,105
2.5,11501,0,1001
2.6,2436,2438,1002
2.7,2437,2438,1003
2.8,11510,11511,1004
2.9,3290,0,1005
3.0,3971,0,102
3.1,1943,0,103
3.2,1940,0,104
3.3,10599,0,108
3.4,1942,0,105
3.5,11501,9213,1001
3.6,2436,2438,1002
3.7,2437,2438,1003
3.8,11510,11511,1004
3.9,11194,0,1008
3.10,1942,0,105
4.0,3976,0,102
4.1,3977,0,103
4.2,3978,0,104
4.4,11506,0,1001
4.5,11508,11509,1002
4.6,11507,11509,1003
4.7,11515,11516,1004
4.8,11437,0,1005
5.0,3971,0,102
5.1,1943,0,103
5.2,1940,0,104
5.3,1941,1945,105
5.4,11501,9213,1001
5.5,2436,2438,1002
5.6,2437,2438,1003
5.7,11510,11511,1004
5.8,11517,11518,1010
6.0,3971,0,102
6.1,1940,1939,104
6.2,11501,0,1001
6.3,2436,2438,1002
6.4,2437,2438,1003
6.5,11510,11511,1004
6.6,8894,8956,1005
7.0,468,0,106
7.1,1683,0,103
7.2,1681,0,104
7.3,4937,0,1001
7.4,1324,0,1009
7.5,11513,0,1005
7.6,1682,0,105
7.7,11502,11504,1002
7.8,11503,11504,1003
7.9,1979,11512,1004
8.0,3971,0,102
8.1,1943,0,103
8.2,1940,0,104
8.3,1941,1945,105
8.4,11501,9213,1001
8.5,2436,2438,1002
8.6,2437,2438,1003
8.7,11510,11511,1004
9.0,0,0,0
10.0,0,0,0
11.0,1941,1945,105
11.1,1943,0,103
11.2,1940,0,107
11.3,5452,0,1007
