#,Name,Description,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
0,,,0,0,0,0,False
1,ルーレット,ルールをランダムで決定する。,0,0,0,0,False
2,オールオープン,お互いに全ての手札を公開してプレイする。,1000,3,0,0,False
3,スリーオープン,お互いにランダムに選ばれた手札3枚を公開してプレイする。,1166,2,0,0,False
4,セイム,配置するカードの2辺以上が、隣接カードと同じ数値であれば隣接カードを支配できる。,666,0,0,0,False
5,サドンデス,対戦結果がドローの場合、それぞれが支配したカードでデッキを構成して再戦する。,1333,0,0,0,True
6,プラス,配置するカードの2辺以上と、隣接カードの数値の和が等しい場合、隣接カードを支配できる。,666,0,0,0,False
7,ランダムハンド,お互いに、カードリストに登録済みの全カードからランダムに選ばれた5枚のカードで対戦する。,1000,15,0,0,True
8,オーダー,お互いに、デッキにセットした順番でカードを使いプレイする。,1666,9,15,0,False
9,カオス,お互いに、ランダムに決められた順番でカードを使いプレイする。,1433,8,0,0,False
10,リバース,カードの強さが逆転する。,1000,0,0,0,False
11,エースキラー,Aを1で支配できる。リバース適用時は1をAで支配できる。,666,0,0,0,False
12,タイプアセンド,タイプを有するカードが、場に置かれた同タイプのカードの枚数分強くなる。,1000,13,0,0,False
13,タイプディセンド,タイプを有するカードが、場に置かれた同タイプのカードの枚数分弱くなる。,1000,12,0,0,False
14,スワップ,お互いのデッキからランダムで選ばれた1枚を、相手と交換してプレイする。,1666,0,0,0,False
15,ドラフト,ランダムに提示されるカードからデッキを構築し対戦する。,1000,7,8,0,False
