#,Name,Description,Icon,Territory
0,,,0,1
1,ミスト・ヴィレッジスタイル,"ラノシア様式の小型住宅向けの建築スタイル
潮風への対策がしっかりと施されている",82107,282
2,ミスト・ヴィレッジスタイル,"ラノシア様式の中型住宅向けの建築スタイル
潮風への対策がしっかりと施されている",82108,283
3,ミスト・ヴィレッジスタイル,"ラノシア様式の大型住宅向けの建築スタイル
潮風への対策がしっかりと施されている",82109,284
4,ラベンダーベッドスタイル,"黒衣森様式の小型住宅向けの建築スタイル
黒衣森の森林資源が活用されている",82104,342
5,ラベンダーベッドスタイル,"黒衣森様式の中型住宅向けの建築スタイル
黒衣森の森林資源が活用されている",82105,343
6,ラベンダーベッドスタイル,"黒衣森様式の大型住宅向けの建築スタイル
黒衣森の森林資源が活用されている",82106,344
7,ゴブレットビュートスタイル,"ザナラーン様式の小型住宅向けの建築スタイル
昼夜の温度差を気にせず過ごせるよう工夫されている",82101,345
8,ゴブレットビュートスタイル,"ザナラーン様式の中型住宅向けの建築スタイル
昼夜の温度差を気にせず過ごせるよう工夫されている",82102,346
9,ゴブレットビュートスタイル,"ザナラーン様式の大型住宅向けの建築スタイル
昼夜の温度差を気にせず過ごせるよう工夫されている",82103,347
10,シロガネスタイル,"東方様式の小型住宅向けの建築スタイル
四季の移り変わりに適した工夫が凝らされている",82113,649
11,シロガネスタイル,"東方様式の中型住宅向けの建築スタイル
四季の移り変わりに適した工夫が凝らされている",82114,650
12,シロガネスタイル,"東方様式の大型住宅向けの建築スタイル
四季の移り変わりに適した工夫が凝らされている",82115,651
13,エンピレアムスタイル,"クルザス様式の小型住宅向けの建築スタイル
厳しい寒さを耐え抜くための住宅機能が整っている",82110,980
14,エンピレアムスタイル,"クルザス様式の中型住宅向けの建築スタイル
厳しい寒さを耐え抜くための住宅機能が整っている",82111,981
15,エンピレアムスタイル,"クルザス様式の大型住宅向けの建築スタイル
厳しい寒さを耐え抜くための住宅機能が整っている",82112,982
16,シンプルスタイル,"小型住宅向けのシンプルな内装
特殊な建築技法で柱や梁の数を減らし、スッキリとした見た目を実現している",82116,1249
17,シンプルスタイル,"中型住宅向けのシンプルな内装
特殊な建築技法で柱や梁の数を減らし、スッキリとした見た目を実現している",82117,1250
18,シンプルスタイル,"大型住宅向けのシンプルな内装
特殊な建築技法で柱や梁の数を減らし、スッキリとした見た目を実現している",82118,1251
