#,Message,Unknown1,Unknown2
0,,4,True
1,"破壊された魔導アーマーの残骸がある。
激しい戦闘が行われたのだろうか？",7,False
2,"使い込まれた剣と盾がある。
ガレマール帝国軍の装備ではないようだ。
誰が使ったものだろうか？",7,False
3,"若き日のシドが記した、
月の衛星「ダラガブ」の観測データのようだ。
几帳面な文字で、難解な数式と数字が羅列されている。
シドの推論によると「ダラガブ」は、太陽エネルギーを集積し、
波長を変えて送る機能を有している可能性が高いようだ。

受信設備が不十分な状態で「ダラガブ」を起動すれば、
数千年に亘って蓄積されてきた膨大なエネルギーが
降り注ぎ、重大事故が発生するであろう、と結論付けている。 ",4,True
4,"魔導リーパーの残骸だ。
損傷が激しく、使用することは難しそうだ……。",7,False
5,"脚部不良の魔導リーパーだ。
先程の戦闘で消耗し、もう使用できないようだ……。",7,False
6,"すでに事切れている。
自分自身の身体でなら、救えたかもしれない……。

キャンプ・ブロークングラスに急ぎ、ゼノスの凶行を阻止しよう。",7,False
7,"魅了された帝国兵に襲われたらしく、すでに事切れている。


その懐から、「軍用ポーション」を発見した。
ありがたく使わせてもらおう。",7,False
8,"必死に抵抗した形跡があるが、すでに事切れている。


その懐から、「軍用ポーション」を発見した。
ありがたく使わせてもらおう。",7,False
9,"脚部不良の魔導リーパーだ。
まだ機体は温かく、直前まで動いていた形跡がある。
魔導リーパー認証鍵と燃料があれば起動できるだろう。
この機体の魔導カノンを使えば、
正面の敵を一掃することができるかもしれない……。",7,False
10,"脚部不良の魔導リーパーだ。
認証鍵を使用したが、燃料が空のため起動することができない。

燃料が残っている魔導リーパーの残骸を探してみよう。",7,False
11,"魔導リーパーの残骸だ。
操縦席のメーターは、まだ燃料の残量があることを示している。
青燐水タンクを取り外して、運ぶことができそうだ。",7,False
12,"脚部不良の魔導リーパーだ。
先程の戦闘で消耗し、もう使用できないようだ……。",7,False
13,"魔導リーパーの残骸だ。
損傷が激しく、使用することは難しそうだ……。",7,False
14,"魔導リーパーの残骸だ。
操縦席のメーターは、まだ燃料の残量があることを示しているが、
損傷が激しく、使用することは難しそうだ……。",7,False
15,"すでに事切れている。
自分自身の身体でなら、救えたのだろうか……。",7,False
16,"魔導リーパーの残骸だ。
損傷が激しく、使用することは難しそうだ……。",7,False
17,"まだ若い新兵らしき帝国兵が、事切れている。


その懐から、「軍用ポーション」を発見した。
ありがたく使わせてもらおう。",7,False
18,"魅了された帝国兵が「軍用ポーション」を持っていた！


このクエストバトルでは、通常時の戦闘能力を発揮できません。
そのため、なるべく戦闘を回避しながら、
キャンプ・ブロークングラスに向かうことを推奨します。
一度、発見されて戦闘状態に陥ると、
魅了された帝国兵や魔導兵器は、執拗に追跡してきます。
特に魔導兵器は手強いため、生身で戦うのは危険です。
ＨＰは、コンテンツアクション「軍用ポーション」で回復できます。
使用回数に制限がありますが、敵兵や残骸などから、
追加獲得できるため、積極的に探してみましょう。",7,False
19,"魔導リーパーの残骸だ。
損傷が激しく、使用することは難しそうだ……。

だが、操縦席から「帝国式強壮剤」を発見した！",7,False
