#,StageFull,Stage,IndexText2,IndexText,IndexNpc,Unknown3,Unknown4,Unknown12,Unknown13,Unknown5,Unknown14,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24
0,,,,,,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,"「第一次基地拡張計画」　資材準備中
 **コスモミッションに参加して資材を集めよう！",「第一次基地拡張計画」　資材準備中,"ムーンゲート基地を拡張するべく、一緒に資材を集めてほしいッスよー！
資材調達のため、コスモミッションにご協力くださいッス！",いよいよッス！　ムーンゲート基地を拡張するべく、一緒に資材を集めてほしいッスよー！,サーチングウェイ,241001,0,0,0,158,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,False
2,"「第一次基地拡張計画」　共同施工作業準備中
**共同施工作業の開始に備えよう！",「第一次基地拡張計画」　共同施工作業準備中,"ムーンゲート基地拡張のための、共同施工作業の開催時刻が決まったッス！
開催時には、ぜひぜひ協力してほしいッスー！",ムーンゲート基地拡張のための、共同施工作業の開催時刻が決まったッス！　協力してほしいッスー！,サーチングウェイ,241001,0,0,1451,158,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,False
3,"「第一次基地拡張計画」　共同施工作業実施中
**共同施工作業に参加しよう！",「第一次基地拡張計画」　共同施工作業実施中,"ムーンゲート基地拡張のための、共同施工作業を開催中ッス！
ぜひぜひ参加してほしいッスー！",ムーンゲート基地拡張のための、共同施工作業を開催中ッス！　ぜひぜひ参加してほしいッスー！,サーチングウェイ,241001,0,0,0,158,0,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,False
4,"ムーンゲート基地「ベースキャンプII」　完工
**次の作業を計画中、自由に過ごそう！",ムーンゲート基地「ベースキャンプII」　完工,"ムーンゲート基地が、いい感じに拡張されたッス！
探索活動もますます捗っていくはず……ご協力、ありがとうッスよー！",ムーンゲート基地が、いい感じに拡張されたッス！　ご協力、ありがとうッスよー！,サーチングウェイ,241002,18,0,1406,158,0,1,4,6,0,2,3,0,0,0,0,0,0,0,0,0,False
5,"「第一次コスモライナー敷設支援」　資材集積中
 **コスモミッションに参加して資材を集めよう！",「第一次コスモライナー敷設支援」　資材集積中,"ムーンゲート基地付近に、移動のためのコスモライナーを敷設するッスよ！
資材調達のため、コスモミッションにご協力くださいッス！",ムーンゲート基地付近に、移動のためのコスモライナーを敷設するッス！　一緒に資材を集めてほしいッスよー！,サーチングウェイ,241003,0,0,0,158,0,1,5,0,0,2,3,0,0,0,0,0,0,0,0,0,False
6,"「第一次コスモライナー敷設支援」　共同施工作業準備中
**共同施工作業の開始に備えよう！",「第一次コスモライナー敷設支援」　共同施工作業準備中,"コスモライナー敷設のための、共同施工作業の開催時刻が決まったッス！
開催時には、ぜひぜひ協力してほしいッスー！",コスモライナー敷設のための、共同施工作業の開催時刻が決まったッス！　協力してほしいッスー！,サーチングウェイ,241003,0,0,1451,158,0,1,6,0,0,2,3,0,0,0,0,0,0,0,0,0,False
7,"「第一次コスモライナー敷設支援」　共同施工作業実施中
**共同施工作業に参加しよう！",「第一次コスモライナー敷設支援」　共同施工作業実施中,"ムーンゲート基地付近にコスモライナーを敷設するための、共同施工作業を開催中ッス！
ぜひぜひ参加してほしいッスー！",基地付近にコスモライナーを敷設するための、共同施工作業を開催中ッス！　ぜひぜひ参加してほしいッスー！,サーチングウェイ,241003,0,0,0,158,0,1,7,0,0,2,3,0,0,0,0,0,0,0,0,0,False
8,"「コスモライナー：内周部」　敷設完了
**次の作業を計画中、自由に過ごそう！",「コスモライナー：内周部」　敷設完了,"ムーンゲート基地付近にコスモライナーが敷設されたッス！
移動が便利になって遠くまで探索へ行けるッスね、ご協力ありがとうッスよー！",ムーンゲート基地付近にコスモライナーが敷設されたッス！　ご協力、ありがとうッスよー！,サーチングウェイ,241004,18,1,1405,158,0,2,8,6,0,2,3,0,0,0,0,0,0,0,0,0,False
9,"居住モジュール、コスモポート　建設資材準備中
 **コスモミッションに参加して資材を集めよう！",居住モジュール、コスモポート　建設資材準備中,"居住モジュールと、宇宙船を発着させるコスモポートを建設するッスよ！
資材調達のため、コスモミッションにご協力くださいッス！",居住モジュールと、宇宙船を発着させるコスモポート建設のため、一緒に資材を集めてほしいッスよー！,サーチングウェイ,241005,0,0,0,158,0,2,9,0,0,2,3,0,0,0,0,0,0,0,0,0,False
10,"「居住モジュール設置支援」　共同施工作業準備中
**共同施工作業の開始に備えよう！",「居住モジュール設置支援」　共同施工作業準備中,"居住モジュール建設のための共同施工作業の開催時刻が決まったッス！
開催時には、ぜひぜひ協力してほしいッスー！",居住モジュール建設のための共同施工作業の開催時刻が決まったッス！　協力してほしいッスー！,サーチングウェイ,241005,0,0,1451,158,0,2,10,0,0,2,3,0,0,0,0,0,0,0,0,0,False
11,"「居住モジュール設置支援」　共同施工作業実施中
**共同施工作業に参加しよう！",「居住モジュール設置支援」　共同施工作業実施中,"居住モジュール建設のための、共同施工作業を開催中ッス！
ぜひぜひ参加してほしいッスー！",居住モジュール建設のための、共同施工作業を開催中ッス！　ぜひぜひ参加してほしいッスー！,サーチングウェイ,241005,0,0,0,158,0,2,11,0,0,2,3,0,0,0,0,0,0,0,0,0,False
12,"「第一次コスモポート整備支援」　資材準備中
**共同施工作業の開始に備えよう！",「第一次コスモポート整備支援」　資材準備中,"コスモポート建設のための、共同施工作業の開催時刻が決まったッス！
開催時には、ぜひぜひ協力してほしいッスー！",コスモポート建設のための共同施工作業の開催時刻が決まったッス！　協力してほしいッスー！,サーチングウェイ,241006,18,2,1401,158,0,3,12,5,0,2,3,0,0,0,0,0,0,0,0,0,False
13,"「第一次コスモポート整備支援」　共同施工作業実施中
**共同施工作業に参加しよう！",「第一次コスモポート整備支援」　共同施工作業実施中,"コスモポート建設のための、共同施工作業を開催中ッス！
ぜひぜひ参加してほしいッスー！",コスモポート建設のための、共同施工作業を開催中ッス！　ぜひぜひ参加してほしいッスー！,サーチングウェイ,241006,0,0,0,158,0,3,12,0,0,2,3,0,0,0,0,0,0,0,0,0,False
