#,Singular,Plural,NameRank,Unknown0,Adjective,PossessivePronoun,StartsWithVowel,Unknown1,Pronoun,Article
0,,,,,0,0,0,0,0,0
1,二等甲兵,,,,0,0,0,0,0,0
2,一等甲兵,,,,0,0,0,0,0,0
3,上等甲兵,,,,0,0,0,0,0,0
4,甲兵長,,,,0,0,0,0,0,0
5,甲伍長,,,,0,0,0,0,0,0
6,甲軍曹,,,,0,0,0,0,0,0
7,甲曹長,,,,0,0,0,0,0,0
8,准甲士,,,,0,0,0,0,0,0
9,少甲士,,,,0,0,0,0,0,0
10,中甲士,,,,0,0,0,0,0,0
11,大甲士,,,,0,0,0,0,0,0
12,少甲佐,,,,0,0,0,0,0,0
13,中甲佐,,,,0,0,0,0,0,0
14,大甲佐,,,,0,0,0,0,0,0
15,准甲将,,,,0,0,0,0,0,0
16,少甲将,,,,0,0,0,0,0,0
17,中甲将,,,,0,0,0,0,0,0
18,大甲将,,,,0,0,0,0,0,0
19,提督,,,,0,0,0,0,0,0
