#,Member,BigImageOld,BigImageNew,Unknown0,Unknown1,Class
0,0,0,0,0,0,0
1,1030660,72621,72681,0,0,1
2,1030661,72622,72682,1,0,2
3,1030662,72623,72683,2,0,3
4,1030663,72624,72684,3,0,4
5,1030664,72625,72685,4,0,5
6,1030665,72626,72686,5,0,6
7,1030666,72627,72687,6,0,7
8,1030667,72628,72688,7,0,8
9,1030668,72629,72689,8,1,9
10,1030669,72629,72689,9,1,9
11,1030670,72629,72689,10,1,9
12,1031986,72636,72696,8,1,9
13,1031987,72636,72696,9,1,9
14,1031988,72636,72696,10,1,9
15,1033916,72637,72697,11,1,10
16,1033918,72637,72697,12,1,10
17,1033917,72637,72697,13,1,10
18,1030671,72630,72690,0,0,1
19,1030672,72631,72691,1,0,2
20,1040726,72638,72698,14,20,11
21,1040730,72639,72699,1,21,2
22,1030662,72623,72683,2,0,3
23,1040732,72625,72685,15,2,13
24,1030664,72625,72685,4,2,5
25,1030665,72626,72686,5,10,6
26,1033916,72637,72697,11,1,10
27,1033918,72637,72697,12,1,10
28,1033917,72637,72697,13,1,10
29,1036930,72644,72704,16,0,12
30,1036935,72647,72707,17,3,14
31,1036936,72647,72707,18,3,14
32,1036937,72647,72707,19,3,14
33,1036932,72648,72708,20,4,15
34,1036933,72648,72708,21,4,15
35,1036934,72649,72709,22,0,16
36,1042776,0,72753,10000,0,17
37,1042777,0,72754,10001,0,18
38,1042778,0,72755,10002,0,19
39,1042779,0,72756,10003,0,20
40,1042780,0,72745,10004,0,21
41,1042781,0,72746,10005,0,22
42,1042782,0,72747,10006,0,23
43,1042783,0,72748,10007,0,24
44,1042784,0,72749,10008,0,21
45,1042785,0,72750,10009,0,22
46,1042786,0,72751,10010,0,23
47,1042787,0,72752,10011,0,24
48,1042788,0,72741,10012,0,25
49,1042789,0,72742,10013,0,26
50,1042790,0,72743,10014,0,27
51,1042791,0,72744,10015,0,28
52,1043427,0,72757,10016,0,21
53,1043428,0,72758,10017,0,22
54,1043429,0,72759,10018,0,23
55,1043430,0,72760,10019,0,24
56,1043431,0,72761,10020,5,30
57,1043432,0,72761,10021,5,30
58,1040739,0,72705,10022,0,12
59,1030671,0,72690,10023,6,1
60,1030671,0,72690,10024,6,1
61,1043434,0,72762,10025,0,31
62,1043435,0,72763,10026,0,32
63,1043436,0,72764,10027,0,33
64,1043433,0,72765,10028,7,34
65,1043433,0,72765,10029,7,34
66,1030671,0,72690,10030,8,1
67,1030671,0,72690,10031,8,1
68,1043956,72650,72710,23,9,29
69,1043957,72650,72710,24,9,29
70,1043958,72626,72686,25,10,6
71,1044511,0,72766,10032,11,35
72,1044511,0,72766,10033,11,35
73,1044512,0,72767,10034,10,42
74,1030671,0,72690,10035,12,1
75,1030671,0,72690,10036,12,1
76,1044515,0,72768,10037,0,21
77,1044516,0,72769,10038,0,22
78,1044517,0,72770,10039,0,23
79,1044518,0,72771,10040,0,24
80,1044513,0,72772,10041,13,40
81,1044514,0,72773,10042,13,40
82,1044519,0,72774,10043,14,36
83,1044519,0,72774,10044,14,36
84,1044520,0,72775,10045,0,37
85,1044521,0,72776,10046,0,38
86,1044551,0,72777,10047,0,39
87,1044601,72651,72711,26,0,41
88,1045265,0,72778,10048,0,43
89,1045266,0,72779,10049,0,44
90,1045267,0,72780,10050,0,45
91,1045268,0,72781,10051,17,46
92,1045269,0,72782,10052,0,47
93,1045270,0,72783,10053,0,48
94,1045271,0,72784,10054,0,49
95,1045272,0,72785,10055,0,50
96,1045273,0,72786,10056,0,51
97,1045324,0,72787,10057,0,52
98,1045274,0,72788,10058,16,53
99,1045275,0,72789,10049,0,54
100,1045276,0,72790,10059,0,55
101,1030671,0,72690,10060,15,1
102,1030671,0,72690,10061,15,1
103,1030671,0,72690,10062,18,1
104,1030672,0,72691,10063,0,2
105,1045954,0,72791,10064,0,56
106,1045274,0,72788,10065,16,53
107,1045268,0,72781,10066,17,46
108,1044512,0,72767,10067,0,42
109,1030671,0,72690,10068,18,1
110,1050472,72661,72792,27,19,57
111,1050472,72661,72792,28,19,57
112,1050473,72662,72793,29,0,58
113,1050474,72663,72794,30,0,59
114,1050475,72659,72719,31,0,60
115,1040726,72638,72698,32,20,11
116,1040730,72639,72699,33,21,2
117,1054995,72664,72795,34,22,61
118,1054995,72664,72795,35,22,61
