#,Text,SelfKind,TargetKind,NumParam,FCActivityCategory,IconType
0,,0,0,0,0,-1
1,フリーカンパニーを結成しました。,0,0,0,1,0
2,カンパニーランクがUNKNOWNにアップしました。,0,0,1,1,0
3,「」との友好関係が「」にアップしました。,1,0,1,1,5
4,「」との友好関係が「」にアップしました。,1,0,1,1,6
5,「」との友好関係が「」にアップしました。,1,0,1,1,7
6,権利「」を獲得しました。,0,0,1,1,0
7,が加入しました。,4,0,0,2,1
8,が加入しました。,4,0,0,2,1
9,が脱退しました。,4,0,0,2,2
10,が脱退しました。,4,0,0,2,2
11,が「」に就任しました。,4,5,0,2,3
12,が「」に就任しました。,4,5,0,2,3
13,が「」に就任しました。,4,5,0,2,3
14,「」に移籍しました。,0,1,0,1,5
15,「」に移籍しました。,0,1,0,1,6
16,「」に移籍しました。,0,1,0,1,7
17,が階級「」の設定を変更しました。,4,5,0,3,3
18,が階級「」を追加しました。,4,5,0,3,3
19,が階級「」を削除しました。,4,5,0,3,3
20,が階級の序列を変更しました。,4,0,0,3,3
21,,4,6,1,0,-1
22,,4,0,0,0,-1
23,,4,0,0,0,-1
24,がカンパニーボードを更新しました。,4,0,0,3,4
25,がカンパニープロフィールを更新しました。,4,0,0,3,4
26,がクレストデザインを変更しました。,4,0,0,3,8
27,が「」を獲得しました。,4,0,1,4,9
28,が「」を使用しました。,4,0,1,4,9
29,このアクティビティは削除されました。,0,0,0,0,4
30,が階級の名称を「」に変更しました。,4,5,0,3,3
31,が「」をキャンセルしました。,4,0,1,4,9
32,が「」を破棄しました。,4,0,1,4,9
33,カンパニーの略称が「」に変更されました。,0,3,0,3,4
34,カンパニー名が「」に変更されました。,0,2,0,3,4
35,が第UNKNOWN区UNKNOWN番地のハウスの名前を「」に変更しました。,4,9,0,5,11
36,が「」のグリーティングメッセージを変更しました。,4,8,0,5,11
37,が第UNKNOWN区UNKNOWN番地の土地を購入しました。,4,7,0,5,11
38,が第UNKNOWN区UNKNOWN番地の土地を破棄しました。,4,7,0,5,11
39, 第UNKNOWN区UNKNOWN番地の土地が自動破棄されました。,0,7,0,5,11
40,が第UNKNOWN区UNKNOWN番地に「」を建築しました。,4,7,1,5,11
41,が「」を撤去しました。,4,8,0,5,11
42,が「」の外装を変更しました。,4,8,0,5,11
43,が「」の内装を変更しました。,4,8,0,5,11
44,が「」の調度品の配置を変更しました。,4,8,0,5,11
45,が「」の庭具の配置を変更しました。,4,8,0,5,11
46,が「」ゲストブックスタンドのメッセージを削除しました。,4,8,0,5,11
47,から加入申請が届きました。,4,0,0,2,12
48,からの加入申請が取り消されました。,4,0,0,2,12
49,のキャラクターが削除されました。,4,0,0,2,12
50,の加入申請を拒否しました。,4,0,0,2,12
51,加入申請数が上限に達しています。,0,0,0,2,12
