#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Model,Action,Icon,Transient,Order,AttachmentPoint,Unknown3,Unknown4
0,,,0,0,0,1,0,0,0,0,0,0,-1,0,0,0
1,パラソル,,0,0,0,1,0,0,2939,2,8001,1,0,1,1,1
2,スカイパラソル,,0,0,0,1,0,0,2940,2,8002,2,1,1,1,1
3,紅漆塗番傘,,0,0,0,1,0,0,3007,2,8003,3,2,1,1,1
4,紫漆塗番傘,,0,0,0,1,0,0,3008,2,8004,4,3,1,1,1
5,黄漆塗番傘,,0,0,0,1,0,0,3009,2,8005,5,4,1,1,1
6,カルムチェックパラソル,,0,0,0,1,0,0,3010,2,8006,6,5,1,1,1
7,チアフルチェックパラソル,,0,0,0,1,0,0,3011,2,8007,7,6,1,1,1
8,クラッシーチェックパラソル,,0,0,0,1,0,0,3012,2,8008,8,7,1,1,1
9,エンジェルウィング,,0,0,0,1,0,0,3042,0,8013,100,8,2,0,2
10,ゴールドソーサーパラソル,,0,0,0,1,0,0,3169,2,8012,9,9,1,1,1
11,プレザントドットパラソル,,0,0,0,1,0,0,3166,2,8009,10,10,1,1,1
12,プリムドットパラソル,,0,0,0,1,0,0,3167,2,8010,11,11,1,1,1
13,パストーラルドットパラソル,,0,0,0,1,0,0,3168,2,8011,12,12,1,1,1
14,ファットキャットパラソル,,0,0,0,1,0,0,3286,2,8014,13,13,1,1,1
15,ロンカの水蛇傘？,,0,0,0,1,0,0,3287,2,8015,14,14,1,1,1
16,紅小月番傘,,0,0,0,1,0,0,3288,2,8016,15,15,1,1,1
17,フォーリン・エンジェルウィング,,0,0,0,1,0,0,3426,0,8017,100,16,2,0,2
18,アーク・エンジェルウィング,,0,0,0,1,0,0,3427,0,8018,100,17,2,0,2
19,ディアボロスウィング,,0,0,0,1,0,0,3428,0,8019,101,18,3,0,2
20,ピクシーウィング,,0,0,0,1,0,0,3429,0,8020,102,19,6,0,2
21,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,ミラージュ・オーバルグラス,,0,0,0,1,0,0,3431,0,786,200,21,5,0,2
23,ホワイトフリルパラソル,,0,0,0,1,0,0,3611,2,8023,16,22,1,1,1
24,ブルーブロッサムパラソル,,0,0,0,1,0,0,3612,2,8024,17,23,1,1,1
25,ミラージュ・シェイデッドグラス,,0,0,0,1,0,0,3613,0,786,201,24,5,0,2
26,ミラージュ・クラシックグラス,,0,0,0,1,0,0,3614,0,786,202,25,7,0,2
27,サボテンダーパラソル,,0,0,0,1,0,0,3701,2,8027,18,26,1,1,1
28,ブルーピクシーウィング,,0,0,0,1,0,0,3702,0,8028,102,27,6,0,2
29,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,ねこみみさんの傘,,0,0,0,1,0,0,3815,2,8029,19,28,1,1,1
31,防滴システム,,0,0,0,1,0,0,3816,2,8030,20,29,1,1,1
32,ミラージュ・ローズカラースペクタクルズ,,0,0,0,1,0,0,3884,0,786,203,30,8,0,2
33,付喪番傘,,0,0,0,1,0,0,3885,2,8031,22,31,1,1,1
34,おやかたくんの傘,,0,0,0,1,0,0,3886,2,8032,21,32,1,1,1
35,ナップサック,,0,0,0,1,0,0,3928,0,8037,300,33,9,0,2
36,スターチスウィング,,0,0,0,1,0,0,4016,0,8034,103,34,6,0,2
37,葉っぱの傘,,0,0,0,1,0,0,4017,2,8035,24,35,1,1,1
38,キャロットパラソル,,0,0,0,1,0,0,4018,2,8036,23,36,1,1,1
39,ネオンパラソル,,0,0,0,1,0,0,4240,2,8038,25,37,1,1,1
40,リボンパラソル,,0,0,0,1,0,0,4241,2,8039,26,38,1,1,1
41,ボムパラソル,,0,0,0,1,0,0,4242,2,8040,27,39,1,1,1
42,マンドラパラソル,,0,0,0,1,0,0,4406,2,8041,28,40,1,1,1
43,アルコンエッグパラソル,,0,0,0,1,0,0,4407,2,8042,29,41,1,1,1
44,ペルパック,,0,0,0,1,0,0,4408,0,8043,301,42,9,0,2
45,ブラックレースパラソル,,0,0,0,1,0,0,4512,2,8044,30,43,1,1,1
46,ホワイトレースパラソル,,0,0,0,1,0,0,4511,2,8045,31,44,1,1,1
47,レポリットパラソル,,0,0,0,1,0,0,4513,2,8046,32,45,1,1,1
48,松明,,0,0,0,1,0,0,4577,3,8047,400,46,10,2,0
49,ミツネネコ華傘,,0,0,0,1,0,0,4677,2,8048,33,47,1,1,1
50,ピクシーパラソル,,0,0,0,1,0,0,4678,2,8049,34,48,1,1,1
51,ブルーピクシーパラソル,,0,0,0,1,0,0,4679,2,8050,35,49,1,1,1
52,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,スプリガンパラソル,,0,0,0,1,0,0,4817,2,8053,37,51,1,1,1
