#,Name,Description,Icon,MKDSupportJob,LevelUnlock
0,,,-1,0,0
1,まもり効果アップ,**「まもり」**の効果量を90％に上昇させる。,82201,1,4
2,いのり効果アップ,**「いのり」**の回復力を5000に上昇させる。,82202,1,5
3,あばれる効果アップ,"自身に**「肉斬骨断」**が付与される。
**「肉斬骨断」**効果中に受けたダメージ量によって、いちげきの威力が増加する。
**効果時間：**15秒",82203,2,3
4,けり効果アップ,**「けり」**の効果量を7％に上昇させる。,82204,3,4
5,けり効果アップII,**「けり」**の効果量を9％に上昇させる。,82205,3,6
6,ねらう効果アップ,**「ねらう」**の効果量が30％に上昇し、さらに攻撃が必中になる。,82206,4,3
7,ねらう効果アップII,**「ねらう」**の効果量が50％に上昇し、さらに攻撃が必中になる。,82207,4,5
8,いあいぬき効果アップ,いあいぬきの威力を500に上昇させる。さらに即死の確率を10％に上昇させる。,82208,5,5
9,うた効果アップ,うたの効果量をサポート吟遊詩人のサポートジョブレベルに応じて上昇させる。,82209,6,2
10,かぎあけ,ダンジョン内にある鍵のかかった扉を開けることができるようになる。,82212,12,6
11,ほうげき効果アップ,ほうげきの実行時、5％の確率で一部の対象を即死させる。,82211,9,5
12,ベル効果アップ,"**「たたかいのベル」**の効果量を5％に上昇させる。
さらに**「いこいのベル」**の回復力を3000に上昇させる。",82210,7,5
13,せんせいこうげき,"戦闘状態になると、自身に**「せんせいこうげき」**が付与される。
**せんせいこうげき効果：**オートアタックの攻撃間隔と、ウェポンスキルおよび魔法のキャストタイムとリキャストタイムが短縮される。
**効果時間：**25秒",82213,16,5
14,マギ・ジャンプ効果アップ,マギ・ジャンプの威力が500に上昇し、さらに被ダメージ低下の効果量が90％になる。,82214,19,4
15,マギ・ラーニングI,"マギ・ミサイル、マギ・アクアブレスがラーニング可能となる。
**マギ・ミサイル効果：**一部の対象に35％の確率で現在ＨＰの75％分のダメージ。
**マギ・アクアブレス効果：**対象とその周囲の敵に無属性範囲魔法攻撃。",82215,21,1
16,マギ・ラーニングII,"マギ・エアロラ、マギ・マイティガードがラーニング可能となる。
**マギ・エアロラ効果：**対象に風属性魔法攻撃。
**マギ・マイティガード効果：**一定時間、自身と周囲のパーティメンバーの被ダメージを20％軽減させる。",82216,21,2
17,マギ・ラーニングIII,"マギ・ホワイトウィンドがラーニング可能となる。
**マギ・ホワイトウィンド効果：**自身と周囲のパーティメンバーのＨＰを、自身の現在ＨＰ分だけ回復する。
また、マギ・エアロラを修得している場合、マギ・エアロガがラーニング可能になる。
**マギ・エアロガ効果：**対象とその周囲の敵に風属性範囲魔法攻撃。",82217,21,3
18,れんぞくま,"詠唱時間を有する魔法を実行すると、自身に**「連続魔」**が付与される。　**効果時間：**15秒
**連続魔効果：**次の魔法を詠唱時間無しで実行することができる。
効果時間中にオートアタックかアビリティ以外のアクションを実行すると、連続魔は即座に解除される。",82218,22,6
19,りんきおうへん,ジョブチェンジ不可状態や戦闘中の状態でも、サポートジョブをチェンジできるようになる。,82219,0,24
