#,StartLogMessage,LookupIndex,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,SupportsPartyMemberPortraits,Unknown8
0,0,0,True,False,True,True,True,False,False
1,1531,0,True,False,True,True,True,True,False
2,1531,0,True,False,True,True,True,True,False
3,1531,0,True,False,True,True,True,True,False
4,1531,0,True,False,True,True,True,True,False
5,1531,0,True,False,False,False,True,True,True
6,1531,0,True,False,True,False,True,False,False
7,1531,0,False,False,False,False,False,False,False
8,7100,0,True,False,False,False,False,False,False
9,1531,0,False,False,True,True,True,True,False
10,1531,0,False,False,True,True,True,True,False
11,1531,0,False,False,True,True,True,True,False
12,1531,1,False,False,True,False,True,False,False
13,1531,0,True,True,False,False,False,False,False
14,0,2,False,False,False,False,False,False,False
15,0,0,False,False,False,False,False,False,False
16,0,0,False,False,False,False,False,False,False
17,1531,0,False,False,True,True,True,True,False
18,0,0,False,False,False,False,False,False,False
19,1531,0,False,False,True,True,True,True,False
20,1531,0,False,False,True,True,True,True,False
21,1531,0,False,False,True,True,True,True,False
22,1531,1,True,True,False,False,False,False,False
