#,Name,Background,Frame,Decoration,SortKey
0,カスタム,0,0,0,0
1,ベーシック,1,1,1,2
2,シンプルモダン,2,3,1,3
3,古典的な肖像画,10,10,1,4
4,印象的な肖像画,7,10,1,5
5,ゴージャス,3,11,8,6
6,エーテル空間,8,1,1,1
7,クエストジャーナル,7,7,1,7
8,ロール：TANK,4,9,5,8
9,ロール：HEALER,6,9,7,9
10,ロール：DPS,5,9,6,10
11,ナイト（シンプル）,52,12,12,2050
12,戦士（シンプル）,53,13,13,2051
13,暗黒騎士（シンプル）,54,14,14,2052
14,ガンブレイカー（シンプル）,55,15,15,2053
15,白魔道士（シンプル）,56,16,16,2054
16,学者（シンプル）,57,17,17,2055
17,占星術師（シンプル）,58,18,18,2056
18,賢者（シンプル）,59,19,19,2057
19,モンク（シンプル）,60,20,20,2058
20,竜騎士（シンプル）,61,21,21,2059
21,忍者（シンプル）,62,22,22,2060
22,侍（シンプル）,63,23,23,2061
23,リーパー（シンプル）,64,24,24,2062
24,吟遊詩人（シンプル）,65,25,25,2064
25,機工士（シンプル）,66,26,26,2065
26,踊り子（シンプル）,67,27,27,2066
27,黒魔道士（シンプル）,68,28,28,2067
28,召喚士（シンプル）,69,29,29,2068
29,赤魔道士（シンプル）,70,30,30,2069
30,ナイト（ダイナミック）,11,12,12,2150
31,戦士（ダイナミック）,12,13,13,2151
32,暗黒騎士（ダイナミック）,13,14,14,2152
33,ガンブレイカー（ダイナミック）,14,15,15,2153
34,白魔道士（ダイナミック）,15,16,16,2154
35,学者（ダイナミック）,16,17,17,2155
36,占星術師（ダイナミック）,17,18,18,2156
37,賢者（ダイナミック）,18,19,19,2157
38,モンク（ダイナミック）,19,20,20,2158
39,竜騎士（ダイナミック）,20,21,21,2159
40,忍者（ダイナミック）,21,22,22,2160
41,侍（ダイナミック）,22,23,23,2161
42,リーパー（ダイナミック）,23,24,24,2162
43,吟遊詩人（ダイナミック）,24,25,25,2164
44,機工士（ダイナミック）,25,26,26,2165
45,踊り子（ダイナミック）,26,27,27,2166
46,黒魔道士（ダイナミック）,27,28,28,2167
47,召喚士（ダイナミック）,28,29,29,2168
48,赤魔道士（ダイナミック）,29,30,30,2169
49,チーム・アストラ,30,31,31,3000
50,チーム・アンブラ,31,32,32,3001
51,コンパニオン特典1,41,42,42,4000
52,コンパニオン特典2,42,43,43,4001
53,絶バハムート討滅戦,86,44,44,2500
54,絶アルテマウェポン破壊作戦,87,45,45,2501
55,絶アレキサンダー討滅戦,88,46,46,2502
56,絶竜詩戦争,89,47,47,2503
57,クリスタルコンフリクト：王者S1,32,33,33,3200
58,クリスタルコンフリクト：勇者S1,33,34,34,3201
59,クリスタルコンフリクト：入賞者S1,34,35,35,3202
60,クリスタルコンフリクト：ブロンズS1,35,36,36,3208
61,クリスタルコンフリクト：シルバーS1,36,37,37,3207
62,クリスタルコンフリクト：ゴールドS1,37,38,38,3206
63,クリスタルコンフリクト：プラチナS1,38,39,39,3205
64,クリスタルコンフリクト：ダイヤモンドS1,39,40,40,3204
65,クリスタルコンフリクト：クリスタルS1,40,41,41,3203
66,クリスタルコンフリクト：王者S2,90,48,48,3209
67,クリスタルコンフリクト：勇者S2,91,49,49,3210
68,クリスタルコンフリクト：入賞者S2,92,50,50,3211
69,クリスタルコンフリクト：ブロンズS2,93,51,51,3217
70,クリスタルコンフリクト：シルバーS2,94,52,52,3216
71,クリスタルコンフリクト：ゴールドS2,95,53,53,3215
72,クリスタルコンフリクト：プラチナS2,96,54,54,3214
73,クリスタルコンフリクト：ダイヤモンドS2,97,55,55,3213
74,クリスタルコンフリクト：クリスタルS2,98,56,56,3212
75,クリスタルコンフリクト：王者S3,99,57,57,3218
76,クリスタルコンフリクト：勇者S3,100,58,58,3219
77,クリスタルコンフリクト：入賞者S3,101,59,59,3220
78,クリスタルコンフリクト：ブロンズS3,102,60,60,3226
79,クリスタルコンフリクト：シルバーS3,103,61,61,3225
80,クリスタルコンフリクト：ゴールドS3,104,62,62,3224
81,クリスタルコンフリクト：プラチナS3,105,63,63,3223
82,クリスタルコンフリクト：ダイヤモンドS3,106,64,64,3222
83,クリスタルコンフリクト：クリスタルS3,107,65,65,3221
84,クリスタルコンフリクト：ブルー,108,66,66,3002
85,クリスタルコンフリクト：レッド,109,67,67,3003
86,ヴァリアントダンジョン：シラディハ水道,110,68,68,2402
87,友好部族クエスト：オミクロン族,111,1,69,2315
88,幾何学模様：サークル,119,70,75,11
89,コミック,116,69,74,12
90,アイテム：レアリティ1 NQ,125,76,1,13
91,アイテム：レアリティ2 NQ,126,76,1,14
92,アイテム：レアリティ3 NQ,127,76,1,15
93,アイテム：レアリティ4 NQ,128,76,1,16
94,アイテム：レアリティ5 NQ,129,76,1,17
95,アイテム：レアリティ1 HQ,125,77,1,18
96,アイテム：レアリティ2 HQ,126,77,1,19
97,アイテム：レアリティ3 HQ,127,77,1,20
98,アイテム：レアリティ4 HQ,128,77,1,21
99,アイテム：レアリティ5 HQ,129,77,1,22
100,ミュージック,123,1,76,23
101,カフェ,115,1,73,24
102,クリスタルコンフリクト：王者S4,133,78,81,3227
103,クリスタルコンフリクト：勇者S4,134,79,82,3228
104,クリスタルコンフリクト：入賞者S4,135,80,83,3229
105,クリスタルコンフリクト：クリスタルS4,136,81,84,3230
106,クリスタルコンフリクト：ダイヤモンドS4,137,82,85,3231
107,クリスタルコンフリクト：プラチナS4,138,83,86,3232
108,クリスタルコンフリクト：ゴールドS4,139,84,87,3233
109,クリスタルコンフリクト：シルバーS4,140,85,88,3234
110,クリスタルコンフリクト：ブロンズS4,141,86,89,3235
111,クリスタルコンフリクト：王者S5,142,87,90,3236
112,クリスタルコンフリクト：勇者S5,143,88,91,3237
113,クリスタルコンフリクト：入賞者S5,144,89,92,3238
114,クリスタルコンフリクト：クリスタルS5,145,90,93,3239
115,クリスタルコンフリクト：ダイヤモンドS5,146,91,94,3240
116,クリスタルコンフリクト：プラチナS5,147,92,95,3241
