#,Description,DescriptionEnhanced,Tooltip
0,,,
1,"マイチョコボに騎乗する。
グランドカンパニーから支給された軍用チョコボ",イシュガルド産の軍用チョコボ。一般的なラウンシー種だけでなく、ルガディン族の騎乗にも堪えられる大柄のデストリア種や、ララフェル族用に品種改良されたベラフディアン・ジェニット種などが存在する,クエーッ！
2,,,
3,,,
4,"グゥーブーに騎乗する。
不思議なホルンによって呼び出されるグゥーブー",異邦の詩人が冒険者に感謝の印として贈った「魔法の角笛」によって、呼び寄せることができるグゥーブー。本来、温厚ではない獣だが、詩人が紡ぐ詩を気に入ったらしく、エオルゼアに迷い込んだ彼と共に旅を続けていた,ンゴォォォ
5,"レガシーチョコボに騎乗する。
時を越えて巡り会った名チョコボ",賢者ルイゾワの秘術によって、次元の狭間へと送られていた冒険者が、5年の時を越えて巡り会った名チョコボ。長らく主なしで放浪の旅を続けていたらしく、たくましさと独特の風格を兼ね備えている,クエーッ！！
6,"魔導アーマーに騎乗する。
シドが改良したガーロンド・アイアンワークスカスタム",ガレマール帝国軍が制式採用している騎乗型魔導アーマー「リーパー」。これを鹵獲したシドたちが、魔法人形のコアを制御装置として組み込むなど改造を施し、ガーロンド・アイアンワークスカスタムとして新生させた,ウィーン、ガシャン！
7,,,
8,"クァールに騎乗する。
訓練された若く俊敏なクァール",若く俊敏なクァール。野生のクァールは非常に獰猛な魔獣として知られる存在だが、原産地である近東では独自の調教法が確立されているという。この個体は、サベネア島で騎獣として訓練されたものらしい,グルルルル…
9,"アーリマンに騎乗する。
魔法によって操ることを可能にした妖異アーリマン",単眼有翼の魔物。妖異学者が分類するところによると、妖異十二階位の第五位に位置する中位の妖異らしい。動物の眼を依代に異界から召喚したものを、強力な呪術によって縛り付けることで、操ることを可能にしている,ギロリ！
10,,,
11,,,
12,,,
13,,,
14,,,
15,"ユニコーンに騎乗する。
黒衣森で出会った純白の一角獣",黒衣森で出会った純白の一角獣。ユニコーンは、原産地のクルザス地方でも滅多に目にしない珍しい獣だが、何らかの要因で山を下り、森に迷い込んでしまったらしい。怪我を治療したことで懐き、頼れる友となった,ブルルルル…
16,,,
17,,,
18,"ベヒーモスに騎乗する。
幼獣の頃から人の手で育てた若く堅強なベヒーモス",冒険者ギルドから贈られた屈強な騎獣。霊災直後にある冒険者が、クルザスの山奥で親獣から見捨てられたベヒーモスの幼獣を発見。これを手塩にかけて育てたところ、奇跡的に人に懐くようになったらしい,グガアァァッ！
19,"キャバルリー・ドレイクに騎乗する。
灰の一党が育て上げた騎乗用バトルドレイク",灰の一党が育て上げた騎乗用バトルドレイク。幼き頃から、アマルジャ族の獣牧士が厳しい訓練を施し、かつ老成したバトルドレイクの火炎袋を食べさせて育てたため、従順さと野性味を併せ持つ騎獣となっている,フシュウウウウ…
20,"ローレル・グゥーブーに騎乗する。
仮宿のシルフたちの大きなお友達",仮宿のシルフたちの大きなお友達。悪い子シルフが悪戯として植物を引っこ抜きまくったため、見事に頭頂部がハゲてしまった。これを哀れに思った長ちゃまが、草で編んだ冠をかぶせてあげたことで仲良くなったらしい,ンゴォォォ
21,"C式魔導アーマーに騎乗する。
耐魔法コーティングを施した魔導リーパー",ガレマール帝国軍が密かに開発していた改良型「リーパー」。金色に輝く装甲は、新開発の特殊塗料によるもの。これはエオルゼア同盟軍が多用する魔法攻撃に備えた、耐魔法コーティングであるらしい,ウィーン、ガシャン！
22,"ナイトメアに騎乗する。
調教された妖馬。性格は非常に好戦的かつ執念深い",調教された妖馬「ナイトメア」。闇の勢力「アシエン」が、蛮族たちに与えた存在らしいが、詳細については明らかになっていない。その性格は非常に好戦的かつ執念深いが、魔法の笛の持ち主には絶対的に服従する,…………
