#,Name,Description,Unknown0,Unknown1,Unknown2,Unknown3,Icon
0,,,,,,,0
1,快晴,,,,,,60201
2,晴れ,,,,,,60202
3,曇り,,,,,,60203
4,霧,,,,,,60204
5,風,,,,,,60205
6,暴風,,,,,,60206
7,雨,,,,,,60207
8,暴雨,,,,,,60208
9,雷,,,,,,60209
10,雷雨,,,,,,60210
11,砂塵,,,,,,60211
12,砂嵐,,,,,,60212
13,熱波,,,,,,60213
14,灼熱波,,,,,,60214
15,雪,,,,,,60215
16,吹雪,,,,,,60216
17,妖霧,,,,,,60218
18,オーロラ,,,,,,60217
19,闇,,,,,,60251
20,闘気,,,,,,60255
21,曇り,,,,,,60203
22,雷雲,,,,,,60259
23,時化,,,,,,60258
24,時化,,,,,,60258
25,曇天,,,,,,60257
26,灼熱波,,,,,,60252
27,妖霧,,,,,,60256
28,暴風,,,,,,60253
29,噴煙,,,,,,60254
30,晴れ,,,,,,60202
31,晴れ,,,,,,60202
32,晴れ,,,,,,60202
33,晴れ,,,,,,60202
34,晴れ,,,,,,60202
35,極光,,,,,,60260
36,龍核,,,,,,60261
37,龍核,,,,,,60261
38,龍核,,,,,,60261
39,龍核,,,,,,60261
40,群雲,,,,,,60262
41,群雲,,,,,,60262
42,群雲,,,,,,60262
43,群雲,,,,,,60262
44,神意,,,,,,60264
45,神意,,,,,,60264
46,神意,,,,,,60264
47,神意,,,,,,60264
48,神意,,,,,,60264
49,霊風,,,,,,60219
50,放電,,,,,,60220
51,煙霧,,,,,,60263
52,晴れ,,,,,,60202
53,獣雷,,,,,,60226
54,雷波,,,,,,60227
55,獣雷,,,,,,60226
56,神意,,,,,,60264
57,雷,,,,,,60209
58,雷,,,,,,60209
59,,,,,,,0
60,神秘,,,,,,60265
61,神秘,,,,,,60265
62,雨,,,,,,60207
63,晴れ,,,,,,60202
64,雨,,,,,,60207
65,晴れ,,,,,,60202
66,邪天,,,,,,60266
67,邪天,,,,,,60266
68,晴れ,,,,,,60202
69,調和,,,,,,60267
70,調和,,,,,,60267
71,時流,,,,,,60268
72,時流,,,,,,60268
73,時流,,,,,,60268
74,鬼気,,,,,,60269
75,鬼気,,,,,,60269
76,鬼気,,,,,,60269
77,次元,,,,,,60274
78,次元,,,,,,60274
79,次元,,,,,,60274
80,嵐天,,,,,,60271
81,嵐天,,,,,,60271
82,美天,,,,,,60270
83,美天,,,,,,60270
84,龍天,,,,,,60272
85,龍天,,,,,,60272
86,嵐天,,,,,,60271
87,迅雷,,,,,,60273
88,雷,,,,,,60209
89,次元,,,,,,60274
90,晴れ,,,,,,60202
91,快晴,,,,,,60201
92,白嵐,,,,,,60275
93,白嵐,,,,,,60275
94,白嵐,,,,,,60275
95,幻想,,,,,,60277
96,白嵐,,,,,,60275
97,月夜,,,,,,60276
98,月夜,,,,,,60276
99,月夜,,,,,,60276
100,月夜,,,,,,60276
101,紅月下,,,,,,60293
102,朱炎,,,,,,60278
103,朱炎,,,,,,60278
104,朱炎,,,,,,60278
105,晴れ,,,,,,60202
106,晴れ,,,,,,60202
107,晴れ,,,,,,60202
108,晴れ,,,,,,60202
109,火炎,,,,,,60279
110,津波,,,,,,60280
111,竜巻,,,,,,60281
112,地震,,,,,,60282
113,青春,,,,,,60283
114,青春,,,,,,60283
115,青春,,,,,,60283
116,乱霊流,,,,,,60284
117,青春,,,,,,60283
118,無尽光,,,,,,60221
119,暴風,,,,,,60253
120,終末,,,,,,60287
121,終末,,,,,,60287
122,妖夢,,,,,,60285
123,妖夢,,,,,,60285
124,妖夢,,,,,,60285
125,光天,,,,,,60286
126,光天,,,,,,60286
127,終末,,,,,,60287
128,終末,,,,,,60287
129,無尽光,,,,,,60221
130,噴煙,,,,,,60254
131,終末,,,,,,60287
132,晴れ,,,,,,60202
133,焔霊風,,,,,,60288
134,土霊風,,,,,,60289
135,雷霊風,,,,,,60290
136,嵐霊風,,,,,,60291
137,流星雨,,,,,,60296
138,記憶乱流,,,,,,60294
139,曇り,,,,,,60203
140,曇り,,,,,,60203
141,極光,,,,,,60260
142,極光,,,,,,60260
143,雷雲,,,,,,60259
144,焔嵐 ,,,,,,60295
145,幻海流 ,,,,,,60292
146,,,,,,,0
147,決戦,,,,,,60297
148,月砂塵,,,,,,60222
149,磁気嵐,,,,,,60223
150,終末,,,,,,60224
151,星霊,,,,,,60298
152,星霊,,,,,,60298
153,星霊,,,,,,60298
