#,Image,Unknown0,Jingle,Type,Lang
0,0,0,-1,1,True
1,120001,0,6,1,True
2,120002,0,7,1,True
3,120021,0,8,1,True
4,120022,0,-1,1,True
5,120023,0,9,1,True
6,120031,0,6,1,True
7,120032,0,7,1,True
8,120033,0,10,1,True
9,120034,0,11,1,True
10,120035,0,12,1,True
11,120041,0,13,1,True
12,120042,0,-1,1,True
13,120043,0,14,1,True
14,120201,0,5,1,True
15,120202,0,5,1,True
16,120203,0,5,1,True
17,120204,0,5,1,True
18,120207,0,5,1,True
19,120208,0,5,1,True
20,120209,0,5,1,True
21,120210,0,5,1,True
22,120701,0,5,1,True
23,120705,0,5,1,True
24,120706,0,5,1,True
25,120708,0,5,1,True
26,120720,0,5,1,True
27,120715,0,5,1,True
28,120711,0,5,1,True
29,120211,0,5,1,True
30,120254,0,5,1,True
31,120255,0,5,1,True
32,120205,0,5,1,True
33,120081,0,15,1,True
34,120082,0,16,1,True
35,120083,0,17,1,True
36,120702,0,5,1,True
37,120081,0,18,1,True
38,120082,0,19,1,True
39,120083,0,20,1,True
40,120256,0,5,1,True
41,120257,0,5,1,True
42,120703,0,5,1,True
43,120709,0,5,1,True
44,120704,0,5,1,True
45,120710,0,5,1,True
46,120712,0,5,1,True
47,120713,0,5,1,True
48,120714,0,5,1,True
49,120716,0,5,1,True
50,120717,0,5,1,True
51,120718,0,5,1,True
52,120719,0,5,1,True
53,120721,0,5,1,True
54,120722,0,5,1,True
55,120723,0,5,1,True
56,120724,0,5,1,True
57,120725,0,5,1,True
58,120726,0,5,1,True
59,120728,0,5,1,True
60,120729,0,5,1,True
61,120730,0,5,1,True
62,120731,0,5,1,True
63,120258,0,5,1,True
64,120259,0,5,1,True
65,120260,0,5,1,True
66,120261,0,5,1,True
67,120262,0,5,1,True
68,120213,0,5,1,True
69,120214,0,5,1,True
70,120215,0,5,1,True
71,120216,0,5,1,True
72,120055,0,7,1,True
73,120309,0,5,1,True
74,120300,0,5,1,True
75,120307,0,5,1,True
76,120320,0,5,1,True
77,120348,0,5,1,True
78,120326,0,5,1,True
79,120302,0,5,1,True
80,120322,0,5,1,True
81,120313,0,5,1,True
82,120330,0,5,1,True
83,120329,0,5,1,True
84,120327,0,5,1,True
85,120324,0,5,1,True
86,120311,0,5,1,True
87,120305,0,5,1,True
88,120304,0,5,1,True
89,120309,0,5,1,True
90,120206,0,5,1,True
91,120217,0,5,1,True
92,120218,0,5,1,True
93,120263,0,5,1,True
94,120264,0,5,1,True
95,120265,0,5,1,True
96,120266,0,5,1,True
97,120267,0,5,1,True
98,120315,0,5,1,True
99,120316,0,5,1,True
100,121021,0,6,1,True
101,121022,0,7,1,True
102,120024,0,8,1,True
103,0,0,0,0,False
104,121031,0,31,1,True
105,121032,0,32,1,True
106,121033,0,33,1,True
107,120101,0,8,1,True
108,120102,0,-1,1,True
109,120103,0,-1,1,True
110,120068,0,5,1,True
111,120351,0,5,1,True
112,120352,0,5,1,True
113,120349,0,5,1,True
114,120314,0,5,1,True
115,120354,0,5,1,True
116,120355,0,5,1,True
117,120339,0,-1,1,True
118,120336,0,5,1,True
119,120103,0,-1,1,True
120,120102,0,-1,1,True
121,121001,0,6,1,True
122,121002,0,7,1,True
123,121011,0,15,1,True
124,121012,0,16,1,True
125,121013,0,17,1,True
126,120081,0,35,1,True
127,121061,0,6,1,True
128,121062,0,7,1,True
129,121071,0,18,1,True
130,121072,0,34,1,True
131,121073,0,17,1,True
132,121041,0,6,1,True
133,121042,0,7,1,True
134,121051,0,15,1,True
135,121052,0,16,1,True
136,121053,0,17,1,True
137,120219,0,5,1,True
138,120220,0,5,1,True
139,120306,0,5,1,True
140,120353,0,5,1,True
141,120308,0,5,1,True
142,120350,0,5,1,True
143,120317,0,5,1,True
144,120323,0,5,1,True
145,120357,0,5,1,True
146,120356,0,5,1,True
147,120344,0,5,1,True
148,120346,0,-1,1,True
149,120092,0,0,1,True
150,120105,0,48,1,True
151,120093,0,7,1,True
152,120069,0,5,1,True
153,120070,0,5,1,True
154,120230,0,5,1,True
155,120094,0,6,1,True
156,120081,0,36,1,True
157,121051,0,18,1,True
158,121052,0,19,1,True
159,120251,0,5,1,True
160,120252,0,5,1,True
161,120253,0,5,1,True
162,120601,0,5,1,True
163,120602,0,5,1,True
164,120603,0,5,1,True
165,120604,0,5,1,True
166,120605,0,5,1,True
167,120611,0,0,1,True
168,120612,0,0,1,True
169,120613,0,0,1,True
170,120614,0,0,1,True
171,120615,0,0,1,True
172,120221,0,5,1,True
173,120606,0,5,1,True
174,120223,0,5,1,True
175,120616,0,0,1,True
176,120111,0,1,6,True
177,120119,0,115,18,True
178,120109,0,1,6,True
179,120228,0,5,1,True
180,0,0,0,0,False
181,120303,0,5,1,True
182,120359,0,5,1,True
183,120360,0,5,1,True
184,120310,0,5,1,True
185,120318,0,5,1,True
186,120325,0,5,1,True
187,120358,0,5,1,True
188,120333,0,5,1,True
189,120334,0,5,1,True
190,120337,0,5,1,True
191,120407,0,5,1,True
192,120408,0,5,1,True
193,120409,0,5,1,True
194,120410,0,5,1,True
195,0,0,0,0,False
196,120340,0,-1,1,True
197,120011,0,37,1,True
198,120012,0,7,1,True
199,121076,0,18,1,True
200,120095,0,6,1,True
201,120096,0,7,1,True
202,121081,0,37,1,True
203,121082,0,7,1,True
204,120911,0,38,1,True
205,121077,0,19,1,True
206,121078,0,20,1,True
207,120900,0,38,1,True
208,120901,0,5,1,True
209,120902,0,5,1,True
210,120903,0,22,1,True
211,120235,0,5,1,True
212,120904,0,5,1,True
213,120098,0,7,1,True
214,120231,0,5,1,True
215,120111,0,39,3,True
216,120224,0,5,1,True
217,120225,0,5,1,True
218,120226,0,5,1,True
219,120227,0,5,1,True
220,120332,0,5,1,True
221,120321,0,5,1,True
222,120361,0,5,1,True
223,120362,0,5,1,True
224,120328,0,5,1,True
225,120342,0,5,1,True
226,120345,0,5,1,True
227,0,0,0,0,False
228,120732,0,40,2,True
229,120104,0,79,1,True
230,120121,0,41,1,True
231,120122,0,44,13,True
232,120123,0,45,13,True
233,120124,0,46,13,True
234,120125,0,47,1,True
235,120071,0,5,1,True
236,120122,0,47,13,True
237,120123,0,47,13,True
238,120124,0,47,13,True
239,120121,0,42,1,True
240,120121,0,43,1,True
241,121201,0,35,1,True
242,121202,0,16,1,True
243,121203,0,17,1,True
244,120905,0,5,1,True
245,120906,0,22,1,True
246,120232,0,5,1,True
247,120233,0,5,1,True
248,120234,0,5,1,True
249,120236,0,5,1,True
250,120237,0,5,1,True
251,120301,0,5,1,True
252,120312,0,5,1,True
253,120319,0,5,1,True
254,120331,0,5,1,True
255,120363,0,5,1,True
256,120364,0,5,1,True
257,120338,0,5,1,True
258,120707,0,5,1,True
259,120727,0,5,1,True
260,121101,0,49,1,True
261,121102,0,50,1,True
262,121103,0,-1,1,True
263,120907,0,5,1,True
264,120365,0,5,1,True
265,120366,0,5,1,True
266,120367,0,5,1,True
267,120368,0,5,1,True
268,120369,0,5,1,True
269,120370,0,5,1,True
270,120371,0,5,1,True
271,120372,0,5,1,True
272,120238,0,5,1,True
273,120373,0,5,1,True
274,120908,0,5,1,True
275,120910,0,38,1,True
276,120518,0,30,4,True
277,127040,0,-1,5,True
278,120909,0,38,1,True
279,121561,0,58,1,True
280,121562,0,60,1,True
281,121563,0,59,1,True
282,121571,0,16,1,True
283,120116,0,57,6,True
284,121571,0,52,1,True
285,121671,0,61,1,True
286,121672,0,61,1,True
287,121673,0,61,1,True
288,121674,0,61,1,True
289,121681,0,56,1,True
290,121682,0,56,1,True
291,121683,0,56,1,True
292,121684,0,56,1,True
293,120130,0,5,1,True
294,120131,0,7,1,True
295,120132,0,7,1,True
296,120133,0,7,1,True
297,120134,0,7,1,True
298,120135,0,7,1,True
299,120136,0,7,1,True
300,120137,0,7,1,True
301,120140,0,5,1,True
302,120142,0,7,1,True
303,120117,0,0,6,True
