#,Text,String,Genre,LegacyQuestID,SortKey
0,,,0,0,0
1,姿なき声,,342,0,1
2,碧海の宝,,342,1,2
3,リムレーンの伝説,,342,2,3
4,別想,,342,3,4
5,降り注ぐ光,,342,4,5
6,眠れる鬼,,342,5,6
7,那由他の精霊,,342,6,7
8,招かれざる客,,342,7,8
9,ほむらの日,,342,8,9
10,太陽の都,,342,9,10
11,小さな犠牲,,342,10,11
12,災厄来たれり,,342,11,12
13,ある始まり,,342,12,13
14,決死の救出作戦,,342,13,14
15,利害の調停者,,342,14,15
16,異質なるもの,,342,15,16
17,炎獄の神,,342,16,17
18,アラミゴ解放軍,,342,17,18
19,重なる未来,,342,18,19
20,債鬼繁盛記,,344,59,20
21,守護者の旅立ち,,344,60,21
22,コインの裏と表と,,344,61,22
23,噛ませ犬,,344,79,23
24,自由の権利,,344,80,24
25,興奮の代償,,344,81,25
26,断罪党の洗礼,,344,99,26
27,俺たちの海賊,,344,100,27
28,笑って見てろ,,344,101,28
29,バデロンのお勧め,,344,139,29
30,ミューヌのお勧め,,344,140,30
31,モモディのお勧め,,344,141,31
32,相棒を変更したい,,344,143,32
33,神勇隊,,344,159,33
34,昏い森,,344,160,34
35,過去より伸びる手,,344,161,35
36,鬼哭隊,,344,179,36
37,石と黄金,,344,180,37
38,したたかに,,344,181,38
39,復讐依頼,,344,239,39
40,やっつけ伝道師,,344,240,40
41,ナル・ザル教団特約,,344,241,41
42,木霊が務め,,344,259,42
43,竜騎士の夢,,344,260,43
44,呼び声,,344,261,44
45,小さな先生,,344,299,45
46,小さな鬼,,344,300,46
47,精霊たちの贈り物,,344,301,47
48,左耳の男,,344,319,48
49,セイレーンの歌声,,344,320,49
50,魅惑の島,,344,321,50
51,貴方のかたち,,344,359,51
52,フ・ラミンの花,,344,360,52
53,心の臓の刃,,344,361,53
54,物言わぬもの,,344,379,54
55,第二のアトリエ,,344,380,55
56,師弟評価制度,,344,381,56
57,赤の章,,344,399,57
58,灰の章,,344,400,58
59,白の章,,344,401,59
60,眠りの淵,,344,419,60
61,ドラゴンになった少年,,344,420,61
62,夢か現か,,344,421,62
63,プルプル対決,,344,439,63
64,消えた美食家,,344,440,64
65,湯けむり毒殺事件,,344,441,65
66,時のかけら,,344,459,66
67,とっておき大作戦,,344,460,67
68,彼女の逃避行,,344,461,68
69,グリダニアの根っこ,,344,479,69
70,憧れの大都会,,344,480,70
71,モーグリの花畑,,344,481,71
