#,Name,TopImage,BottomImage,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown4,Unknown5,FontColor,Unknown2,Unknown1,Unknown0,Category
0,なし,196001,196251,1,0,0,0,0,0,0,0,0,0
1,半透明：ブラック,196002,196252,1,0,0,0,3,1,0,0,0,1
2,グラデーション：グレー,196003,196253,1,0,0,0,1,1,0,0,0,1
3,グラデーション：パープル,196004,196254,1,0,0,0,2,1,0,0,0,1
4,アイボリー,196005,196255,1,0,0,0,5,2,0,0,0,1
5,スピア,196006,196256,1,0,0,0,9,1,0,0,0,1
6,クラシック,196007,196257,1,0,0,0,10,1,0,0,0,1
7,ウッドボード,196008,196258,1,0,0,0,7,2,0,0,0,1
8,半透明：ダークブルー,196009,196259,1,0,0,0,4,1,0,0,0,1
9,ウッドパターン,196010,196260,1,0,0,0,6,1,0,0,0,1
10,スクロール,196011,196261,1,0,0,0,8,1,0,0,0,1
11,絶バハムート討滅戦,196101,0,319,0,0,0,2500,1,0,0,0,4
12,絶アルテマウェポン破壊作戦,196102,0,320,0,0,0,2501,1,0,0,0,4
13,絶アレキサンダー討滅戦,196103,0,321,0,0,0,2502,1,0,0,0,4
14,絶竜詩戦争,196104,0,322,0,0,0,2503,1,0,0,0,4
15,友好部族クエスト：オミクロン族,196216,196466,344,0,0,0,2315,1,0,0,0,3
16,ミュージック,196012,196262,347,0,0,0,22,1,0,0,0,7
17,東方風,196013,196263,1,0,0,0,23,1,0,0,0,1
18,マスキングテープ：リムサ・ロミンサ,196014,196264,346,0,0,0,1000,1,0,0,0,9
19,マスキングテープ：グリダニア,196015,196265,346,0,0,0,1001,1,0,0,0,9
20,マスキングテープ：ウルダハ,196016,196266,346,0,0,0,1002,1,0,0,0,9
21,友好部族クエスト：ピクシー族,196212,196462,429,0,0,0,2311,1,0,0,0,3
22,友好部族クエスト：キタリ族,196213,196463,430,0,0,0,2312,1,0,0,0,3
23,友好部族クエスト：ドワーフ族,196214,196464,431,0,0,0,2313,1,0,0,0,3
24,友好部族クエスト：アルカソーダラ族,196215,196465,432,0,0,0,2314,1,0,0,0,3
25,友好部族クエスト：レポリット族,196217,196467,433,0,0,0,2316,1,0,0,0,3
26,絶オメガ検証戦,196105,0,434,0,0,0,2504,1,0,0,0,4
27,友好部族クエスト：コウジン族,196210,196460,524,0,0,0,2308,1,0,0,0,3
28,友好部族クエスト：アナンタ族,196209,196459,525,0,0,0,2309,2,0,0,0,3
29,友好部族クエスト：ナマズオ族,196211,196461,526,0,0,0,2310,1,0,0,0,3
30,10周年記念,196106,0,523,0,0,0,3950,1,0,0,0,7
31,世界を釣る者,196107,0,529,0,0,0,2346,1,0,0,0,8
32,太公望への道,196108,0,530,0,0,0,2347,1,0,0,0,8
33,月下の雀士,196109,196351,531,0,0,0,2350,1,0,0,0,8
34,友好部族クエスト：バヌバヌ族,196206,196456,567,0,0,0,2305,1,0,0,0,3
35,友好部族クエスト：グナース族,196207,196457,568,0,0,0,2306,1,0,0,0,3
36,友好部族クエスト：モーグリ族,196208,196458,569,0,0,0,2307,1,0,0,0,3
37,ミソロジー・オブ・エオルゼア,196113,0,572,0,0,0,2252,1,0,0,0,3
38,タタルの大繁盛商店,196112,0,573,0,0,0,2250,1,0,0,0,3
39,クロの空想帳,196110,0,570,0,0,0,2351,2,0,0,0,8
40,ソーチョーの幻想盤,196111,0,571,0,0,0,2352,1,0,0,0,8
41,ブランダーヴィル1,196114,0,575,0,0,0,3951,1,0,0,0,7
42,ブランダーヴィル2,196115,0,576,0,0,0,3952,1,0,0,0,7
43,ブランダーヴィル3,196116,0,577,0,0,0,3953,1,0,0,0,7
44,妖怪ウォッチ ぷにぷに,196117,0,607,0,0,0,3954,1,0,0,0,7
45,友好部族クエスト：コボルド族,196204,196454,694,0,0,0,2302,1,0,0,0,3
46,友好部族クエスト：シルフ族,196202,196452,695,0,0,0,2301,1,0,0,0,3
47,友好部族クエスト：アマルジャ族,196201,196451,696,0,0,0,2300,1,0,0,0,3
48,友好部族クエスト：サハギン族,196205,196455,697,0,0,0,2303,2,0,0,0,3
49,友好部族クエスト：イクサル族,196203,196453,698,0,0,0,2304,1,0,0,0,3
50,トライヨラ1,196062,0,701,0,0,0,1036,1,0,0,0,9
51,トライヨラ2,196063,0,702,0,0,0,1037,1,0,0,0,9
52,ソリューション・ナイン1,196064,0,699,0,0,0,1038,1,0,0,0,9
53,ソリューション・ナイン2,196065,0,700,0,0,0,1039,2,0,0,0,9
54,友好部族クエスト：ペルペル族,196218,196468,767,0,0,0,2317,1,0,0,0,3
55,イシュガルド1,196054,0,768,0,0,0,1020,1,0,0,0,9
56,イシュガルド2,196072,0,769,0,0,0,1021,1,0,0,0,9
57,イディルシャイア1,196055,0,770,0,0,0,1022,2,0,0,0,9
58,イディルシャイア2,196073,0,771,0,0,0,1023,1,0,0,0,9
59,クガネ1,196056,0,772,0,0,0,1024,1,0,0,0,9
60,クガネ2,196068,0,773,0,0,0,1025,2,0,0,0,9
61,ラールガーズリーチ1,196057,0,774,0,0,0,1026,1,0,0,0,9
62,ラールガーズリーチ2,196069,0,775,0,0,0,1027,1,0,0,0,9
63,クリスタリウム1,196058,0,776,0,0,0,1028,1,0,0,0,9
64,クリスタリウム2,196070,0,777,0,0,0,1029,1,0,0,0,9
65,ユールモア1,196059,0,778,0,0,0,1030,1,0,0,0,9
66,ユールモア2,196071,0,779,0,0,0,1031,1,0,0,0,9
67,オールド・シャーレアン1,196060,0,780,0,0,0,1032,1,0,0,0,9
68,オールド・シャーレアン2,196066,0,781,0,0,0,1033,2,0,0,0,9
69,ラザハン1,196061,0,782,0,0,0,1034,1,0,0,0,9
70,ラザハン2,196067,0,783,0,0,0,1035,1,0,0,0,9
71,絶もうひとつの未来,196118,0,872,0,0,0,2505,1,0,0,0,4
72,友好部族クエスト：マムージャ族,196219,196469,873,0,0,0,2318,1,0,0,0,3
73,蜃気楼の島 クレセントアイル ,196119,0,879,0,0,0,2403,1,0,0,0,4
74,コスモエクスプローラー1,196120,0,878,0,0,0,2343,1,0,0,0,8
75,Monster Hunter Wilds1,196121,0,943,0,0,0,3955,1,0,0,0,7
76,Monster Hunter Wilds2,196122,0,944,0,0,0,3956,1,0,0,0,7
77,友好部族クエスト：ヨカフイ族,196220,196470,938,0,0,0,2319,1,0,0,0,3
