#,Unknown0,Unknown1,Unknown2
0,,,0
1,,,0
2,DATA,- アーカイブ,5
3,NEW GAME+,つよくてニューゲーム解説,6
4,LOST ACTION,ロストアクション解説,13
5,PORTRAIT LIST,ポートレート機能解説,21
6,ADVENTURER PLATE,アドベンチャラープレート解説,22
7,ISLAND SANCTUARY,無人島開拓解説,23
8,ISLEWORKS BEGINNER'S GUIDE,開拓工房　入門マニュアル,24
9,DEEP DUNGEON,ディープダンジョンの説明,25
10,DEEP DUNGEON,ディープダンジョンの説明,26
11,DEEP DUNGEON,ディープダンジョンの説明,27
12,FASHION ACCESSORIES,ファッションアクセサリー解説,28
13,GEARSET,ギアセット機能解説,29
14,PvP,PvP解説,19
15,RIVAL WINGS,ライバルウィングズ解説,3
16,FRONTLINE,フロントライン解説,7
17,CRYSTALLINE CONFLICT,クリスタルコンフリクト解説,20
18,MOGMOG COLLECTION,モグモグ★コレクション解説,30
19,OUTFIT ,コーディネート機能解説,32
20,BATTLE,バトルの解説,33
21,MAHJONG,ドマ式麻雀解説,2
22,DEEP DUNGEON,ディープダンジョンの説明,37
23,OCCULT CRESCENT,クレセントアイル解説,35
24,COSMO EXPLORER,惑星探索のすすめ,36
25,STRATEGY BOARD,ストラテジーボード,38
