#,Name,Description,ReqUnlock,Icon,RequiredAmount,ExpMultiplier,GilRward,ExpCap,LevelUnlock,HowTo,ContentType,MenuOrder,Reward0,Reward1
0,,,0,0,0,0,0,0,0,0,0,0,0,0
1,ダンジョン：コンテンツルーレット,コンテンツルーレットで、ダンジョンを3回攻略する,0,61801,3,15,1000,1625700,0,57,1,1,5,3
2,ダンジョン：攻略回数,ダンジョンを5回攻略する,0,61801,5,10,2000,1083800,0,57,1,2,5,3
3,ギルドオーダー：攻略回数1,ギルドオーダーを3回攻略する,0,61803,3,5,1000,541900,0,71,1,3,5,3
4,ギルドオーダー：攻略回数2,ギルドオーダーを10回攻略する,0,61803,10,10,2000,1083800,0,71,1,4,5,3
5,宝物庫：宝箱開封数1,宝物庫の宝箱を、5回開ける,0,61808,5,0,2000,0,0,231,6,3,0,3
6,クロの空想帳：印貼付数,"クロの空想帳の対象コンテンツをコンプリートし、
3つ印を付ける",0,61825,3,0,2000,0,60,0,1,8,0,3
7,クリスタルコンフリクト：参戦回数,クリスタルコンフリクトに10回参戦する,0,61806,10,0,1000,0,0,130,2,1,0,9
8,クリスタルコンフリクト：勝利回数,クリスタルコンフリクトで3回勝利する,0,61806,3,0,1000,0,0,130,2,2,0,9
9,,,0,0,0,0,0,0,0,0,0,0,0,0
10,,,0,0,0,0,0,0,0,0,0,0,0,0
11,リーヴ：絵柄制覇,プレートの絵柄が異なるリーヴを、5種類達成する,0,61811,5,15,1000,1625700,0,0,4,1,5,3
12,リーヴ：達成回数,リーヴを20回達成する,0,61811,20,15,2000,1625700,0,0,4,2,5,3
13,軍需品・補給品調達：納品回数2,軍需品・補給品調達を10回納品する,0,61812,10,0,1000,0,0,89,8,2,0,6
14,軍需品・補給品調達：納品回数1,軍需品・補給品調達を5回納品する,0,61812,5,0,1000,0,0,89,8,1,0,6
15,トレジャーハント：地図採集回数,古ぼけた地図を3回採集する,0,61808,3,0,1000,0,0,149,6,1,0,3
16,トレジャーハント：宝獲得回数,トレジャーハントで宝箱を開け、宝を5回獲得する,0,61808,5,0,2000,0,0,149,6,2,0,3
17,バディ：討伐数1,バディと共に、レベルの近い敵を20体討伐する,0,61813,20,5,1000,0,0,96,1,6,7,3
18,バディ：討伐数2,バディと共に、レベルの近い敵を100体討伐する,0,61813,100,10,2000,0,0,96,1,7,7,3
19,友好部族クエスト：コンプリート回数1,友好部族デイリークエストを5回コンプリートする,0,61814,5,0,1000,0,0,152,7,1,0,3
20,友好部族クエスト：コンプリート回数2,友好部族デイリークエストを15回コンプリートする,0,61814,15,0,2000,0,0,152,7,2,0,3
