#,Name,Description,QuestRequirement,CRP,BSM,ARM,GSM,LTW,WVR,ALC,CUL,AnimationStart,AnimationEnd,Icon,RequiredStatus,ClassJobCategory,ClassJobLevel,Cost,ClassJob,Specialist
100000,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100001,作業,"耐久を消費して、作業を進める。
効率：120
成功率：100％",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1501,0,9,1,0,8,False
100002,加工,"耐久を消費して、品質を上げる。
効率：100
成功率：100％",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1502,0,9,5,18,8,False
100003,マスターズメンド,耐久を30回復する。,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,9,7,88,8,False
100004,中級加工,"耐久を消費して、品質を上げる。
効率：125
成功率：100％
**コンボ条件：**加工　**コンボボーナス：**消費CPが18になる",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1516,0,9,18,32,8,False
100005,マスターズメンドII,耐久を60回復する。,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100006,ブランド・オブ・ウィンド,"耐久を消費して、作業を進める。
風属性レシピの場合は効率が2倍。
効率：100（200）
成功率：90％",0,100006,0,0,0,0,0,0,0,239,246,786,0,0,1,0,-1,False
100007,中級作業,"耐久を消費して、作業を進める。
効率：150
成功率：90％",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100008,上級加工,"耐久を消費して、品質を上げる。
効率：150
成功率：90％",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100009,ビエルゴの祝福,"耐久を消費して品質を上げる。 
「インナークワイエット」でステータス上昇した回数につき効率が20上昇する。 
使用後に「インナークワイエット」の効果は終了する。 
効率：100（100～）
成功率：90％",0,100009,0,0,0,0,0,0,0,240,247,786,0,0,1,0,-1,False
100010,経過観察,1ターン何もせずに見守る。,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,9,13,7,8,False
100011,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100012,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100013,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100014,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100015,作業,"耐久を消費して、作業を進める。
効率：120
成功率：100％",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1551,0,10,1,0,9,False
100016,加工,"耐久を消費して、品質を上げる。
効率：100
成功率：100％",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1552,0,10,5,18,9,False
100017,マスターズメンド,耐久を30回復する。,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,10,7,88,9,False
100018,中級加工,"耐久を消費して、品質を上げる。
効率：125
成功率：100％
**コンボ条件：**加工　**コンボボーナス：**消費CPが18になる",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1566,0,10,18,32,9,False
100019,マスターズメンドII,耐久を60回復する。,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100020,ブランド・オブ・ファイア,"耐久を消費して、作業を進める。
火属性レシピの場合は効率が2倍。
効率：100（200）
成功率：90％",0,100020,0,0,0,0,0,0,0,239,246,786,0,0,1,0,-1,False
100021,中級作業,"耐久を消費して、作業を進める。
効率：150
成功率：90％",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100022,上級加工,"耐久を消費して、品質を上げる。
効率：150
成功率：90％",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100023,経過観察,1ターン何もせずに見守る。,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,10,13,7,9,False
100024,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100025,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100026,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100027,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100028,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100029,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100030,作業,"耐久を消費して、作業を進める。
効率：120
成功率：100％",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1601,0,11,1,0,10,False
100031,加工,"耐久を消費して、品質を上げる。
効率：100
成功率：100％",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1602,0,11,5,18,10,False
100032,マスターズメンド,耐久を30回復する。,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,11,7,88,10,False
100033,突貫作業,"耐久を消費して、作業を進める。
効率：250
成功率：50％",0,100033,100033,100033,100033,100033,100033,100033,100033,241,248,786,0,0,1,0,-1,False
