#,Name,Description,Icon,Category,MainCommandCategory,Unknown0,SortID
0,,,0,0,0,0,0
1,納刀する/抜刀する,納刀/抜刀の状態を切り替えます。,16,1,1,1,-5
2,マイキャラクター,キャラクターのパラメータを確認できます。装備や称号の変更などが行えます。,1,6,1,6,0
3,アクションリスト,キャラクターが修得しているアクションを確認できます。アクションのホットバーへの登録や、ロールアクションの設定などが行えます。,4,2,1,2,-4
4,ジャーナル,進行中、または完了したクエストやリーヴの情報を確認できます。クエストの目的リストの切り替えや、受注したリーヴの開始/破棄などが行えます。,5,4,2,22,0
5,コンテンツ情報一覧,コンテンツにかかわるタイマー情報の一覧です。リーヴの受注権獲得までの時間や、友好部族デイリークエストの残り受注権の数などが確認できます。,47,13,2,31,9
6,アチーブメントリスト,アチーブメントの一覧です。アチーブメントの達成条件や進行状況、得られる報酬などを確認できます。,6,18,1,18,12
7,採集手帳,ギャザラークラスが採掘、砕岩、伐採、草刈で得られるアイテムの一覧です。目的のアイテムを採集できるエリアの情報もここから確認できます。,23,4,3,35,1
8,討伐手帳,ファイター・ソーサラークラスの討伐目標となるモンスターの一覧です。討伐対象モンスターの討伐数や主な生息地、獲得できる経験値報酬などを確認できます。,21,1,3,32,-2
9,製作手帳,クラフタークラスが製作できるアイテムやレシピの一覧です。アイテムの製作が行えます。,22,3,3,34,0
10,所持品,所持しているアイテムやクリスタルを確認できます。アイテムの使用、並べ替えなどが行えます。,2,8,1,8,2
11,イベントアイテムリスト,所持しているイベントアイテムの確認や使用ができます。イベントアイテムと結びつくクエストを破棄するとそのイベントアイテムも破棄されます。,3,3,2,21,-1
12,パーティメンバー,パーティメンバーの一覧です。並び順の変更や、パーティからの離脱/解散などが行えます。,17,1,5,46,0
13,フレンドリスト管理,フレンド登録したキャラクターの一覧です。ここからフレンドにTellを送ったり、パーティ勧誘などが行えます。,18,10,6,62,7
14,ブラックリスト管理,ブラックリストに登録したキャラクターの一覧です。ブラックリストに登録すると、そのキャラクターや発言は見えなくなり、トレードや様々な勧誘も受け付けなくなります。,19,12,6,64,9
15,プレイヤーサーチ,様々な条件を指定して他のキャラクターを検索できます。,20,1,6,53,-2
16,マップ,自分やパーティメンバーの位置、エーテライト、ショップ、クエストの目的地、他エリアの情報などの確認ができます。縮尺の変更も行えます。,7,4,4,43,0
17,エモートアクション,キャラクターの感情を表現するエモートの一覧です。他プレイヤーとのコミュニケーションを取る場合などに使用できます。,9,3,6,55,0
18,ターゲットマーカー,ターゲットの頭上にパーティやアライアンスで共有可能なマーキング用アイコンを表示できます。,10,3,5,48,2
19,システムコンフィグ,サウンドやグラフィックなどのシステム項目を、プレイヤーの環境にあわせて自由に設定できます。,29,6,7,72,1
20,キーバインド変更,様々な操作やショートカット機能に割り当てるキーを自由に設定できます。,28,9,7,75,4
21,マクロ管理,テキストコマンドを自由に組み合わせてマクロの作成が行えます。マクロはキャラクター専用、および他のキャラクターと共通で作成できます。作成したマクロはホットバーへの登録ができます。テキストコマンドの一覧が確認できます。,30,8,7,74,3
22,HUDレイアウト変更,画面に常時表示されるウィンドウ（HUD）の表示位置・拡縮・表示（非表示）の変更や、保存したレイアウトの切り替えが行えます。,31,7,7,73,2
23,ログアウトする,ログアウトしてタイトル画面に戻ります。,27,10,7,77,7
24,ゲームを終了する,ログアウトしてゲームを終了します。,26,11,7,78,8
25,アーマリーチェスト,入手した装備品が収納されています。装備品は部位ごとに整理され、装備や確認ができます。,32,7,1,7,1
26,,,0,0,0,0,0
27,フリーカンパニー,所属するフリーカンパニーの様々な情報を確認できます。,8,4,6,56,1
28,リンクシェル,所属するすべてのリンクシェルのメンバーを確認できます。,11,7,6,59,4
29,釣り手帳,漁師クラスが釣った魚や釣り場を記した一覧です。様々な地域で釣りをすることで記載内容が追加されていきます。,24,5,3,36,2
30,HowToリストを開く,過去に追加されたHowToの一覧が確認できます。,33,4,7,70,-1
31,おすすめコンテンツ,周囲で発生しているクエストやF.A.T.E.など、現在のレベルで参加可能なおすすめのコンテンツを確認できます。,25,1,2,19,-3
32,サポート&ニュース,サポートからのお知らせやニュースの確認、お問い合わせや報告が行えます。,13,1,7,67,-4
