#,Name,Action[0],Action[1],Action[2],Action[3],Action[4],Action[5],Action[6],Unknown3,Unknown4
0,,0,0,0,0,0,0,0,0,True
1,コンボ：レイジ・オブ・ハルオーネ,17355,0,0,0,0,0,0,0,False
2,コンボ：ロイヤルアソリティ,17355,0,0,0,0,0,0,0,False
3,コンボ：ボーラアクス,17355,0,0,0,0,0,0,0,False
4,コンボ：シュトルムヴィント,17355,0,0,0,0,0,0,0,False
5,コンボ：パワースラッシュ,17355,0,0,0,0,0,0,0,False
6,コンボ：ソウルイーター,17355,0,0,0,0,0,0,0,False
7,コンボ：崩拳,17355,0,0,0,0,0,0,0,False
8,コンボ：破砕拳,17355,0,0,0,0,0,0,1,False
9,コンボ：竜尾大車輪,17355,0,0,0,0,0,0,0,False
10,コンボ：竜尾大車輪,17355,0,0,0,0,0,0,1,False
11,コンボ：旋風刃,17355,0,0,0,0,0,0,0,False
12,コンボ：影牙,17355,0,0,0,0,0,0,1,False
13,コンボ：雪風,17355,0,0,0,0,0,0,0,False
14,コンボ：月光,17355,0,0,0,0,0,0,1,False
15,コンボ：花車,17355,0,0,0,0,0,0,2,False
16,コンボ：ストレートショット,17355,0,0,0,0,0,0,0,False
17,コンボ：ストームバイト,17355,0,0,0,0,0,0,0,False
18,コンボ：ヒートクリーンショット,17355,0,0,0,0,0,0,0,False
19,コンボ：エンルドゥブルマン,17355,0,0,0,0,0,0,0,False
20,コンボ：ソリッドバレル,17355,0,0,0,0,0,0,0,False
21,コンボ：ウィケッドタロン,17355,0,0,0,0,0,0,2,False
22,コンボ：ファウンテン,17355,0,0,0,0,0,0,0,False
23,コンボ：スワッシュバックラー,16788,16269,16984,0,0,0,0,0,False
24,コンボ：グレイテストエクリプス,16789,16985,0,0,0,0,0,1,False
25,コンボ：ソリッドバレル,16434,16418,16435,0,0,0,0,0,False
26,コンボ：クルザントーメント,18772,18773,18774,0,0,0,0,0,False
27,コンボ：プロミネンス,17355,0,0,0,0,0,0,1,False
28,コンボ：スチールサイクロン,17355,0,0,0,0,0,0,1,False
29,コンボ：ストルワートソウル,17355,0,0,0,0,0,0,1,False
30,コンボ：地烈斬,17355,0,0,0,0,0,0,1,False
31,コンボ：クルザントーメント,17355,0,0,0,0,0,0,1,False
32,コンボ：八卦無刃殺,17355,0,0,0,0,0,0,1,False
33,コンボ：花車,17355,0,0,0,0,0,0,0,False
34,コンボ：桜花,17355,0,0,0,0,0,0,1,False
35,コンボ：デーモンスローター,17355,0,0,0,0,0,0,1,False
36,コンボ：ブレードシャワー,17355,0,0,0,0,0,0,1,False
37,コンボ：夜月,14840,19046,19047,0,0,0,0,0,False
38,コンボ：エーテルサーベル,20490,20491,20492,0,0,0,0,0,False
39,コンボ：ヴァルフレア,20529,20530,20531,20532,0,0,0,0,False
40,コンボ：ファウル,21612,22502,22817,21613,0,0,0,0,False
41,コンボ：クラウンロード,21499,21607,0,0,0,0,0,0,False
42,コンボ：サリャクの巻物,24066,21610,0,0,0,0,0,1,False
43,コンボ：スコーチ,24917,24918,24919,24920,21496,21923,24831,1,False
44,コンボ：レイジ・オブ・ハルオーネ,26249,26250,26251,0,0,0,0,0,False
45,コンボ：ヴァルフレア,27048,27049,27050,27051,27052,0,0,0,False
46,コンボ：スコーチ,27054,27055,27056,27057,27058,27059,24898,1,False
47,コンボ：ソリッドバレル,27427,27428,27429,0,0,0,0,0,False
48,コンボ：インファナルスライス,17355,0,0,0,0,0,0,0,False
49,コンボ：ナイトメアサイズ,17355,0,0,0,0,0,0,1,False
50,コンボ：ロイヤルアソリティ,29058,29059,29060,0,0,0,0,0,True
51,コンボ：シュトルムヴィント,29074,29075,29076,0,0,0,0,0,True
52,コンボ：ソウルイーター,29085,29086,29087,0,0,0,0,0,True
53,コンボ：バーストストライク,29098,29099,29100,29101,0,0,0,0,True
54,コンボ：ファウンテン,29416,29417,0,0,0,0,0,0,True
55,コンボ：夢幻闘舞,29475,29476,29477,41444,41445,41446,29478,0,True
56,コンボ：雲蒸竜変,29486,29487,29488,41449,0,0,0,0,True
57,コンボ：旋風刃,29500,29501,29502,0,0,0,0,0,True
58,コンボ：花車,29523,29524,29525,0,0,0,0,0,True
59,コンボ：インファナルスライス,29538,29539,29540,0,0,0,0,0,True
60,コンボ：レイジ・オブ・ジェントルマン,31393,31394,31395,0,0,0,0,0,True
61,コンボ：インファナルスライス,31786,31787,31788,0,0,0,0,0,True
62,コンボ：ナイトメアサイズ,31789,31790,0,0,0,0,0,0,True
63,コンボ：ブラーシャの尾撃,37120,37121,37122,0,0,0,0,0,True
64,コンボ：トラルの峻烈,37127,37128,37126,0,0,0,0,0,True
65,コンボ：牙の構え,39157,39159,39161,39158,39160,39163,0,0,True
66,,0,0,0,0,0,0,0,0,False
67,コンボ：ブルーウォータ,46756,46757,46758,0,0,0,0,0,True
68,コンボ：ブルーウォタラ,46759,46760,46761,0,0,0,0,1,True
69,,0,0,0,0,0,0,0,0,False
70,,0,0,0,0,0,0,0,0,False
