#,DefaultTalkParams[0].ActionTimelinePose,DefaultTalkParams[0].Unknown0,DefaultTalkParams[0].Unknown1,DefaultTalkParams[0].Unknown2,DefaultTalkParams[0].Unknown3,DefaultTalkParams[0].Unknown4,DefaultTalkParams[1].ActionTimelinePose,DefaultTalkParams[1].Unknown0,DefaultTalkParams[1].Unknown1,DefaultTalkParams[1].Unknown2,DefaultTalkParams[1].Unknown3,DefaultTalkParams[1].Unknown4,DefaultTalkParams[2].ActionTimelinePose,DefaultTalkParams[2].Unknown0,DefaultTalkParams[2].Unknown1,DefaultTalkParams[2].Unknown2,DefaultTalkParams[2].Unknown3,DefaultTalkParams[2].Unknown4,Text[0],Text[1],Text[2],Unknown0,Unknown1
589824,799,0,1,1,3,False,796,0,0,1,4,False,854,0,0,1,5,False,強調トークシェイプで会話モーション,ドキュメントトークシェイプでビヘイビア演説ループ,不気味トークシェイプでビヘイビア立ち怒り会話ループ,0,1
589825,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,0,0,0,0,1
589826,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,ほげ,ふー,ばー,0,1
589827,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,あー、食った食った！ ,この宿の飯は最高に旨いな！,0,0,1
589828,755,0,2,1,0,True,755,0,2,1,0,True,0,0,0,1,0,False,"基本立ちと立ち専用リアクションテス
(アイテム渡し)",「ビヘイビアリアクション挨拶」へ推移します。,0,0,1
589829,755,0,2,1,0,True,755,0,2,1,0,True,0,0,0,1,0,False,"基本立ちと立ち専用リアクションテス
(アイテム受取)",「ビヘイビアリアクション考える」へ推移します。,0,0,1
589830,755,0,2,1,0,True,763,0,2,1,0,True,0,0,0,1,0,False,"基本立ちと立ち専用リアクションテス
(アイテム会話)",「ビヘイビアリアクション怒り」へ推移します。,0,0,1
589831,763,0,2,1,0,True,0,0,0,1,0,False,0,0,0,1,0,False,"基本立ちと立ち専用リアクションテス
基本地面座り→基本立ち→立ち専用リアクション",0,0,0,1
589832,763,0,2,1,0,True,0,0,0,1,0,False,0,0,0,1,0,False,"基本立ちと立ち専用リアクションテス
派手立ち→基本立ち→立ち専用リアクション",0,0,0,1
589833,763,0,2,1,0,True,0,0,0,1,0,False,0,0,0,1,0,False,"ここは、森と精霊に認められし神聖なる都市グリダニア。
大いなる自然に感謝し、慎ましく振る舞え。",おす！,テストをします,0,1
589834,763,0,2,1,0,True,0,0,0,1,0,False,0,0,0,1,0,False,"基本立ちと立ち専用リアクションテス
固有→基本立ち→立ち専用リアクション",0,0,0,1
589835,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,空が見えるようになってる……！ すごい！,0,0,0,1
589836,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,見ての通り、私は詩人です。,どうです？ 一曲？,0,0,1
589837,764,0,2,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"俺はただひたすらに、
クエストを発行するだけのENPCだ。",0,0,0,1
589838,784,0,1,1,0,False,809,0,2,1,0,False,786,0,2,1,0,False,改ページテストをします。１ページ。,２ページ。,３ページ。,0,1
589839,764,0,1,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"改行テストをします。
改行完了しました。",0,0,0,1
589840,764,0,1,1,0,False,0,0,0,1,0,False,0,0,0,1,0,False,"……おい、知ってるか？
目黒という地には、
とてつもなくウマい肉を食わせる店があるそうだ。",0,0,0,1
