#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Unknown1,Level[0],Level[1],Level[2],Level[3],RequiredQuest,PlaceName,AethernetName,Territory,Map,AetherstreamX,AetherstreamY,Unknown2,AethernetGroup,Order,IsAetheryte,Invisible
0,エーテライト,,0,0,0,1,0,0,Aetheryte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,都市内エーテライト,,0,0,0,1,0,0,Aetheryte,1360027,3785149,3785150,3785151,0,1,0,1,0,0,0,0,0,0,True,False
2,,,0,0,0,1,0,0,Aetheryte,1359064,3661246,3661247,3661248,0,52,1384,132,2,1560,720,4,2,21,True,False
3,,,0,0,0,1,0,0,Aetheryte,1359242,3679309,3679310,3679311,0,94,0,148,4,1540,820,4,0,22,True,False
4,,,0,0,0,1,0,0,Aetheryte,1359244,3684583,3684585,3684587,0,107,0,152,5,1700,820,4,0,23,True,False
5,,,0,0,0,1,0,0,Aetheryte,1359648,3684688,3684695,3684710,0,129,0,153,6,1580,920,4,0,24,True,False
6,,,0,0,0,1,0,0,Aetheryte,1359650,3684714,3684715,3684716,0,123,0,153,6,1520,980,4,0,25,True,False
7,,,0,0,0,1,0,0,Aetheryte,1359652,3684633,3684671,3684682,0,140,0,154,7,1400,720,4,0,26,True,False
8,,,0,0,0,1,0,0,Aetheryte,3693843,3693844,3693848,3693849,0,29,738,129,12,640,1200,3,1,1,True,False
9,,,0,0,0,1,0,0,Aetheryte,3693863,3693864,3693865,3693866,0,40,1383,130,13,1260,1380,5,3,41,True,False
10,,,0,0,0,1,0,0,Aetheryte,3860373,3860385,3860391,3860399,0,337,0,135,16,780,1220,3,0,3,True,False
11,,,0,0,0,1,0,0,Aetheryte,3961173,3961180,3961183,3961184,0,206,0,137,17,820,1120,3,0,4,True,False
12,,,0,0,0,1,0,0,Aetheryte,3961228,3961229,3961230,3961231,0,216,0,137,17,780,1040,3,0,5,True,False
13,,,0,0,0,1,0,0,Aetheryte,3965407,3965408,3965409,3965410,0,218,0,138,18,600,1100,3,0,6,True,False
14,,,0,0,0,1,0,0,Aetheryte,3965420,3965421,3965422,3965423,0,223,0,138,18,540,1100,3,0,7,True,False
15,,,0,0,0,1,0,0,Aetheryte,4142002,4142044,4142045,4142046,0,239,0,139,19,760,1000,3,0,8,True,False
16,,,0,0,0,1,0,0,Aetheryte,4142062,4142063,4142064,4142065,0,237,0,180,30,680,960,3,0,9,True,False
17,,,0,0,0,1,0,0,Aetheryte,3965476,3965481,3965483,3965484,0,271,0,140,20,1120,1260,5,0,42,True,False
18,,,0,0,0,1,0,0,Aetheryte,3965498,3965499,3965501,3965503,0,300,0,145,22,1360,1210,5,0,44,True,False
19,,,0,0,0,1,0,0,Aetheryte,3965549,3965550,3965551,3965553,0,313,0,146,23,1360,1340,5,0,45,True,False
20,,,0,0,0,1,0,0,Aetheryte,3965584,3965587,3965589,3965590,0,323,0,146,23,1360,1440,5,0,46,True,False
21,,,0,0,0,1,0,0,Aetheryte,3965676,3965684,3965688,3965690,0,325,0,147,24,1280,1160,5,0,47,True,False
22,,,0,0,0,1,0,0,Aetheryte,3965709,3965711,3965712,3965713,0,331,0,147,24,1260,1100,5,0,48,True,False
23,,,0,0,0,1,0,0,Aetheryte,3965792,3965794,3965796,3965797,0,388,0,155,53,1180,580,6,0,62,True,False
24,,,0,0,0,1,0,0,Aetheryte,3965896,3965898,3965899,3965900,0,411,0,156,25,1240,860,6,0,221,True,False
25,,,0,0,0,1,0,0,Aetheryte,2563653,0,0,0,0,0,782,132,0,0,0,0,2,0,False,False
26,,,0,0,0,1,0,0,Aetheryte,2563690,0,0,0,0,0,783,133,0,0,0,0,2,0,False,False
27,,,0,0,0,1,0,0,Aetheryte,2563700,0,0,0,0,0,784,133,0,0,0,0,2,0,False,False
28,,,0,0,0,1,0,0,Aetheryte,2563702,0,0,0,0,0,785,133,0,0,0,0,2,0,False,False
29,,,0,0,0,1,0,0,Aetheryte,2563740,0,0,0,0,0,786,133,0,0,0,0,2,0,False,False
30,,,0,0,0,1,0,0,Aetheryte,2563748,0,0,0,0,0,787,133,0,0,0,0,2,0,False,False
31,,,0,0,0,1,0,0,Aetheryte,2563810,0,0,0,0,0,597,148,0,0,0,0,2,0,False,True
32,,,0,0,0,1,0,0,Aetheryte,2563828,0,0,0,0,0,598,154,0,0,0,0,2,0,False,True
33,,,0,0,0,1,0,0,Aetheryte,4168380,0,0,0,0,0,772,130,0,0,0,0,3,0,False,False
34,,,0,0,0,1,0,0,Aetheryte,4168385,0,0,0,0,0,773,130,0,0,0,0,3,0,False,False
35,,,0,0,0,1,0,0,Aetheryte,4169078,0,0,0,0,0,774,131,0,0,0,0,3,0,False,False
36,,,0,0,0,1,0,0,Aetheryte,4169094,0,0,0,0,0,775,131,0,0,0,0,3,0,False,False
37,,,0,0,0,1,0,0,Aetheryte,4169099,0,0,0,0,0,776,131,0,0,0,0,3,0,False,False
38,,,0,0,0,1,0,0,Aetheryte,4169491,0,0,0,0,0,779,140,0,0,0,0,3,0,False,True
39,,,0,0,0,1,0,0,Aetheryte,4169494,0,0,0,0,0,780,141,0,0,0,0,3,0,False,True
40,,,0,0,0,1,0,0,Aetheryte,4169496,0,0,0,0,0,781,141,0,0,0,0,3,0,False,True
41,,,0,0,0,1,0,0,Aetheryte,4170478,0,0,0,0,0,764,128,0,0,0,0,1,0,False,False
42,,,0,0,0,1,0,0,Aetheryte,4170467,0,0,0,0,0,765,128,0,0,0,0,1,0,False,False
43,,,0,0,0,1,0,0,Aetheryte,4170361,0,0,0,0,0,769,129,0,0,0,0,1,0,False,False
44,,,0,0,0,1,0,0,Aetheryte,4170387,0,0,0,0,0,768,129,0,0,0,0,1,0,False,False
