#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10
0,,0,0,0,0,0,0,0,0,0,0
1,身体能力＋UNKNOWN％,10,10,15,15,20,100,100,100,100,100
2,精神力＋UNKNOWN％,10,10,15,15,20,100,100,100,100,100
3,戦術練度＋UNKNOWN％,10,10,15,15,20,100,100,100,100,100
4,全員の身体能力＋UNKNOWN％,3,3,3,3,5,100,100,100,100,100
5,全員の精神力＋UNKNOWN％,3,3,3,3,5,100,100,100,100,100
6,全員の戦術練度＋UNKNOWN％,3,3,3,3,5,100,100,100,100,100
7,獲得経験値量＋UNKNOWN％,10,10,20,20,30,100,100,100,100,100
8,全員の獲得経験値量＋UNKNOWN％,5,5,10,10,15,100,100,100,100,100
9,全員のジンクス獲得率＋UNKNOWN％,10,20,30,40,50,100,100,100,100,100
10,UNKNOWN％で「戦闘技術教本：守勢」を入手,0,0,0,0,0,10,20,30,40,50
11,UNKNOWN％で「戦闘技術教本：魔法」を入手,0,0,0,0,0,10,20,30,40,50
12,UNKNOWN％で「戦闘技術教本：攻勢」を入手,0,0,0,0,0,10,20,30,40,50
13,UNKNOWN％でギルを入手,0,0,0,0,0,10,20,30,40,50
14,UNKNOWN％で軍票を入手,0,0,0,0,0,10,20,30,40,50
15,UNKNOWN％でMGPを入手,0,0,0,0,0,10,20,30,40,50
16,UNKNOWN％でタンク向けマテリアを入手,0,0,0,0,0,10,20,30,40,50
17,UNKNOWN％で物理DPS向けマテリアを入手,0,0,0,0,0,10,20,30,40,50
18,UNKNOWN％でソーサラー向けマテリアを入手,0,0,0,0,0,10,20,30,40,50
19,UNKNOWN％でギャザラー向けマテリアを入手,0,0,0,0,0,10,20,30,40,50
20,UNKNOWN％でクラフター向けマテリアを入手,0,0,0,0,0,10,20,30,40,50
21,UNKNOWN％でクラスターを入手,0,0,0,0,0,10,20,30,40,50
22,UNKNOWN％でギャザラースクリップを入手,0,0,0,0,0,10,20,30,40,50
23,UNKNOWN％でクラフタースクリップを入手,0,0,0,0,0,10,20,30,40,50
