#,Unknown0,Unknown1,Unknown2,Unknown3
0.0,0,-1,-1,-1
1.0,1,0,-1,-1
1.1,2,1,1,3
1.2,2,2,2,4
1.3,2,2,3,5
1.4,6,3,0,6
1.5,7,3,0,7
1.6,2,4,4,8
1.7,7,5,1,9
1.8,3,6,5,10
1.9,7,7,2,11
1.10,6,7,1,12
1.11,5,8,0,13
1.12,4,9,0,14
2.0,1,0,-1,-1
2.1,2,1,1,8
2.2,5,2,0,9
2.3,3,3,2,10
2.4,2,3,3,11
2.5,7,4,0,12
2.6,6,4,0,13
2.7,2,5,4,14
2.8,7,6,1,15
2.9,3,7,5,16
2.10,8,8,0,17
2.11,7,8,2,18
2.12,5,9,1,19
2.13,4,10,0,20
3.0,1,0,-1,-1
3.1,2,1,1,6
3.2,2,2,2,7
3.3,5,3,0,8
3.4,3,4,3,9
3.5,2,4,4,10
3.6,7,5,0,11
3.7,6,5,0,12
3.8,2,6,5,13
3.9,7,7,1,14
3.10,5,7,1,15
3.11,3,8,6,16
3.12,7,9,2,17
3.13,8,10,0,18
3.14,6,10,1,19
3.15,5,11,2,20
3.16,4,12,0,21
4.0,1,0,-1,-1
4.1,2,1,1,3
4.2,2,2,2,4
4.3,8,2,0,5
4.4,5,3,0,6
4.5,6,4,0,7
4.6,8,4,1,8
4.7,3,5,5,9
4.8,8,6,2,10
4.9,7,6,3,11
4.10,3,7,7,12
4.11,2,7,8,13
4.12,8,8,3,14
4.13,5,8,2,15
4.14,4,9,0,16
5.0,1,0,-1,-1
5.1,2,1,1,3
5.2,3,2,2,4
5.3,5,2,0,5
5.4,6,3,0,6
5.5,7,3,0,7
5.6,8,3,0,8
5.7,8,4,1,9
5.8,2,4,5,10
5.9,7,4,2,11
5.10,3,5,6,12
5.11,6,6,1,13
5.12,8,7,2,14
5.13,5,7,2,15
5.14,7,8,4,16
5.15,7,8,5,17
5.16,3,9,8,18
5.17,2,9,9,19
5.18,2,10,10,20
5.19,5,11,3,21
5.20,8,12,3,22
5.21,6,12,2,23
5.22,7,12,7,24
5.23,8,13,4,25
5.24,3,13,13,26
5.25,4,14,0,27
