#,Text
0,
1,"このアイテムは一度設置すると、中古品となり
マーケットへの出品ができなくなります。

**また、ハウス・家具の種類によっては、
以下のようなケースで権利喪失があり得ます。
・他プレイヤーによる撤去
・フリーカンパニー除名・脱退
・ハウスシェアリングの解除
・土地の撤去**

設置してよろしいでしょうか？"
2,"このアイテムは一度設置すると、撤去してもアイテムに戻すことはできなくなります。

**また、ハウス・家具の種類によっては、
以下のようなケースで権利喪失があり得ます。
・他プレイヤーによる撤去
・フリーカンパニー除名・脱退
・ハウスシェアリングの解除
・土地の撤去**

設置してよろしいでしょうか？"
3,"このアイテムはマーケットへの出品、トレードはできません。

**また、ハウス・家具の種類によっては、
以下のようなケースで権利喪失があり得ます。
・他プレイヤーによる撤去
・フリーカンパニー除名・脱退
・ハウスシェアリングの解除
・土地の撤去**

※このアイテムはオンラインストアから購入、
またはアイテムコードにより入手されたアイテムです。 
設置の際は上記の点にご注意ください。

設置してよろしいでしょうか？"
4,"このアイテムは一度設置すると、撤去してもアイテムに戻すことはできなくなります。
**また、ハウスの種類によっては、以下のようなケースで権利喪失があり得ます。
・他プレイヤーによる撤去
・フリーカンパニー除名・脱退
・ハウスシェアの解消**
設置してよろしいでしょうか？"
5,"このアイテムはマーケットへの出品、トレードはできません。

**また、ハウス・家具の種類によっては、
以下のようなケースで権利喪失があり得ます。
・他プレイヤーによる撤去
・フリーカンパニー除名・脱退
・ハウスシェアリングの解除
・土地の撤去**

設置してよろしいでしょうか？"
6,"このアイテムはマーケットへの出品ができません。

**また、ハウス・家具の種類によっては、
以下のようなケースで権利喪失があり得ます。
・他プレイヤーによる撤去
・フリーカンパニー除名・脱退
・ハウスシェアリングの解除
・土地の撤去**

設置してよろしいでしょうか？"
7,"このアイテムはマーケットへの出品、トレードはできません。
また、1回以上消費すると、撤去してもアイテムに戻すことはできなくなります。

**また、ハウス・家具の種類によっては、
以下のようなケースで権利喪失があり得ます。
・他プレイヤーによる撤去
・フリーカンパニー除名・脱退
・ハウスシェアリングの解除
・土地の撤去**

※このアイテムはオンラインストアから購入、
またはアイテムコードにより入手されたアイテムです。 
設置の際は上記の点にご注意ください。

設置してよろしいでしょうか？"
8,"このアイテムはマーケットへの出品、トレードはできません。
また、1回以上消費すると、撤去してもアイテムに戻すことはできなくなります。

**また、ハウス・家具の種類によっては、
以下のようなケースで権利喪失があり得ます。
・他プレイヤーによる撤去
・フリーカンパニー除名・脱退
・ハウスシェアリングの解除
・土地の撤去**

設置してよろしいでしょうか？"
9,"このアイテムは一度設置すると、中古品となり
マーケットへの出品ができなくなります。
1回以上消費すると、撤去してもアイテムに戻すことはできなくなります。

**また、ハウス・家具の種類によっては、
以下のようなケースで権利喪失があり得ます。
・他プレイヤーによる撤去
・フリーカンパニー除名・脱退
・ハウスシェアリングの解除
・土地の撤去**

設置してよろしいでしょうか？"
