#,Name,Image,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown3,SortKey,Component,Subtype,Unknown1,Category
0,なし,0,1,0,0,0,0,0,0,0,0
1,光沢,194002,1,0,0,0,1,2,0,0,1
2,四角形,194003,1,0,0,0,6,2,0,0,1
3,水玉,194004,1,0,0,0,7,2,0,0,1
4,菱形,194005,1,0,0,0,8,2,0,0,1
5,格子,194006,1,0,0,0,2,2,0,0,1
6,斜線,194007,1,0,0,0,3,2,0,0,1
7,斜二分割,194008,1,0,0,0,4,2,0,0,1
8,三角形,194009,1,0,0,0,5,2,0,0,1
9,羊皮紙,194010,1,0,0,0,10,2,0,0,1
10,隅飾り,194011,1,0,0,0,9,2,0,0,1
11,陰影,195002,1,0,0,0,1,1,0,0,1
12,光彩,195003,1,0,0,0,2,1,0,0,1
13,水玉,195004,1,0,0,0,3,1,0,0,1
14,手帳,195005,1,0,0,0,4,1,0,0,1
15,スクラップ,195006,1,0,0,0,5,1,0,0,1
16,魔法陣,195007,1,0,0,0,6,1,0,0,1
17,羊皮紙,195008,1,0,0,0,7,1,0,0,1
18,塗料,195009,1,0,0,0,8,1,0,0,1
19,金属看板,195010,1,0,0,0,9,1,0,0,1
20,書物,195011,1,0,0,0,10,1,0,0,1
21,バナー,197002,1,0,0,0,3,3,0,0,1
22,ウェルカムバック,197003,1,0,0,0,4,3,0,0,1
23,メタルサークル,197004,1,0,0,0,5,3,0,0,1
24,ロールバナー：TANK,197005,1,0,0,0,6,3,0,0,1
25,ロールバナー：DPS,197006,1,0,0,0,8,3,0,0,1
26,ロールバナー：HEALER,197007,1,0,0,0,7,3,0,0,1
27,シンプルフレーム：ブラウン,197008,1,0,0,0,1,3,0,0,1
28,シンプルフレーム：ソリッド,197009,1,0,0,0,2,3,0,0,1
29,メモ,197010,1,0,0,0,9,3,0,0,1
30,スクラップ,197011,1,0,0,0,10,3,0,0,1
31,ブラック,198002,1,0,0,0,3,4,0,0,1
32,ホワイト,198003,1,0,0,0,2,4,0,0,1
33,ジェム（ソリッド）,198004,1,0,0,0,5,4,0,0,1
34,ジェム（シンプル）,198005,1,0,0,0,4,4,0,0,1
35,リムサ・ロミンサ,198006,1,0,0,0,6,4,0,0,1
36,グリダニア,198007,1,0,0,0,7,4,0,0,1
37,ウルダハ,198008,1,0,0,0,8,4,0,0,1
38,メタル,198009,1,0,0,0,1,4,0,0,1
39,トリプルトライアドEX,198010,298,0,0,0,10,4,0,0,1
40,トリプルトライアド,198011,298,0,0,0,9,4,0,0,1
41,ギル金貨,199002,1,0,0,0,1,5,0,0,1
42,羽ペン,199003,1,0,0,0,2,5,0,0,1
43,ステッカー,199004,1,0,0,0,3,5,0,0,1
44,地図,199005,1,0,0,0,4,5,0,0,1
45,リボン,199006,1,0,0,0,5,5,0,0,1
46,手紙,199007,1,0,0,0,6,5,0,0,1
47,音符,199008,1,0,0,0,7,5,0,0,1
48,ブーケ,199009,1,0,0,0,8,5,0,0,1
49,メモ,199010,1,0,0,0,9,5,0,0,1
50,切手,199011,1,0,0,0,10,5,0,0,1
51,剣術士,194201,156,0,0,0,2000,2,0,0,2
