#,Name,FCAuthorityCategory,Unknown0
0,プロフィールの設定,1,1
1,,0,0
2,階級の設定,1,2
3,クレストデザインの設定,1,3
4,カンパニーチェストの設定,0,0
5,カンパニーへの招待,2,1
6,カンパニーへの加入申請の承認,2,4
7,カンパニーメンバーの除名,2,2
8,階級の任命,2,3
9,カンパニーボードの編集,3,1
10,,0,0
11,一言メモの利用,3,2
12,カンパニークレジットの利用,4,1
13,カンパニーアクションの使用,4,2
14,カンパニーアクションの破棄,4,3
15,,5,0
16,,5,0
17,,5,0
18,,5,0
19,,5,0
20,,5,0
21,,5,0
22,,5,0
23,,5,0
24,,5,0
25,,5,0
26,,5,0
27,,5,0
28,,5,0
29,,5,0
30,,5,0
31,,5,0
32,,5,0
33,,5,0
34,,5,0
35,,5,0
36,,5,0
37,,5,0
38,,5,0
39,,5,0
40,,5,0
41,,5,0
42,,5,0
43,ハウスへの入室,6,1
44,ハウスの名前編集,6,2
45,グリーティングメッセージの編集,6,3
46,土地の購入・放棄,7,1
47,ハウスの建築・撤去,7,2
48,外装と内装の変更,8,1
49,調度品・庭具の変更不可,8,3
50,調度品・庭具の追加/配置変更可,8,4
51,調度品・庭具の追加/撤去/配置変更可,8,5
52,外装・調度品・庭具の染色,8,2
53,訪問者設定・ハウスアピール設定の編集,6,4
54,交流帳の管理,15,1
55,畑・植木鉢への種まき,9,1
56,作物の収穫,9,2
57,作物の処分,9,3
58,マイチョコボを預ける,10,1
59,メンバーのチョコボの訓練,10,2
60,ホイールスタンドの利用,8,7
61,リテイナーの設置・撤去,8,6
62,地下工房の増築・撤去,11,1
63,製作アイテムの決定・中止,12,1
64,素材の納品,12,2
65,工程進捗の実行,12,3
66,製作アイテムの受け取り,12,4
67,設計図の製図,12,5
68,登録・解体,13,1
69,パーツ変更,13,2
70,パーツ染色,13,3
71,名前編集,13,4
72,ボイジャー出港の実行・中止,13,5
73,ボイジャーの完了確認,13,6
74,乗船探索の実行,0,0
75,オーケストリオンの管理,14,1
