#,Name,Description,Icon,Action,Pet,MasterOrder,DisableOrder,Unknown0
0,,,405,0,0,False,True,False
1,帰還,ペットを帰還させる。,530,0,0,False,True,False
2,追従,ペットを自身に追従させる。,529,0,0,False,True,False
3,移動,ペットを指定地点まで移動させる。,527,0,0,False,True,False
4,待機,ペットをその場で待機させる。,528,0,0,False,True,False
5,インターセプト,ペットに、自分が攻撃を行うか、自分が攻撃を受けるまで戦闘しないように命令する。,531,0,0,False,True,False
6,ピース,ペットに、自分が指示を出すまで戦闘しないように命令する。,532,0,0,False,True,False
7,フリーファイト,ペットに攻撃させる。,786,0,0,True,False,False
8,セミオーダー,ペットに攻撃させる。ただし、一部のアクションは命令を受けるまで実行しない。,786,0,0,True,False,False
9,ガスト,対象に風属性魔法攻撃。　**威力：**90,786,637,1,True,False,False
10,ふきとばし,"対象に風属性魔法攻撃。　**威力：**80
**追加効果：**対象を15mノックバックする
**「セミオーダー」**状態では命令を受けるまで実行しない。**",786,638,1,True,False,False
11,ダウンバースト,"対象とその周囲の敵に風属性範囲魔法攻撃。　**威力：**80
**「セミオーダー」**状態では命令を受けるまで実行しない。**",786,639,1,True,False,False
12,エメラルドの輝き,"一定時間、対象が受ける魔法ダメージを10％上昇させる。
**効果時間：**15秒
**「セミオーダー」**状態では命令を受けるまで実行しない。",786,640,1,True,False,False
13,ひっかき,"対象に土属性魔法攻撃。　**威力：**70
**追加効果：**敵視アップ",786,633,2,True,False,False
14,トパーズの輝き,"自身の周囲の敵に土属性範囲魔法攻撃。　**威力：**60
**追加効果：**敵視アップ
**「セミオーダー」**状態では命令を受けるまで実行しない。",786,634,2,True,False,False
15,かたまり,"一定時間、ペット自身の被ダメージを20％軽減させる。
**効果時間：**20秒
**「セミオーダー」**状態では命令を受けるまで実行しない。**",786,635,2,True,False,False
16,体当たり,"対象に土属性魔法攻撃。　**威力：**60
**追加効果：**スタン　**効果時間：**2秒
**「セミオーダー」**状態では命令を受けるまで実行しない。",786,636,2,True,False,False
17,ウィンドブレード,対象に風属性魔法攻撃。　**威力：**110,786,792,5,True,False,False
18,ショックウェーブ,"対象に風属性魔法攻撃。　**威力：**90
**追加効果：**対象を15mノックバックする
**「セミオーダー」**状態では命令を受けるまで実行しない。**",786,793,5,True,False,False
19,エリアルスラッシュ,"対象とその周囲の敵に風属性範囲魔法攻撃。　**威力：**90
**「セミオーダー」**状態では命令を受けるまで実行しない。**",786,794,5,True,False,False
20,コンテージョン,"一定時間、対象が受ける魔法ダメージを10％上昇させる。
**効果時間：**15秒
**「セミオーダー」**状態では命令を受けるまで実行しない。",786,795,5,True,False,False
21,エリアルブラスト,"対象とその周囲の敵に風属性範囲魔法攻撃。　**威力：**250
マスターが**「エンキンドル」**を実行することで使用する。",786,796,5,True,False,False
22,ロックバスター,"対象に土属性魔法攻撃。　**威力：**85
**追加効果：**敵視アップ",786,787,4,True,False,False
23,マウンテンバスター,"自身の周囲の敵に土属性範囲魔法攻撃。　**威力：**70
**追加効果：**敵視アップ
**「セミオーダー」**状態では命令を受けるまで実行しない。",786,788,4,True,False,False
