#,Name,Description,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29,Unknown30,Unknown31,Unknown32,Unknown33,Unknown34,Unknown35,Unknown36,Unknown37,Unknown38,Unknown39,Unknown40,Unknown41,Unknown42,Unknown43,Unknown44,Unknown45,Unknown46,Unknown47,Unknown48,Unknown49,Unknown50,Unknown51,Unknown52
0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,巨大偏属性クリスタル破壊指令,スクリーム・パフ付近で、セントラルクリスタルによる月面の環境制御から溢れた巨大偏属性クリスタルの大量発生が確認された。パワーローダーで現地に赴き、巨大偏属性クリスタルを粉砕し、属性変換用の資源として回収してもらいたい。,"パワーローダーの装備を駆使し、
巨大偏属性クリスタルを破砕せよ。",,,"コスモドリルで小型の偏属性クリスタルを破砕せよ。
獲得した資源は、フィールドサーチャーで分析にかけろ。",,,"メカオペレーション「巨大偏属性クリスタル破壊指令」が発令されました。
パイロット希望者は、エクスプローラータブレットから搭乗を申請してください。","まもなく、メカオペレーションが開始されます。
サポーター参加希望者は、任務地点にお集まりください。",4259842,4259843,4259844,4259845,4259846,368,11502159,10921203,11482845,10921201,11482848,11759496,6,7,8,0,7,8,1,11629602,330,11532641,11532657,11532659,11532660,11532661,296,297,298,299,300,2,60493,60492,20172,20171,60809,63889,1420,1422,0,600,5
2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,有害菌床駆除指令,マッシュルーム・ルーム付近で、有害な異常胞子を放つミケナ・クロロフォス菌床が大量発生した事が確認された。基地内や星外搬出機材に胞子が付着した場合、今後の探索に大きな影響をもたらす可能性がある。ホイールローダーで現地に赴き、赤きミケナ・クロロフォスを残らず駆除して繁殖を抑えてもらいたい。,"ホイールローダーの装備を駆使し、
巨大な異常菌床を駆除せよ。",,,"コスモフレイムスロアーで、小さな異常菌床を焼却せよ。
焼却後に得られた灰は、フィールドサーチャーに納品し、
分析にかけろ。",,,"メカオペレーション「有害菌床駆除指令」が発令されました。
パイロット希望者は、エクスプローラータブレットから搭乗を申請してください。","まもなく、メカオペレーションが開始されます。
サポーター参加希望者は、任務地点にお集まりください。",4259862,4259863,4259864,4259865,4259866,378,11508987,11170532,11508985,11170531,11508986,11759498,9,10,11,0,7,8,5,11730314,333,11753130,11753131,11753132,11753133,11753134,301,302,303,304,305,2,60493,60492,20173,20171,60809,63889,1420,1422,0,600,5
6,パエンナイト掘採指令,硝礫の川浜の地下にて、急速冷却され変質した火山ガラスの鉱床が発見されている。この有用な資源を我々は「パエンナイト」と命名、パワーローダーによる掘採計画を決定した。地下資源の獲得には多大な雷気イオンエネルギーを要するため、その大量発生時が掘採の好機だ。機体に増設したパワーゲイナーで必要なエネルギーを補給しつつ、任務に当たってくれ。,"流砂の穴にトーウィングビームを使用し、
地下のパエンナイトを回収せよ。
トーウィングビームは、雷気イオンパワー10を
消費することで使用可能。",,,"コスモドリルで、地中に眠るパエンナイトを掘採せよ。
獲得した資源は、フィールドサーチャーに納品し、
分析にかけろ。",,,"メカオペレーション「パエンナイト掘採指令」が発令されました。
パイロット希望者は、エクスプローラータブレットから搭乗を申請してください。","まもなく、メカオペレーションが開始されます。
サポーター参加希望者は、任務地点にお集まりください。",4259924,4259925,4259926,4259927,4259928,404,11925434,11841658,11925435,11841657,11925436,11911477,12,13,14,0,7,8,6,11939517,351,11939469,11939470,11939471,11939472,11939473,339,340,341,342,343,3,60493,60492,20173,20171,60809,63889,1420,1422,0,600,5
7,ガラス塊破砕回収指令,チルマーク洞内で地熱の変動があり、地中から良質なガラス塊が大量に出現した。サンプルを確認した研究者によれば、自然由来と思えないほど純度が高く、精密なレンズや機器の開発に用いることで今後の探索計画で重要な役割を担う可能性さえあるという。ホイールローダーで現地に赴き、ガラス塊を破砕し、回収してほしい。,"ホイールローダーの装備を駆使し、
ガラス塊を破砕せよ。",,,"コスモゲイナーで、ガラス片を吸引せよ。
得られた資源は、フィールドサーチャーに納品し、
分析にかけろ。",,,"メカオペレーション「ガラス塊破砕回収指令」が発令されました。
パイロット希望者は、エクスプローラータブレットから搭乗を申請してください。","まもなく、メカオペレーションが開始されます。
サポーター参加希望者は、任務地点にお集まりください。",4259929,4259930,4259931,4259932,4259933,405,11925453,11842477,11925454,11842314,11925455,11911495,15,16,17,0,7,8,7,11939524,354,11939478,11939479,11939480,11939484,11939485,344,345,346,347,348,3,60493,60492,20172,20171,60809,63889,1420,1422,0,600,5
8,重力歪みの解消,ロングロスト・キャロット周辺で、大規模な重力場の歪みが観測された。大小のグラビデ系魔法の塊のようなものが出現し、放置すれば、周辺の探索区域への多大な影響が懸念される。本事象に備え、ガレアン系の技術者の協力を得て、状況の解決に特化した魔導重機を用意した。これに搭乗し、現地の重力歪みを解消してほしい。,"魔導重機の装備を駆使し、重力の歪みを解消せよ。
中グラビデ塊に対しては、コスモグレネーダーが有効だ。",魔導重機の装備を駆使し、巨大グラビデ塊を消滅させろ。,,コスモランマーを使って、地中グラビデ塊を消滅させろ。,コスモランマーを使って、巨大グラビデ塊を消滅させろ。,,"メカオペレーション「重力歪みの解消」が発令されました。
パイロット希望者は、エクスプローラータブレットから搭乗を申請してください。","まもなく、メカオペレーションが開始されます。
サポーター参加希望者は、任務地点にお集まりください。",4259847,4259848,4259849,4259850,4259851,424,12171402,12115206,12171403,12115207,12171404,12216648,3,2,4,0,7,8,2,12201566,377,12201637,12201638,12201639,12201640,12201641,365,366,367,368,369,4,60493,60492,20172,20171,60809,63889,1420,1422,0,600,5
9,レビテトストーンの収集,ケープ・ゲーラス付近で、局所的な重力異常を確認した。この影響で、地中にあったレビテトストーンが露出し、上空に浮かび上がる現象が起きている。浮かんだレビテトストーンは高密度のエネルギーを帯びており、この状態での収集ができれば、研究の大きな助けとなる。重力異常が収まる前に、収集を依頼したい。,"局地用パワーローダーの装備を駆使し、
浮かび上がったレビテトストーンを収集せよ。",,,"コスモゲイナー改で、
浮かび上がった小レビテトストーンを収集せよ。
獲得した資源は、フィールドサーチャーに納品し、
分析にかけろ。",,,"メカオペレーション「レビテトストーンの収集」が発令されました。
パイロット希望者は、エクスプローラータブレットから搭乗を申請してください。","まもなく、メカオペレーションが開始されます。
サポーター参加希望者は、任務地点にお集まりください。",4259852,4259853,4259854,4259855,4259856,423,12171427,12115218,12171428,12115219,12171429,12216801,18,19,0,20,7,8,3,12201585,380,12201642,12201646,12201647,12201648,12201649,370,371,372,373,374,4,60493,60492,20173,20171,60809,63889,1420,1422,0,600,5
