#,Unknown0,Unknown1,Unknown3,Unknown2,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
4259840,0,0,0,0,0,0,False,False,False
4259841,0,0,0,0,0,0,False,False,False
4259842,11103140,11170639,10923822,400,2,306,False,True,False
4259843,11103140,11120970,11170673,400,2,306,False,True,False
4259844,11103140,11170640,11170674,400,2,306,False,True,False
4259845,11103140,11170641,11170675,400,2,306,False,True,False
4259846,11103140,11170642,11170676,400,2,306,False,True,False
4259847,12171367,12245908,12171358,400,20,375,False,True,False
4259848,12171367,12245909,12171359,400,20,375,False,True,False
4259849,12171367,12245910,12171360,400,20,375,False,True,False
4259850,12171367,12245911,12171361,400,20,375,False,True,False
4259851,12171367,12245912,12171362,400,20,375,False,True,False
4259852,12171422,12245944,12171416,400,21,376,False,True,False
4259853,12171422,12245945,12171417,400,21,376,False,True,False
4259854,12171422,12245946,12171418,400,21,376,False,True,False
4259855,12171422,12245947,12171419,400,21,376,False,True,False
4259856,12171422,12245948,12171420,400,21,376,False,True,False
4259857,0,0,0,0,0,0,False,False,False
4259858,0,0,0,0,0,0,False,False,False
4259859,0,0,0,0,0,0,False,False,False
4259860,0,0,0,0,0,0,False,False,False
4259861,0,0,0,0,0,0,False,False,False
4259862,11171311,11171313,11171312,400,3,307,False,True,False
4259863,11171311,11171572,11171568,400,3,307,False,True,False
4259864,11171311,11171575,11171574,400,3,307,False,True,False
4259865,11171311,11171578,11171577,400,3,307,False,True,False
4259866,11171311,11171582,11171581,400,3,307,False,True,False
4259867,11410288,10967741,11410287,400,1,0,True,False,True
4259868,11410298,11324528,11410299,400,1,0,True,False,True
4259869,11483001,11483595,11483384,400,1,0,True,False,True
4259870,11483005,11483596,11483385,400,1,0,True,False,True
4259871,11483006,11483597,11483386,400,1,0,True,False,True
4259872,11483007,11483598,11483387,400,1,0,True,False,True
4259873,10964264,10964262,10964263,400,1,0,True,False,True
4259874,11483009,11483599,11483388,400,1,0,True,False,True
4259875,11483008,11483600,11483389,400,1,0,True,False,True
4259876,11483025,11483601,11483390,400,1,0,True,False,True
4259877,11483011,11483602,11483391,400,1,0,True,False,True
4259878,11483016,11483603,11483392,400,1,0,True,False,True
4259879,11483024,11483604,11483393,400,1,0,True,False,True
4259880,11483014,11483605,11483394,400,1,0,True,False,True
4259881,11483017,11483606,11483395,400,1,0,True,False,True
4259882,11483020,11483607,11483396,400,1,0,True,False,True
4259883,11483021,11483608,11483397,400,1,0,True,False,True
4259884,11483022,11483609,11483398,400,1,0,True,False,True
4259885,11483023,11483610,11483399,400,1,0,True,False,True
4259886,11483018,11483611,11483400,400,1,0,True,False,True
4259887,11483079,11483612,11483401,400,1,0,True,False,True
4259888,11483080,11483613,11483402,400,1,0,True,False,True
4259889,11483081,11483614,11483403,400,1,0,True,False,True
4259890,11483082,11483615,11483404,400,1,0,True,False,True
4259891,11483083,11483616,11483405,400,4,0,True,False,True
4259892,11483084,11483617,11483406,400,4,0,True,False,True
4259893,11483085,11483618,11483407,400,4,0,True,False,True
4259894,11483086,11483619,11483408,400,4,0,True,False,True
4259895,11483087,11483620,11483409,400,4,0,True,False,True
4259896,11483088,11483621,11483410,400,4,0,True,False,True
4259897,11483089,11483622,11483412,400,5,0,True,False,True
4259898,11483090,11483623,11483413,400,5,0,True,False,True
4259899,11483091,11483624,11483414,400,5,0,True,False,True
4259900,11483092,11483625,11483415,400,5,0,True,False,True
4259901,11483093,11483626,11483416,400,5,0,True,False,True
4259902,11483094,11483627,11483417,400,5,0,True,False,True
4259903,11483095,11483628,11483418,400,5,0,True,False,True
4259904,11483096,11483629,11483419,400,5,0,True,False,True
4259905,11483097,11483630,11483420,400,5,0,True,False,True
4259906,11483098,11483631,11483421,400,5,0,True,False,True
4259907,11483164,11483632,11483422,400,6,0,True,False,True
4259908,11483165,11483633,11483423,400,6,0,True,False,True
4259909,11483166,11483634,11483424,400,7,0,True,False,True
4259910,11483167,11483635,11483425,400,7,0,True,False,True
4259911,11483168,11483636,11483426,400,7,0,True,False,True
4259912,11483169,11483637,11483427,400,7,0,True,False,True
4259913,11483170,11483638,11483428,400,7,0,True,False,True
4259914,11483171,11483639,11483429,400,7,0,True,False,True
4259915,11483252,11483640,11483430,400,8,0,True,False,True
4259916,11483257,11483641,11483431,400,8,0,True,False,True
4259917,11483258,11483642,11483432,400,9,0,True,False,True
4259918,11483259,11483643,11483433,400,9,0,True,False,True
4259919,11483260,11483644,11483434,400,9,0,True,False,True
4259920,11483261,11483645,11483435,400,9,0,True,False,True
4259921,11483262,11483646,11483436,400,9,0,True,False,True
4259922,11483263,11483647,11483437,400,9,0,True,False,True
4259923,11483264,11483648,11483439,400,9,0,True,False,True
4259924,11945071,11912378,11911471,400,10,349,False,True,False
4259925,11945071,11912380,11911472,400,10,349,False,True,False
4259926,11945071,11912381,11911473,400,10,349,False,True,False
4259927,11945071,11912382,11911474,400,10,349,False,True,False
4259928,11945071,11912383,11911475,400,10,349,False,True,False
4259929,11945075,11913042,11911489,400,11,350,False,True,False
4259930,11945075,11913043,11911490,400,11,350,False,True,False
4259931,11945075,11913044,11911491,400,11,350,False,True,False
4259932,11945075,11913045,11911492,400,11,350,False,True,False
4259933,11945075,11913046,11911493,400,11,350,False,True,False
4259934,11991335,11993084,11991417,400,12,0,True,False,True
4259935,11991337,11993085,11991418,400,12,0,True,False,True
4259936,11991342,11993086,11991419,400,12,0,True,False,True
4259937,11991343,11993087,11991420,400,12,0,True,False,True
4259938,11991345,11993089,11991421,400,12,0,True,False,True
4259939,11991346,11993090,11991422,400,12,0,True,False,True
4259940,11991347,11993098,11991423,400,12,0,True,False,True
4259941,11991350,11993100,11991424,400,12,0,True,False,True
4259942,11991352,11993101,11991425,400,12,0,True,False,True
4259943,11991353,11993102,11991426,400,12,0,True,False,True
4259944,11991354,11993130,11991427,400,12,0,True,False,True
4259945,11991355,11993131,11991428,400,12,0,True,False,True
4259946,11991356,11993132,11991429,400,12,0,True,False,True
4259947,11991357,11993133,11991430,400,12,0,True,False,True
4259948,11991358,11993134,11991431,400,12,0,True,False,True
4259949,11991359,11993135,11991432,400,12,0,True,False,True
4259950,11991360,11993136,11991433,400,12,0,True,False,True
4259951,11991361,11993137,11991434,400,12,0,True,False,True
4259952,11991362,11993138,11991435,400,12,0,True,False,True
4259953,11991363,11993139,11991436,400,12,0,True,False,True
4259954,11991364,11993150,11991437,400,12,0,True,False,True
4259955,11991365,11993151,11991438,400,12,0,True,False,True
4259956,11991366,11993152,11991439,400,12,0,True,False,True
4259957,11991367,11993154,11991440,400,12,0,True,False,True
4259958,11991368,11993155,11991441,400,12,0,True,False,True
4259959,11991369,11993156,11991442,400,12,0,True,False,True
4259960,11991371,11993157,11991443,400,12,0,True,False,True
4259961,11991372,11993158,11991444,400,12,0,True,False,True
4259962,11991373,11993159,11991445,400,13,0,True,False,True
4259963,11991374,11993160,11991446,400,13,0,True,False,True
4259964,11991375,11993172,11991447,400,13,0,True,False,True
4259965,11991376,11993173,11991448,400,13,0,True,False,True
4259966,11991377,11993174,11991449,400,13,0,True,False,True
4259967,11991378,11993176,11991450,400,13,0,True,False,True
4259968,11991379,11993177,11991451,400,13,0,True,False,True
4259969,11991380,11993178,11991452,400,13,0,True,False,True
4259970,11991382,11993179,11991453,400,13,0,True,False,True
4259971,11991383,11993180,11991454,400,13,0,True,False,True
4259972,11991384,11993181,11991455,400,13,0,True,False,True
4259973,11991386,11993182,11991456,400,13,0,True,False,True
4259974,11991387,11993193,11991457,400,13,0,True,False,True
4259975,11991389,11993195,11991458,400,13,0,True,False,True
4259976,11991390,11993196,11991459,400,13,0,True,False,True
