#,Objective,Description1,Description2,Description3,CompletionBonusExp,RewardExp,CompletionBonusGil,RewardGil,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,ENpcName
0,,,,,0,0,0,0,0,0,0,0,0,0,False,False,0
1,敵の視界に注意しつつ、魔物をせん滅せよ！,"同じ集団に属す魔物はリンクする。複数の集団に、
同時に狙われないよう、敵の視界を意識して戦え！
一部の敵が使う、こちらを吹き飛ばす技には要注意だ！","グゥーブーに気づかれると、すべての敵が攻撃してくる！
辺りを見回すグゥーブーの視界に入らないよう注意しつつ
周囲の敵から各個撃破せよ！","魔物を相手とした実戦形式の訓練を行う。
次々と現れる魔物をせん滅せよ。
パーティメンバー同士の連携を意識して戦え！

魔物の視界に入れば、襲われることになる。
乱戦にならないよう、敵の視界や己の立ち位置に
注意しながら、各個撃破していくのが得策だ。",1640,330,1120,50,0,0,0,0,0,0,False,False,1004746
2,増援を呼びつつ戦う、ボックマンを倒せ！,"ボックマンはHPが減ると増援を呼ぶ！
盾役は、敵の敵視を稼ぎつつ、DPSと分担して戦え！
※盾役（タンク）：体力が高く、敵の攻撃を受け持つ役","多数の敵を相手に戦い続けるのは危険だ！
DPSは、増援を優先して倒し頭数を減らせ！
※DPS：攻撃力が高く、敵へのダメージを担う役","タムタラの墓所周辺に徘徊する死霊を討伐せよ。
特に巨体を誇る鎧武者の死霊、ボックマンには
注意が必要だ。心してかかれ。

ボックマンは己が危機に陥ると、さらなる死霊を
呼び寄せるため長期戦は禁物だ。また奴は広範囲を
なぎ払う攻撃を得意とする。散開しつつ戦え！",1710,340,1160,50,0,0,0,0,0,0,False,False,1004742
3,3つの扉を突破し、最深部のレッジリーパーを倒せ！,"基本的に敵をせん滅して、安全を確保すれば扉は開く。
ただし、レバーを引かなければ開かない扉もある。","最深部に到着すると、ヤーゾンが岩壁を打ち破り始める。
時間との勝負になると心得よ！","敵拠点の攻略を想定した、実戦形式の訓練を行う。
魔物を排除しつつ3つの扉を突破して進み、
最深部で待ち受けるレッジリーパーを討伐せよ。

なお、最深部では岩壁の内側にヤーゾンを放っている。
目標の討伐に手こずると、岩壁を打ち破って
ヤーゾンがなだれ込んでくるだろう。速攻を心がけよ。",3110,620,1740,80,0,0,0,0,0,0,False,False,1004744
4,弱らせたギルガメを誘導し、罠を使って捕獲せよ！,"盗賊たちはギルガメを回復し続ける。
ギルガメを誘導し、盗賊たちから引き離せ！","ファイアスプライトを倒して「核」を入手し、香草に着火。
睡眠ガスが発生したら、ギルガメを誘導して捕縛せよ！","大富豪テレジ・アデレジ氏のペット「ギルガメ」が、
身代金を目的とした盗賊団に誘拐された。
依頼主は対象を生きたまま取り戻すことを望んでいる。

燃やすと睡眠ガスが発生する香草を用意した。
「ファイアスプライトの核」で着火し睡眠ガスを発生させ、
弱らせたギルガメに吸わせれば、生け捕りにできるだろう。",3240,640,1810,80,0,0,0,0,0,0,False,False,1004744
5,次々に広がる猛毒地帯を避けつつ戦え！,"「毒花粉霧」の内側に入るとダメージを受ける！
無駄なダメージを受けないように注意しろ！","敵が「毒花粉霧」の中にいる場合は誘い出せ！
こちらに向かい「毒花粉霧」を放たれた場合は退避せよ！","周辺の動植物に被害を与える、有毒妖花を駆除せよ！
問題の妖花は、強い毒性を帯びた花粉をまき散らす。

霧状に広がる「毒花粉霧」に近づくと、猛毒状態となり
体力を奪われてしまう。次々と広がる「毒花粉霧」の
位置に注意しつつ、安全な場所に敵を誘い出して戦え！",3760,750,2280,110,0,0,0,0,0,0,False,False,1004742
6,回復役に注意しつつ、敵集団を各個撃破せよ！,"少しでも近づくと、敵は気づき攻撃をしかけてくる。
一度に多数の敵に攻撃されないよう、慎重に戦え！","敵の集団には、回復役の幻術士がいる。
放置すると戦いが長引くため、優先的に倒せ！","新たな拠点を作るため、トトラクの千獄付近に
集結した無法者集団「似我蜂団」を撃滅せよ！

敵の頭目を攻撃すると、増援を呼ばれる危険がある。
まずは巡回する敵の動きと、回復を担う幻術士に
注意しつつ、少人数の敵集団を各個撃破せよ。
つねに敵増援の到着を警戒しつつ、慎重に戦え！",4350,870,2500,120,0,0,0,0,0,0,False,False,1004742
7,状態異常に注意しつつ、押し寄せる敵に対処せよ！,"状態異常は、特定のアイテムや「エスナ」で
解除できる。つねに自分と味方の状態に気を配れ！","強力な夢幻のブラキシオを抑える役と
敵増援に対処する役とを分担して対処せよ！","敵対的なシルフ族の一味が南部森林に現れ、
周辺の魔物を魔法で惑わし、従わせてしまった。
現場に急行し、頭目である夢幻のブラキシオを討て！

シルフ族が従えた魔物は、いずれも体調に悪影響を
およぼす攻撃を得意とする。広範囲を攻撃できる
魔物が含まれるため、乱戦を避けるのが得策だ。",4400,880,2800,140,0,0,0,0,0,0,False,False,1004742
8,爆弾に注意しつつ、バリケードを破壊し敵を倒せ！,"投下された爆弾は、数秒後に爆発する。
爆発に巻き込まれない位置まで、急いで離れろ！","道を遮るバリケードは攻撃できる。
ダメージを与えて、HPを0にすれば破壊可能だ！","ゴブリン族の不法集団が地神の忘却を占拠した。
奴らが築いたバリケードを破壊し、敵を一掃せよ！

問題の集団は、時限式の爆弾を所持している。
投げ落とされた爆弾は、数秒後に爆発するので
急ぎ回避せよ。なお、奴らの爆弾を逆手に取り、
バリケードの破壊に利用するのもいいだろう。",4590,910,2920,140,0,0,0,0,0,0,False,False,1004742
9,2種類の泡を対処しつつ、トキシック・タムリンを倒せ！,"水色の泡「ロトンバブル」を放置すると、魔物が生まれる。
魔物が出現する前に、泡を攻撃して叩き割れ！","紫色の泡「アシッドバブル」は攻撃するな！
叩き割れんうえ、酸が飛散し痛い目を見るぞ！","「愚か者の滝」に穢れた巨大モルボル、
トキシック・タムリンが現れ、水質を汚染している。
この汚染が広域に広がる前に、何としても討伐せよ！

なお、汚染された水源からは、
酸性の液体を飛散させる泡や、魔物を生み出す泡が
発生している。周囲の泡に気を配りつつ戦え！",7480,1490,3480,180,0,0,0,0,0,0,False,False,1004746
10,蒼き炎を消して強化状態を解き、ブソを討伐せよ！,"ブソの攻撃力強化は、蒼き炎を調べて消せば解除可能。
なお、ヴォイド・ハウンドを倒すと、新たな蒼き炎が灯る。","蒼き炎を消そうとすると、
ブソは強力な攻撃を放つことがある。
密集した状態で、蒼き炎を消そうとするな！","ブラインドアイアン坑道に、強力な妖異ブソが現れた。
直ちに現場に急行して、ブソを討伐せよ！

ブソは、眷属を呼び出しては生贄に捧げ、
異界「ヴォイド」の蒼き炎を燃やし、自己を強化している。
この邪悪な儀式を止めなければ、対等には戦えまい。
蒼き炎を消し去りつつ、妖異ブソを攻撃せよ！",7790,1560,3630,180,0,0,0,0,0,0,False,False,1004746
11,巡回する敵の範囲攻撃に注意しつつ、敵をせん滅せよ！,"戦場には、無敵の怪物「シャドウアイ」が出現する。
「シャドウアイ」は周囲を巡回しつつ範囲攻撃を放つ。
その位置に気を配りながら戦え！","小型の眷属は、出現と消滅を繰り返す。
同じ場所に留まらず、臨機応変に位置を変えながら、
討伐目標である「シャドウクロー」に攻撃を加えろ！","ドラゴンヘッド東部にて、妖異の掃討作戦を敢行する。
討伐目標は、獰猛なる大型妖異「シャドウクロー」。
さまざまな眷属を呼び出す厄介な相手である。

特に「シャドウアイ」なる眷属は、攻撃が一切通用しない。
そのうえ広範囲を攻撃しながら動き回るため要注意だ。
この他の眷属と合わせ、位置に注意しつつ戦うがいい。",9500,1900,3990,210,0,0,0,0,0,0,False,False,1006743
12,ボムの自爆パターンを見極め、女王を討伐せよ！,"討伐目標である「ボムクイーン」は、まだ姿を現していない。
まずは、ボム以外の魔物を排除しつつ、その出現を待て。
ただし、接近すると即自爆するボムの存在には注意せよ！","「ボムクイーン」は、自らを慕うボムたちに一斉自爆を
命令することがある。その予兆を確認したら、
あせらずに退避し、自爆の爆風を受けないようにせよ！","ボムの自爆を原因とした雪崩が多発している。
被害を食い止めるため、群れを統率する女王を討伐せよ！

女王「ボムクイーン」の命令で自爆する個体や、
接近すると自爆する個体など、さまざまなボムがいる。
その性質を見極めて行動することで、自爆による被害を
最低限に留めつつ、「ボムクイーン」に攻撃を加えよ！",9900,1980,4160,210,0,0,0,0,0,0,False,False,1006743
13,陣形の変化に対応しつつ、5体の妖異を同時に討伐せよ！,"討伐目標の「カミオ」は、個別に倒すと復活してしまう。
復活するまでの数秒間で、残りの「カミオ」を倒せ！
「カミオ」のHPに注意しつつ5体同時に撃破せよ！","一部の敵が無敵化する陣形、攻撃力が上昇する陣形、
新たな魔物が召喚される陣形。
各陣形の特殊効果に注意しつつ、臨機応変に戦え！","唄う裂谷に出現した、妖異「カミオ」の群れをせん滅せよ！
「カミオ」は、5体1組を成す特殊な妖異である。
ほぼ同時に倒さねば、すぐに復活してしまうという。

さらに、討伐目標である「カミオ」たちは、
特殊効果を発揮する魔法陣のような陣形を組む。
奴らの陣形を見逃さず、その効果を把握しつつ戦え！",12940,2580,4480,240,0,0,0,0,0,0,False,False,1006745
14,貴重な遺物を守りつつ、3勢力の巨人族を排除せよ！,"対立し合う3勢力の巨人族は、それぞれが遺物を狙う！
「アラグ文明の遺物」が破壊されないように守りつつ、
すべての巨人族をせん滅せよ！","各巨人族のリーダーを倒せば、増援を阻止できる。
なお、巨人族のリーダー同士が接触すれば、
必ずや増援を呼ばれることだろう。衝突を阻止せよ！","巨人族の支配者階級ギガース族と、奴隷階級に属する
ジャイアント族とヘカトンケイレス族の間で騒乱が発生！
各巨人族は、遺物に埋め込まれた秘石を狙っている！

「アラグ文明の遺物」を守りつつ、巨人族を排除せよ！
時には戦力を二分して対処することも必要となる。
各巨人族の頭目を倒し、増援を遮断するのが勝利の鍵だ！",13480,2690,4670,240,0,0,0,0,0,0,False,False,1006745
