#,Format,Unknown0,Unknown2,Unknown1
0,[LogKind未設定]**UNKNOWN,0,0,False
1,**UNKNOWN,0,0,False
2,**UNKNOWN,0,0,False
3,**UNKNOWN,0,0,False
4,,0,0,False
5,,0,0,False
6,,0,0,False
7,,0,0,False
8,,0,0,False
9,,0,0,False
10,**UNKNOWN : UNKNOWN,0,1,True
11,**UNKNOWN : UNKNOWN,0,3,True
12,**>>UNKNOWN : UNKNOWN,0,4,False
13,**UNKNOWN >> UNKNOWN,0,4,True
14,**(UNKNOWN) UNKNOWN,0,5,True
15,**((UNKNOWN)) UNKNOWN,0,6,True
16,**[1]<UNKNOWN> UNKNOWN,0,10,True
17,**[2]<UNKNOWN> UNKNOWN,0,11,True
18,**[3]<UNKNOWN> UNKNOWN,0,12,True
19,**[4]<UNKNOWN> UNKNOWN,0,13,True
20,**[5]<UNKNOWN> UNKNOWN,0,14,True
21,**[6]<UNKNOWN> UNKNOWN,0,15,True
22,**[7]<UNKNOWN> UNKNOWN,0,16,True
23,**[8]<UNKNOWN> UNKNOWN,0,17,True
24,**[FC]<UNKNOWN> UNKNOWN,0,7,True
25,,0,0,False
26,,0,0,False
27,**[BEGINNER]UNKNOWN : UNKNOWN,0,8,True
28,**UNKNOWNUNKNOWN,0,0,False
29,**UNKNOWN,50,0,False
30,**UNKNOWN : UNKNOWN,0,2,True
31,**(UNKNOWN) UNKNOWN,0,5,False
32,**(UNKNOWN) UNKNOWN,0,5,False
33,,0,4,False
34,,0,4,False
35,,0,6,False
36,**[PvP]<UNKNOWN> UNKNOWN,0,9,True
37,**[CWLS1]<UNKNOWN> UNKNOWN,0,18,True
38,,0,0,False
39,,0,0,False
40,,0,0,False
41,**UNKNOWN,50,0,False
42,**UNKNOWN,50,0,False
43,**UNKNOWN,50,0,False
44,**UNKNOWN,50,0,False
45,**UNKNOWN,50,0,False
46,**UNKNOWN,50,0,False
47,**UNKNOWN,50,0,False
48,**UNKNOWN,50,0,False
49,**UNKNOWN,50,0,False
50,,0,0,False
51,,0,0,False
52,,0,0,False
53,,0,0,False
54,**UNKNOWN,0,0,False
55,**UNKNOWN,0,0,False
56,**UNKNOWN,0,0,False
57,**UNKNOWN,0,0,False
58,**UNKNOWN,50,0,False
59,**UNKNOWN,0,0,False
60,**UNKNOWN,0,0,False
61,**UNKNOWN : UNKNOWN,0,0,False
62,**UNKNOWN,0,0,False
63,,0,0,False
64,**UNKNOWN,50,0,False
65,**UNKNOWN,0,0,False
66,**UNKNOWN,50,0,False
67,**UNKNOWN,50,0,False
68,**UNKNOWN : UNKNOWN,0,0,False
69,**UNKNOWN,0,0,False
70,**UNKNOWN,0,0,False
71,**UNKNOWN,0,0,False
72,**UNKNOWN,0,0,False
73,**UNKNOWN,0,0,False
74,**UNKNOWN,0,0,False
75,**UNKNOWN,0,0,False
76,**UNKNOWN,0,0,False
77,**UNKNOWN,0,0,False
78,**UNKNOWN,0,0,False
79,**UNKNOWN,0,0,False
80,**[GM]UNKNOWN >> UNKNOWN,0,0,True
81,**[GM]UNKNOWN : UNKNOWN,0,0,True
82,**[GM]UNKNOWN : UNKNOWN,0,0,True
83,**[GM]UNKNOWN : UNKNOWN,0,0,True
84,**([GM]UNKNOWN) UNKNOWN,0,0,True
85,**[FC]<[GM]UNKNOWN> UNKNOWN,0,0,True
86,**[1]<[GM]UNKNOWN> UNKNOWN,0,0,True
87,**[2]<[GM]UNKNOWN> UNKNOWN,0,0,True
88,**[3]<[GM]UNKNOWN> UNKNOWN,0,0,True
89,**[4]<[GM]UNKNOWN> UNKNOWN,0,0,True
90,**[5]<[GM]UNKNOWN> UNKNOWN,0,0,True
91,**[6]<[GM]UNKNOWN> UNKNOWN,0,0,True
92,**[7]<[GM]UNKNOWN> UNKNOWN,0,0,True
93,**[8]<[GM]UNKNOWN> UNKNOWN,0,0,True
94,**[BEGINNER][GM]<UNKNOWN> : UNKNOWN,0,0,True
95,,0,0,False
96,,0,0,False
97,,0,0,False
98,,0,0,False
99,,0,0,False
100,,0,0,False
101,**[CWLS2]<UNKNOWN> UNKNOWN,0,19,True
102,**[CWLS3]<UNKNOWN> UNKNOWN,0,20,True
103,**[CWLS4]<UNKNOWN> UNKNOWN,0,21,True
104,**[CWLS5]<UNKNOWN> UNKNOWN,0,22,True
105,**[CWLS6]<UNKNOWN> UNKNOWN,0,23,True
106,**[CWLS7]<UNKNOWN> UNKNOWN,0,24,True
107,**[CWLS8]<UNKNOWN> UNKNOWN,0,25,True
108,,0,0,False
109,,0,0,False
110,,0,0,False
