#,GatheringPoint[0],GatheringPoint[1],GatheringPoint[2],GatheringPoint[3],GatheringPoint[4],GatheringPoint[5],GatheringPoint[6],GatheringPoint[7],GatheringPoint[8],GatheringPoint[9],GatheringPoint[10],GatheringPoint[11],PopRange[0],PopRange[1],PopRange[2],PopRange[3],PopRange[4],PopRange[5],PopRange[6],PopRange[7],PopRange[8],PopRange[9],PopRange[10],PopRange[11]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30152,30153,30155,30156,30157,30158,30160,30161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,30153,30154,30155,30156,30157,30158,30159,30160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,30152,30153,30154,30155,30157,30159,30160,30161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,30152,30154,30155,30156,30158,30159,30160,30161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,30162,30163,30165,30166,30167,30168,30170,30171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,30163,30164,30165,30166,30167,30168,30169,30170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,30162,30163,30164,30165,30167,30169,30170,30171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
