#,Item,ExpModifier[0],ExpModifier[1],ExpModifier[2],CosmoCredits,PlanetCredits,Unknown20,ResearchReward[0],ResearchReward[1],ResearchReward[2],ItemCount,Unknown19,Tool[0],Tool[1],Tool[2],TypeIndex[0],TypeIndex[1],TypeIndex[2]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,115,5,5,2,5,0,7,0,0,0,0,1,0,0,1,0,0
2,0,120,10,5,2,5,0,7,0,0,0,0,1,0,0,1,0,0
3,0,125,10,5,2,5,0,8,0,0,0,0,1,0,0,1,0,0
4,0,115,5,5,2,5,0,7,0,0,0,0,1,0,0,1,0,0
5,0,120,10,5,2,5,0,7,0,0,0,0,1,0,0,1,0,0
6,0,115,5,5,2,5,0,7,0,0,0,0,1,0,0,1,0,0
7,0,0,15,10,2,5,0,3,5,0,0,0,1,1,0,2,1,0
8,0,0,20,10,3,7,0,6,4,0,0,0,1,1,0,2,1,0
9,0,0,20,10,3,7,0,5,5,0,0,0,1,1,0,2,1,0
10,0,0,20,10,3,6,0,4,6,0,0,0,1,1,0,2,1,0
11,0,0,25,10,4,9,0,9,5,0,0,0,1,1,0,2,1,0
12,0,0,25,10,4,9,0,7,7,0,0,0,1,1,0,2,1,0
13,0,0,20,10,3,7,0,5,5,0,0,0,1,1,0,2,1,0
14,0,0,0,20,7,10,0,5,9,0,0,0,1,1,0,2,1,0
15,0,0,0,15,6,8,0,7,4,0,0,0,1,1,0,2,1,0
16,0,0,0,10,4,5,0,5,3,0,0,0,1,1,0,3,1,0
17,0,0,0,20,7,10,0,9,5,0,0,0,1,1,0,3,2,0
18,0,0,0,20,8,11,0,10,6,0,0,0,1,1,0,3,1,0
19,0,0,0,25,8,11,0,10,6,0,0,0,1,1,0,3,2,0
20,0,0,0,20,8,10,0,7,5,5,0,0,1,1,1,3,2,1
21,0,0,0,20,8,10,0,6,6,6,0,0,1,1,1,3,2,1
22,0,0,0,0,19,18,0,13,19,0,0,0,1,1,0,2,1,0
23,0,0,0,0,18,17,0,18,12,0,0,0,1,1,0,3,1,0
24,0,0,0,0,19,17,0,12,19,0,0,0,1,1,0,3,2,0
25,0,0,0,0,15,14,0,15,10,0,0,0,1,1,0,4,1,0
26,0,0,0,0,30,28,0,30,20,0,0,0,1,1,0,4,2,0
27,0,0,0,0,19,20,0,19,13,0,0,0,1,1,0,3,1,0
28,0,0,0,0,15,15,0,10,15,0,0,0,1,1,0,3,2,0
29,0,0,0,0,15,15,0,15,10,0,0,0,1,1,0,4,1,0
30,0,0,0,0,31,34,0,24,16,16,0,0,1,1,1,4,3,1
31,0,0,0,0,30,33,0,23,15,15,0,0,1,1,1,4,3,2
