#,Name,Plural,NameRelation,Adjective,PossessivePronoun,StartsWithVowel,Pronoun,Article,DEF,IconReputation,Icon,IntersocietalQuest,Level,CurrencyItem,MinLevel,BeastRankBonus,MaxRank,Expansion,DisplayOrder,Unknown0
0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,アマルジャ族：灰の一党,,アマルジャ族友好度,0,0,0,0,0,0,61901,65016,0,4496854,21076,0,0,4,0,1,True
2,シルフ族：仮宿のシルフ,,シルフ族友好度,0,0,0,0,0,0,61902,65017,0,4494851,21075,0,0,4,0,2,True
3,コボルド族：第789洞穴団,,コボルド族友好度,0,0,0,0,0,0,61904,65019,0,4618734,21078,0,0,4,0,3,True
4,サハギン族：ノォヴ一味,,サハギン族友好度,0,0,0,0,0,0,61905,65020,0,4618738,21077,0,0,4,0,4,True
5,イクサル族：エカトル空力団,,イクサル族友好度,0,0,0,0,0,0,61903,65018,0,4889077,21073,50,0,7,0,5,False
6,バヌバヌ族：鮮やかなグンド,,バヌバヌ族友好度,0,0,0,0,0,0,61906,65036,67921,6085422,21074,0,1,8,1,1,False
7,グナース族：分かたれし者たち,,グナース族友好度,0,0,0,0,0,0,61907,65037,67921,6209461,21079,0,1,8,1,2,False
8,モーグリ族：モグモグ修復団,,モーグリ族友好度,0,0,0,0,0,0,61908,65039,67921,6254017,21080,60,2,8,1,3,False
9,コウジン族：碧甲羅,,コウジン族友好度,0,0,0,0,0,0,61910,65048,68700,7091589,21081,0,3,8,2,1,False
10,アナンタ族：アルパ国境警備隊,,アナンタ族友好度,0,0,0,0,0,0,61909,65047,68700,7186922,21935,0,3,8,2,2,False
11,ナマズオ族：大鯰大祭実行委員会,,ナマズオ族友好度,0,0,0,0,0,0,61911,65063,68700,7380346,22525,70,4,8,2,3,False
12,ピクシー族：夢の園の妖精,,ピクシー族友好度,0,0,0,0,0,0,61912,65072,0,8141642,28186,0,5,8,3,1,False
13,キタリ族：ルリの発掘隊,,キタリ族友好度,0,0,0,0,0,0,61913,65076,0,8261555,28187,80,6,8,3,2,False
14,ドワーフ族：ワッツハンマー・ガレージ,,ドワーフ族友好度,0,0,0,0,0,0,61914,65079,0,8368176,28188,80,7,8,3,3,False
15,アルカソーダラ族：ヒッポライダーズ,,アルカソーダラ族友好度,0,0,0,0,0,0,61915,65092,70324,9160152,36657,0,8,8,4,1,False
16,オミクロン族：カフェ「ラストレムナント」,,オミクロン族友好度,0,0,0,0,0,0,61916,65093,70324,9308276,37854,90,9,8,4,2,False
17,レポリット族：ドリーミング・ワークショップ,,レポリット族友好度,0,0,0,0,0,0,61917,65101,70324,9527714,38952,90,10,8,4,3,False
18,ペルペル族：トラル旅行公司,,ペルペル族友好度,0,0,0,0,0,0,61918,65113,0,10958050,44472,0,11,8,5,3,False
19,マムージャ族：ゴクゴルマ農園,,マムージャ族友好度,0,0,0,0,0,0,61919,65115,0,11400860,48084,100,12,8,5,2,False
20,ヨカフイ族：ジィゴーテー拝壇復旧団,,ヨカフイ族友好度,0,0,0,0,0,0,61990,65131,0,11859412,46178,100,13,8,5,1,False
