#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
0.0,0,0,0,0,0
1.0,0,0,0,0,0
1.1,0,0,0,0,0
1.2,0,0,0,0,0
1.3,0,0,0,0,0
1.4,0,0,0,0,0
1.5,0,0,0,0,0
1.6,0,0,0,0,0
1.7,0,0,0,0,0
1.8,0,0,0,0,0
1.9,0,0,0,0,0
1.10,0,0,0,0,0
1.11,0,0,0,0,0
1.12,0,0,0,0,0
1.13,0,0,0,0,0
1.14,0,0,0,0,0
1.15,0,0,0,0,0
1.16,0,0,0,0,0
1.17,0,0,0,0,0
1.18,0,0,0,0,0
1.19,0,0,0,0,0
1.20,0,0,0,0,0
1.21,0,0,0,0,0
1.22,0,0,0,0,0
1.23,0,0,0,0,0
1.24,0,0,0,0,0
1.25,0,0,0,0,0
1.26,0,0,0,0,0
1.27,0,0,0,0,0
1.28,0,0,0,0,0
1.29,0,0,0,0,0
2.0,50,100,50,200,30
2.1,70,130,80,250,60
2.2,90,160,110,300,90
2.3,110,190,140,350,120
2.4,130,220,170,400,150
2.5,150,250,200,450,180
2.6,170,280,230,500,210
2.7,190,310,260,550,240
2.8,210,340,290,600,270
2.9,230,370,320,650,300
2.10,250,400,350,700,330
2.11,270,430,380,750,360
2.12,290,460,410,800,390
2.13,310,490,440,850,420
2.14,330,520,470,900,450
2.15,350,550,500,950,480
2.16,370,580,530,1000,510
2.17,390,610,560,1050,540
2.18,410,640,590,1100,570
2.19,430,670,620,1150,600
2.20,450,700,650,1200,630
2.21,470,730,680,1250,660
2.22,490,760,710,1300,690
2.23,510,790,740,1350,720
2.24,530,820,770,1400,750
2.25,550,850,800,1450,780
2.26,570,880,830,1500,810
2.27,590,910,860,1550,840
2.28,610,940,890,1600,870
2.29,630,970,920,1650,900
3.0,100,50,200,50,30
3.1,130,70,250,80,60
3.2,160,90,300,110,90
3.3,190,110,350,140,120
3.4,220,130,400,170,150
3.5,250,150,450,200,180
3.6,280,170,500,230,210
3.7,310,190,550,260,240
3.8,340,210,600,290,270
3.9,370,230,650,320,300
3.10,400,250,700,350,330
3.11,430,270,750,380,360
3.12,460,290,800,410,390
3.13,490,310,850,440,420
3.14,520,330,900,470,450
3.15,550,350,950,500,480
3.16,580,370,1000,530,510
3.17,610,390,1050,560,540
3.18,640,410,1100,590,570
3.19,670,430,1150,620,600
3.20,700,450,1200,650,630
3.21,730,470,1250,680,660
3.22,760,490,1300,710,690
3.23,790,510,1350,740,720
3.24,820,530,1400,770,750
3.25,850,550,1450,800,780
3.26,880,570,1500,830,810
3.27,910,590,1550,860,840
3.28,940,610,1600,890,870
3.29,970,630,1650,920,900
4.0,70,70,70,70,104
4.1,77,77,77,77,108
4.2,84,84,84,84,112
4.3,91,91,91,91,116
4.4,98,98,98,98,121
4.5,105,105,105,105,126
4.6,112,112,112,112,131
4.7,119,119,119,119,137
4.8,126,126,126,126,143
4.9,133,133,133,133,149
4.10,140,140,140,140,156
4.11,147,147,147,147,162
4.12,154,154,154,154,169
4.13,161,161,161,161,177
4.14,168,168,168,168,185
4.15,175,175,175,175,193
4.16,182,182,182,182,202
4.17,189,189,189,189,211
4.18,196,196,196,196,220
4.19,203,203,203,203,230
4.20,210,210,210,210,240
4.21,217,217,217,217,250
4.22,224,224,224,224,261
4.23,231,231,231,231,272
4.24,238,238,238,238,283
4.25,245,245,245,245,295
4.26,252,252,252,252,307
4.27,259,259,259,259,319
4.28,266,266,266,266,332
4.29,273,273,273,273,345
5.0,33,110,73,73,100
5.1,35,116,76,76,105
5.2,37,122,78,78,110
5.3,38,128,81,81,115
5.4,40,134,83,83,121
5.5,42,140,86,86,127
5.6,44,146,89,89,133
5.7,46,152,91,91,140
5.8,48,158,94,94,147
5.9,49,164,96,96,154
5.10,51,170,99,99,162
5.11,53,176,101,101,170
5.12,55,183,104,104,178
5.13,57,189,107,107,187
5.14,58,195,109,109,194
5.15,60,201,112,112,198
5.16,62,207,114,114,203
5.17,64,213,117,117,210
5.18,66,219,120,120,219
5.19,67,225,122,122,230
5.20,69,231,125,125,237
5.21,71,237,127,127,246
5.22,73,243,130,130,257
5.23,75,249,132,132,271
5.24,77,255,135,135,288
6.0,28,105,69,69,95
6.1,29,110,72,72,100
6.2,31,116,74,74,105
6.3,32,122,77,77,109
6.4,34,127,79,79,115
6.5,35,133,82,82,121
6.6,37,139,84,84,126
6.7,38,145,87,87,133
6.8,40,150,89,89,140
6.9,41,156,91,91,146
6.10,43,162,94,94,154
6.11,44,168,96,96,162
6.12,46,173,99,99,169
6.13,47,179,101,101,178
6.14,49,185,104,104,184
6.15,50,191,106,106,188
6.16,52,196,109,109,193
6.17,53,202,111,111,200
6.18,55,208,114,114,208
6.19,56,214,116,116,219
6.20,58,219,118,118,225
6.21,59,225,121,121,234
6.22,61,231,123,123,244
6.23,62,237,126,126,257
6.24,64,242,128,128,274
7.0,127,78,73,73,100
7.1,133,82,76,76,105
7.2,140,87,78,78,110
7.3,147,91,81,81,115
7.4,154,95,83,83,121
7.5,161,100,86,86,127
7.6,168,104,89,89,133
7.7,175,108,91,91,140
7.8,182,112,94,94,147
7.9,189,117,96,96,154
7.10,196,121,99,99,162
7.11,203,125,101,101,170
7.12,210,130,104,104,178
7.13,217,134,107,107,187
7.14,224,138,109,109,194
7.15,231,142,112,112,198
7.16,238,147,114,114,203
7.17,245,151,117,117,210
7.18,252,155,120,120,219
7.19,259,160,122,122,230
7.20,265,164,125,125,237
7.21,272,168,127,127,246
7.22,279,172,130,130,257
7.23,286,177,132,132,271
7.24,293,181,135,135,288
8.0,25,50,85,99,100
8.1,27,55,87,102,105
8.2,30,60,90,105,110
8.3,32,64,93,108,115
8.4,35,69,96,111,121
8.5,37,74,98,115,127
8.6,39,79,101,118,133
8.7,42,84,104,121,140
