#,Name,Icon,Unknown0,Priority,Unknown1,List,Unknown2
0,,0,0,0,False,False,False
1,ゲームQA,61532,0,0,True,False,False
2,ゲームマスター,61524,0,0,True,False,False
3,ゲームマスター,61532,0,0,False,False,False
4,イベントプレイヤー,61533,3940,0,False,False,False
5,通信途絶状態,61503,3942,0,False,False,False
6,仮登録（フレンドリスト）,61501,0,1,False,True,False
7,仮登録（リンクシェル）,61501,0,2,False,True,False
8,仮登録（フリーカンパニー）,61501,0,3,False,True,False
9,存在しない,61502,0,4,False,True,False
10,オフライン,61504,0,5,False,True,False
11,バトルメンター,61542,3947,6,False,True,False
12,取り込み中（Busy）,61509,3943,7,False,True,False
13,コンテンツ中（PvP）,61510,0,8,False,True,False
14,カード対戦中,61539,0,9,False,True,False
15,イベント中,61508,3951,10,False,True,False
16,チョコボポーター騎乗中,61534,0,12,False,True,False
17,離席,61511,3952,13,False,True,False
18,カメラモード中,61546,3953,14,False,True,False
19,修理希望,61512,0,15,False,True,False
20,修理請負い,61513,0,16,False,True,False
21,マテリア装着請負中,61514,0,17,False,True,True
22,ロールプレイ中,61545,3941,18,False,True,False
23,パーティ希望,61515,3954,19,False,True,False
24,傭兵希望,61516,0,20,False,True,False
25,コンテンツ参加申請中,61517,3950,21,False,True,False
26,パーティ募集中,61536,3955,22,False,True,False
27,メンター,61540,3946,31,False,True,False
28,バトルメンター,61542,3947,32,False,True,False
29,製作採集メンター,61543,3948,33,False,True,False
30,PvPメンター,61544,3949,34,False,True,False
31,リターナー,61547,3945,35,False,True,False
32,ビギナー,61523,3944,36,False,True,False
33,アライアンスリーダー,61518,0,23,False,True,False
34,パーティリーダー（アライアンス）,61519,0,24,False,True,False
35,パーティメンバー（アライアンス）,61520,0,25,False,True,False
36,パーティリーダー,61521,3956,26,False,True,False
37,パーティメンバー,61522,3957,27,False,True,False
38,パーティリーダー（クロスワールド）,61961,3958,28,False,True,True
39,パーティメンバー（クロスワールド）,61962,3959,29,False,True,True
40,コンテンツ中（クロスワールド）,61535,0,30,False,True,False
41,コンテンツ中（同じコンテンツ）,61506,0,0,False,False,False
42,コンテンツ中（同じコンテンツの他グループ）,61507,0,0,False,False,False
43,コンテンツ中,61510,0,11,False,True,False
44,試遊プレイヤー,61525,0,38,False,True,False
45,フリーカンパニー,0,0,0,False,False,False
46,グランドカンパニー,0,0,0,False,False,False
47,オンライン,61505,0,37,False,True,False
