#,Name,Description,OneHandWeaponPercent,OffHandPercent,HeadPercent,ChestPercent,HandsPercent,WaistPercent,LegsPercent,FeetPercent,EarringPercent,NecklacePercent,BraceletPercent,RingPercent,TwoHandWeaponPercent,UnderArmorPercent,ChestHeadPercent,ChestHeadLegsFeetPercent,Unknown0,LegsFeetPercent,HeadChestHandsLegsFeetPercent,ChestLegsGlovesPercent,ChestLegsFeetPercent,Unknown1,Unknown3,OrderPriority,MeldParam[0],MeldParam[1],MeldParam[2],MeldParam[3],MeldParam[4],MeldParam[5],MeldParam[6],MeldParam[7],MeldParam[8],MeldParam[9],MeldParam[10],MeldParam[11],MeldParam[12],PacketIndex,Unknown2
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
1,STR,片手剣・両手斧・両手剣・ガンブレード・格闘武器・両手槍・刀・両手鎌・呪具・魔道書・細剣・筆・幻具・天球儀・賢具・青魔器による物理攻撃力に影響を与えます。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,12,90,100,100,100,70,70,70,100,70,100,100,70,70,0,False
2,DEX,双剣・二刀流武器・弓・銃・投擲武器による物理攻撃力に影響を与えます。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,13,90,70,70,70,100,70,70,100,70,100,70,100,100,1,False
3,VIT,最大HPに影響を与えます。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,14,90,100,100,100,100,90,90,100,90,100,100,100,100,2,False
4,INT,「DPS」ロールの攻撃魔法威力に影響を与えます。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,15,90,70,70,70,70,100,70,70,100,100,70,70,70,3,False
5,MND,回復魔法威力と「Healer」ロールの攻撃魔法威力に影響を与えます。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,16,90,70,70,70,70,70,100,70,100,100,70,70,70,4,False
6,信仰,"ＭＰの自然回復量に影響を与えます。
信仰が高いほど回復量が増加します。
「Healer」ロールかつ戦闘中にのみ効果を発揮します。",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,25,90,70,70,70,70,70,100,70,70,100,70,70,70,5,False
7,HP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,100,100,100,100,100,100,100,100,100,100,100,100,100,6,False
8,MP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,100,100,100,100,100,100,100,100,100,100,100,100,100,7,False
9,TP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,100,100,100,100,100,100,100,100,100,100,100,100,8,False
