#,Vision,Objective,PreviousObjective,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19
0,,,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
1,開拓目標：アイランドホールを建築しよう,**ねこみみさんに話を聞く**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
2,開拓目標：アイランドホールを建築しよう,**ねこみみさんに再度話を聞く**,ねこみみさんに話を聞く,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
3,開拓目標：アイランドホールを建築しよう,"**「収穫モード」で開拓素材を集め
ねこみみさんに報告する**",ねこみみさんに再度話を聞く,0,0,0,2,3,0,255,255,2,2,3,0,0,3,4,1,0,0,1,0
4,開拓目標：アイランドホールを建築しよう,"**開拓製作で無人島開拓用のストーンハチェットを作り
ねこみみさんに報告する**",「収穫モード」で開拓素材を集め、ねこみみさんに報告する,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
5,開拓目標：アイランドホールを建築しよう,**開拓素材を集めてアイランドホールを建築する**,開拓製作で無人島開拓用のストーンハチェットを作り、ねこみみさんに報告する,0,0,0,10,0,11,3,8,10,10,5,5,5,11,1,12,4,9,0,0
6,開拓目標：アイランドホールを建築しよう,**ねこみみさんに報告する**,開拓素材を集めてアイランドホールを建築する,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
7,開拓目標：耕作地で作物を育てよう,**ねこみみさんに話を聞く**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
8,開拓目標：耕作地で作物を育てよう,**たがやすくんに整地を依頼する**,ねこみみさんに話を聞く,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
9,開拓目標：耕作地で作物を育てよう,**たがやすくんに話を聞く**,たがやすくんに整地を依頼する,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
10,開拓目標：耕作地で作物を育てよう,**「種まきモード」で選んだ種を耕作地に植える**,たがやすくんに話を聞く,40,-240,112,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
11,開拓目標：耕作地で作物を育てよう,**「水やりモード」で植えた種に水を与える**,「種まきモード」で選んだ種を耕作地に植える,40,-240,112,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
12,開拓目標：耕作地で作物を育てよう,**たがやすくんに報告する**,「水やりモード」で植えた種に水を与える,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
13,開拓目標：放牧地で動物を飼育しよう,**ねこみみさんに話を聞く**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
14,開拓目標：放牧地で動物を飼育しよう,**ぼくちくくんに整地を依頼する**,ねこみみさんに話を聞く,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
15,開拓目標：放牧地で動物を飼育しよう,**ぼくちくくんに話を聞く**,ぼくちくくんに整地を依頼する,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
16,開拓目標：放牧地で動物を飼育しよう,**「捕獲モード」で動物を捕獲する**,ぼくちくくんに話を聞く,600,300,-252,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
17,開拓目標：放牧地で動物を飼育しよう,**ぼくちくくんに話を聞く**,「捕獲モード」で動物を捕獲する,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
18,開拓目標：放牧地で動物を飼育しよう,**「餌やりモード」で動物に餌をやる**,ぼくちくくんに話を聞く,40,-292,148,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
19,開拓目標：放牧地で動物を飼育しよう,**ぼくちくくんに報告する**,「餌やりモード」で動物に餌をやる,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
20,開拓目標：開拓工房を建てて貿易の準備をしよう,**ねこみみさんに話を聞く**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
21,開拓目標：開拓工房を建てて貿易の準備をしよう,**かいたくくん1号に整地を依頼する**,ねこみみさんに話を聞く,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
22,開拓目標：開拓工房を建てて貿易の準備をしよう,**かいたくくん1号に話を聞く**,かいたくくん1号に整地を依頼する,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
23,開拓目標：開拓工房を建てて貿易の準備をしよう,"**開拓素材を集めて
開拓製作で無人島開拓用のストーンハンマーを作る**",かいたくくん1号に話を聞く,0,0,0,3,9,11,255,255,3,2,4,0,0,4,10,12,0,0,0,0
24,開拓目標：開拓工房を建てて貿易の準備をしよう,**開拓素材を集めて開拓工房を建築する**,開拓素材を集めて、開拓製作で無人島開拓用のストーンハンマーを作る,0,0,0,9,0,14,11,8,10,10,10,5,5,10,1,15,12,9,0,0
