#,ConditionValue,Unknown0,Unknown1,BonusValue,Unknown2,Condition,BonusType,Unknown3
0,0,0,0,0,0,0,0,False
1,30,0,0,1,0,3,18,False
2,2,0,0,10,0,1,1,False
3,20,0,0,15,0,3,4,False
4,30,0,0,20,0,3,7,False
5,42,0,0,40,0,15,22,False
6,52,0,0,40,0,15,22,False
7,62,0,0,40,0,15,22,False
8,81,0,0,40,0,15,22,False
9,98,0,0,40,0,15,22,False
10,126,0,0,40,0,15,22,False
11,153,0,0,40,0,15,22,False
12,182,0,0,40,0,15,22,False
13,198,0,0,40,0,15,22,False
14,214,0,0,40,0,15,22,False
15,34,0,0,1,0,14,14,False
16,57,0,0,1,0,14,14,False
17,89,0,0,1,0,14,14,False
18,128,0,0,1,0,14,14,False
19,171,0,0,1,0,14,14,False
20,194,0,0,1,0,14,14,False
21,216,0,0,1,0,14,14,False
22,237,0,0,1,0,14,14,False
23,263,0,0,1,0,14,14,False
24,295,0,0,1,0,14,14,False
25,89,0,0,100,0,15,22,False
26,110,0,0,100,0,15,22,False
27,131,0,0,100,0,15,22,False
28,153,0,0,100,0,15,22,False
29,174,0,0,100,0,15,22,False
30,195,0,0,100,0,15,22,False
31,216,0,0,100,0,15,22,False
32,238,0,0,100,0,15,22,False
33,259,0,0,100,0,15,22,False
34,280,0,0,100,0,15,22,False
35,414,0,444,1,2,19,19,False
36,429,0,459,1,2,19,19,False
37,436,0,466,1,2,19,19,False
38,486,0,516,1,2,19,19,False
39,493,0,523,1,2,19,19,False
40,515,0,545,1,2,19,19,False
41,521,0,551,1,2,19,19,False
42,542,0,572,1,2,19,19,False
43,545,0,575,1,2,19,19,False
44,571,0,601,1,2,19,19,False
45,33,0,36,1,3,14,17,False
46,55,0,60,1,3,14,17,False
47,85,0,93,1,3,14,17,False
48,122,0,134,1,3,14,17,False
49,163,0,179,1,3,14,17,False
50,185,0,203,1,3,14,17,False
51,206,0,226,1,3,14,17,False
52,226,0,248,1,3,14,17,False
53,251,0,276,1,3,14,17,False
54,281,0,309,1,3,14,17,False
55,4100,0,0,2,0,14,18,False
56,302,0,347,1,3,14,17,False
57,574,0,604,1,2,19,19,False
58,3750,0,0,2,0,14,18,False
59,804,0,964,1,3,14,17,False
60,860,0,1032,1,3,14,17,False
61,916,0,1099,1,3,14,17,False
62,1169,0,1402,1,3,14,17,False
63,1356,0,1627,1,3,14,17,False
64,2040,0,2448,1,3,14,17,False
65,600,0,630,1,2,19,19,False
66,600,0,630,1,2,19,19,False
67,600,0,630,1,2,19,19,False
68,680,0,710,1,2,19,19,False
69,680,0,710,1,2,19,19,False
70,740,0,770,1,2,19,19,False
71,38745,0,0,0,0,20,3,True
72,39740,0,0,0,0,20,3,True
73,38746,0,0,0,0,20,3,True
74,39741,0,0,0,0,20,3,True
75,39751,0,0,0,0,20,3,True
76,41188,0,0,0,0,20,3,True
77,38723,0,0,0,0,20,3,True
78,740,0,770,1,2,19,19,False
79,2244,0,2692,1,3,14,17,False
80,39752,0,0,0,0,20,3,True
81,3800,0,0,30,0,15,22,False
82,3590,0,3990,1,3,14,17,False
83,850,0,900,1,2,19,19,False
84,90,0,0,10,0,14,4,False
85,90,0,0,10,0,14,4,False
86,90,0,0,10,0,14,4,False
87,90,0,0,10,0,14,4,False
88,41189,0,0,0,0,20,3,True
89,3300,0,3497,10,20,14,25,False
90,38734,0,0,0,0,20,3,True
