#,Unknown0,Unknown1,Unknown2,Unknown3
0,0,0,False,False
1,2.4,0,False,False
2,2.4,0,False,True
3,6,0,True,False
4,6,0,True,True
5,2.4,1,False,False
6,6,1,True,False
7,2.4,2,False,False
8,6,2,True,False
9,2.4,3,False,False
10,6,3,True,False
11,2.4,4,False,False
12,6,4,True,False
13,2.4,5,False,False
14,6,5,True,False
15,2.4,6,False,False
16,6,6,True,False
17,2.4,8,False,False
18,6,8,True,False
19,1.2,0,False,False
20,1.2,0,False,True
21,1.2,2,False,False
22,1.2,5,False,False
23,1.2,8,False,False
24,1.3,0,False,False
25,1.3,0,False,True
26,1.3,2,False,False
27,1.3,5,False,False
28,2,0,False,False
29,2,2,False,False
30,2,5,False,False
31,3.2,0,False,False
32,3.2,0,False,True
33,3.2,2,False,False
34,3.2,5,False,False
35,3.2,8,False,False
36,0.8,0,False,False
37,0.8,0,False,True
38,0.8,2,False,False
39,0.8,5,False,False
40,0.8,8,False,False
41,8,0,False,False
42,8,0,False,True
43,8,2,False,False
44,8,5,False,False
45,8,8,False,False
