#,Name,Icon,IconDutyFinder,Unknown1,Unknown2
0,,0,0,0,0
1,コンテンツルーレット,61807,0,0,0
2,ダンジョン,61801,60831,1,1
3,ギルドオーダー,61803,60833,2,2
4,討伐・討滅戦,61804,60834,1,3
5,レイド,61802,60832,1,4
6,PvP,61806,60836,1,5
7,クエストバトル,61805,60835,0,0
8,F.A.T.E.,61809,0,0,0
9,トレジャーハント,61808,60838,0,0
10,リーヴ,61811,0,0,0
11,グランドカンパニー,61812,0,0,0
12,バディ,61813,0,0,0
13,友好部族クエスト,61814,0,0,0
14,達成数ボーナス,61810,0,0,0
15,MIP,61817,0,0,0
16,ギャザラー,61815,60859,0,0
17,クラフター,61816,0,0,0
18,リテイナー,61818,0,0,0
19,ゴールドソーサー,61820,60848,1,0
20,,61823,60846,0,0
21,ディープダンジョン,61824,60847,0,0
22,,61801,60831,0,0
23,,61821,61821,2,0
24,クロの空想帳,61825,0,0,0
25,お得意様取引,61827,0,0,0
26,禁断の地エウレカ,61833,60851,0,0
27,マスクカーニバル,61836,60853,0,0
28,絶レイド,61832,60855,1,6
29,セイブ・ザ・クイーン,61838,61838,0,0
30,特殊ダンジョン探索,61846,61846,1,0
31,オーシャンフィッシング,61756,0,0,0
32,トリプルトライアド,61820,0,0,0
33,モブハント,61819,0,0,0
34,釣り,61756,0,0,0
35,G.A.T.E.,61820,0,0,0
36,無人島開拓,61847,0,0,0
37,滅アライアンスレイド,61850,60807,1,7
38,蜃気楼の島 クレセントアイル,61851,60808,0,0
39,,61824,60847,0,0
40,,0,0,0,0
