#,Emote,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown0,SortKey
0,0,1,0,0,0,1
1,68,1,0,0,0,2
2,69,1,0,0,0,3
3,70,1,0,0,0,4
4,71,1,0,0,0,8
5,72,1,0,0,0,9
6,73,1,0,0,0,10
7,74,1,0,0,0,11
8,75,1,0,0,0,12
9,76,1,0,0,0,13
10,77,1,0,0,0,14
11,78,1,0,0,0,15
12,79,1,0,0,0,16
13,80,1,0,0,0,17
14,81,2,0,0,0,24
15,82,3,0,0,0,25
16,83,1,0,0,0,26
17,84,1,0,0,0,27
18,133,1,0,0,0,5
19,141,1,0,0,0,18
20,152,1,0,0,0,19
21,160,1,0,0,0,20
22,161,1,0,0,0,21
23,162,1,0,0,0,22
24,163,1,0,0,0,23
25,183,4,0,0,0,28
26,184,1,0,0,0,6
27,190,5,0,0,0,29
28,228,1,0,0,0,30
29,236,1,0,0,0,7
