#,Description,Unknown1,Level,Category
0,このコンテンツは、最新および直近のパッチのダンジョンを2種以上コンプリートする必要があります。,5,0,0
1,,8,0,0
2,,1,0,0
3,,1252,0,1
4,このコンテンツは、グリダニアのサブクエストでディープダンジョンを開放・攻略したうえで、クリスタリウムのサブクエストを進行する必要があります。,1281,11875001,2
5,このコンテンツは、ひとつ上のコンテンツを開放したうえで対象クエストをコンプリートする必要があります。,1311,11875001,2
6,このコンテンツは、オールド・シャーレアンの特殊ダンジョン探索サブクエストを進める必要があります。,1315,0,3
7,このコンテンツは、ひとつ上のコンテンツを攻略・完了し、NPCから開放する必要があります。,1316,0,3
8,このコンテンツは、ひとつ上のコンテンツを攻略・完了し、NPCから開放する必要があります。,1317,0,3
9,このコンテンツは「黄金のレガシー」のクロニクルクエストを進行し、レイドを開放する必要があります。,1320,0,4
10,このコンテンツは「黄金のレガシー」のクロニクルクエストを進行し、レイドを開放する必要があります。,1322,0,4
11,このコンテンツは「黄金のレガシー」のクロニクルクエストを進行し、レイドを開放する必要があります。,1324,0,4
12,このコンテンツは「黄金のレガシー」のクロニクルクエストを進行し、レイドを開放する必要があります。,1326,0,4
13,このコンテンツは「黄金のレガシー」のクロニクルクエストを進行し、NPCから高難易度のレイドを開放する必要があります。,1321,0,4
14,このコンテンツは「黄金のレガシー」のクロニクルクエストを進行し、NPCから高難易度のレイドを開放する必要があります。,1323,0,4
15,このコンテンツは「黄金のレガシー」のクロニクルクエストを進行し、NPCから高難易度のレイドを開放する必要があります。,1325,0,4
16,このコンテンツは「黄金のレガシー」のクロニクルクエストを進行し、NPCから高難易度のレイドを開放する必要があります。,1327,0,4
17,「黄金のレガシー」のメインクエストを進行させて討伐・討滅戦を攻略したうえで、異邦の詩人から高難易度コンテンツを開放する必要があります。,1308,0,5
18,,1187,0,6
19,,1188,0,6
20,,1189,0,6
21,,1190,0,6
22,,1191,0,6
23,,1192,0,6
